date,county,state,cases
2020-05-06,Baker,Oregon,1
2020-05-07,Baker,Oregon,1
2020-05-08,Baker,Oregon,1
2020-05-09,Baker,Oregon,1
2020-05-10,Baker,Oregon,1
2020-05-11,Baker,Oregon,1
2020-05-12,Baker,Oregon,1
2020-05-13,Baker,Oregon,1
2020-05-14,Baker,Oregon,1
2020-05-15,Baker,Oregon,3
2020-05-16,Baker,Oregon,1
2020-05-17,Baker,Oregon,1
2020-05-18,Baker,Oregon,1
2020-05-19,Baker,Oregon,1
2020-05-20,Baker,Oregon,1
2020-05-21,Baker,Oregon,1
2020-05-22,Baker,Oregon,1
2020-05-23,Baker,Oregon,1
2020-05-24,Baker,Oregon,1
2020-05-25,Baker,Oregon,1
2020-05-26,Baker,Oregon,1
2020-05-27,Baker,Oregon,1
2020-05-28,Baker,Oregon,1
2020-05-29,Baker,Oregon,1
2020-05-30,Baker,Oregon,1
2020-05-31,Baker,Oregon,1
2020-06-01,Baker,Oregon,1
2020-06-02,Baker,Oregon,1
2020-06-03,Baker,Oregon,1
2020-06-04,Baker,Oregon,1
2020-06-05,Baker,Oregon,1
2020-06-06,Baker,Oregon,1
2020-06-07,Baker,Oregon,1
2020-06-08,Baker,Oregon,1
2020-06-09,Baker,Oregon,1
2020-06-10,Baker,Oregon,1
2020-06-11,Baker,Oregon,1
2020-06-12,Baker,Oregon,1
2020-06-13,Baker,Oregon,1
2020-06-14,Baker,Oregon,1
2020-06-15,Baker,Oregon,1
2020-06-16,Baker,Oregon,1
2020-06-17,Baker,Oregon,1
2020-06-18,Baker,Oregon,1
2020-06-19,Baker,Oregon,1
2020-06-20,Baker,Oregon,1
2020-06-21,Baker,Oregon,1
2020-06-22,Baker,Oregon,1
2020-06-23,Baker,Oregon,1
2020-06-24,Baker,Oregon,1
2020-06-25,Baker,Oregon,1
2020-06-26,Baker,Oregon,1
2020-06-27,Baker,Oregon,1
2020-06-28,Baker,Oregon,1
2020-06-29,Baker,Oregon,1
2020-06-30,Baker,Oregon,1
2020-07-01,Baker,Oregon,4
2020-07-02,Baker,Oregon,4
2020-07-03,Baker,Oregon,4
2020-07-04,Baker,Oregon,5
2020-07-05,Baker,Oregon,5
2020-07-06,Baker,Oregon,5
2020-07-07,Baker,Oregon,5
2020-07-08,Baker,Oregon,8
2020-07-09,Baker,Oregon,8
2020-07-10,Baker,Oregon,9
2020-07-11,Baker,Oregon,11
2020-07-12,Baker,Oregon,12
2020-07-13,Baker,Oregon,12
2020-07-14,Baker,Oregon,12
2020-07-15,Baker,Oregon,13
2020-07-16,Baker,Oregon,13
2020-07-17,Baker,Oregon,13
2020-07-18,Baker,Oregon,13
2020-07-19,Baker,Oregon,13
2020-07-20,Baker,Oregon,13
2020-07-21,Baker,Oregon,15
2020-07-22,Baker,Oregon,16
2020-07-23,Baker,Oregon,16
2020-07-24,Baker,Oregon,17
2020-07-25,Baker,Oregon,19
2020-07-26,Baker,Oregon,22
2020-07-27,Baker,Oregon,22
2020-07-28,Baker,Oregon,22
2020-07-29,Baker,Oregon,22
2020-07-30,Baker,Oregon,25
2020-07-31,Baker,Oregon,28
2020-08-01,Baker,Oregon,30
2020-08-02,Baker,Oregon,30
2020-08-03,Baker,Oregon,33
2020-08-04,Baker,Oregon,35
2020-08-05,Baker,Oregon,36
2020-08-06,Baker,Oregon,37
2020-08-07,Baker,Oregon,38
2020-08-08,Baker,Oregon,38
2020-08-09,Baker,Oregon,38
2020-08-10,Baker,Oregon,40
2020-08-11,Baker,Oregon,40
2020-08-12,Baker,Oregon,42
2020-08-13,Baker,Oregon,45
2020-08-14,Baker,Oregon,52
2020-08-15,Baker,Oregon,53
2020-08-16,Baker,Oregon,53
2020-08-17,Baker,Oregon,53
2020-08-18,Baker,Oregon,54
2020-08-19,Baker,Oregon,55
2020-08-20,Baker,Oregon,55
2020-08-21,Baker,Oregon,55
2020-08-22,Baker,Oregon,64
2020-08-23,Baker,Oregon,64
2020-08-24,Baker,Oregon,64
2020-08-25,Baker,Oregon,67
2020-08-26,Baker,Oregon,67
2020-08-27,Baker,Oregon,67
2020-08-28,Baker,Oregon,68
2020-08-29,Baker,Oregon,70
2020-08-30,Baker,Oregon,70
2020-08-31,Baker,Oregon,70
2020-09-01,Baker,Oregon,74
2020-09-02,Baker,Oregon,75
2020-09-03,Baker,Oregon,77
2020-09-04,Baker,Oregon,77
2020-09-05,Baker,Oregon,77
2020-09-06,Baker,Oregon,77
2020-09-07,Baker,Oregon,86
2020-09-08,Baker,Oregon,86
2020-09-09,Baker,Oregon,86
2020-09-10,Baker,Oregon,86
2020-09-11,Baker,Oregon,88
2020-09-12,Baker,Oregon,90
2020-09-13,Baker,Oregon,90
2020-09-14,Baker,Oregon,90
2020-09-15,Baker,Oregon,90
2020-09-16,Baker,Oregon,89
2020-09-17,Baker,Oregon,89
2020-09-18,Baker,Oregon,90
2020-09-19,Baker,Oregon,90
2020-09-20,Baker,Oregon,90
2020-09-21,Baker,Oregon,90
2020-09-22,Baker,Oregon,90
2020-09-23,Baker,Oregon,91
2020-09-24,Baker,Oregon,92
2020-09-25,Baker,Oregon,92
2020-09-26,Baker,Oregon,94
2020-09-27,Baker,Oregon,94
2020-09-28,Baker,Oregon,94
2020-09-29,Baker,Oregon,95
2020-09-30,Baker,Oregon,98
2020-10-01,Baker,Oregon,99
2020-10-02,Baker,Oregon,100
2020-10-03,Baker,Oregon,101
2020-10-04,Baker,Oregon,101
2020-10-05,Baker,Oregon,101
2020-10-06,Baker,Oregon,102
2020-10-07,Baker,Oregon,105
2020-10-08,Baker,Oregon,106
2020-10-09,Baker,Oregon,107
2020-10-10,Baker,Oregon,111
