date,county,state,cases
2020-03-16,Benton,Oregon,1
2020-03-17,Benton,Oregon,1
2020-03-18,Benton,Oregon,2
2020-03-19,Benton,Oregon,2
2020-03-20,Benton,Oregon,2
2020-03-21,Benton,Oregon,2
2020-03-22,Benton,Oregon,4
2020-03-23,Benton,Oregon,4
2020-03-24,Benton,Oregon,4
2020-03-25,Benton,Oregon,6
2020-03-26,Benton,Oregon,6
2020-03-27,Benton,Oregon,6
2020-03-28,Benton,Oregon,9
2020-03-29,Benton,Oregon,9
2020-03-30,Benton,Oregon,10
2020-03-31,Benton,Oregon,12
2020-04-01,Benton,Oregon,13
2020-04-02,Benton,Oregon,15
2020-04-03,Benton,Oregon,17
2020-04-04,Benton,Oregon,19
2020-04-05,Benton,Oregon,19
2020-04-06,Benton,Oregon,21
2020-04-07,Benton,Oregon,21
2020-04-08,Benton,Oregon,21
2020-04-09,Benton,Oregon,21
2020-04-10,Benton,Oregon,21
2020-04-11,Benton,Oregon,22
2020-04-12,Benton,Oregon,23
2020-04-13,Benton,Oregon,23
2020-04-14,Benton,Oregon,24
2020-04-15,Benton,Oregon,25
2020-04-16,Benton,Oregon,27
2020-04-17,Benton,Oregon,27
2020-04-18,Benton,Oregon,27
2020-04-19,Benton,Oregon,27
2020-04-20,Benton,Oregon,28
2020-04-21,Benton,Oregon,27
2020-04-22,Benton,Oregon,27
2020-04-23,Benton,Oregon,27
2020-04-24,Benton,Oregon,27
2020-04-25,Benton,Oregon,28
2020-04-26,Benton,Oregon,29
2020-04-27,Benton,Oregon,29
2020-04-28,Benton,Oregon,29
2020-04-29,Benton,Oregon,29
2020-04-30,Benton,Oregon,30
2020-05-01,Benton,Oregon,32
2020-05-02,Benton,Oregon,32
2020-05-03,Benton,Oregon,32
2020-05-04,Benton,Oregon,36
2020-05-05,Benton,Oregon,39
2020-05-06,Benton,Oregon,40
2020-05-07,Benton,Oregon,44
2020-05-08,Benton,Oregon,43
2020-05-09,Benton,Oregon,44
2020-05-10,Benton,Oregon,47
2020-05-11,Benton,Oregon,49
2020-05-12,Benton,Oregon,50
2020-05-13,Benton,Oregon,50
2020-05-14,Benton,Oregon,50
2020-05-15,Benton,Oregon,51
2020-05-16,Benton,Oregon,51
2020-05-17,Benton,Oregon,51
2020-05-18,Benton,Oregon,54
2020-05-19,Benton,Oregon,54
2020-05-20,Benton,Oregon,55
2020-05-21,Benton,Oregon,55
2020-05-22,Benton,Oregon,55
2020-05-23,Benton,Oregon,55
2020-05-24,Benton,Oregon,55
2020-05-25,Benton,Oregon,55
2020-05-26,Benton,Oregon,55
2020-05-27,Benton,Oregon,55
2020-05-28,Benton,Oregon,55
2020-05-29,Benton,Oregon,55
2020-05-30,Benton,Oregon,55
2020-05-31,Benton,Oregon,55
2020-06-01,Benton,Oregon,55
2020-06-02,Benton,Oregon,56
2020-06-03,Benton,Oregon,57
2020-06-04,Benton,Oregon,57
2020-06-05,Benton,Oregon,62
2020-06-06,Benton,Oregon,62
2020-06-07,Benton,Oregon,62
2020-06-08,Benton,Oregon,62
2020-06-09,Benton,Oregon,63
2020-06-10,Benton,Oregon,63
2020-06-11,Benton,Oregon,63
2020-06-12,Benton,Oregon,63
2020-06-13,Benton,Oregon,63
2020-06-14,Benton,Oregon,63
2020-06-15,Benton,Oregon,63
2020-06-16,Benton,Oregon,63
2020-06-17,Benton,Oregon,66
2020-06-18,Benton,Oregon,66
2020-06-19,Benton,Oregon,66
2020-06-20,Benton,Oregon,66
2020-06-21,Benton,Oregon,67
2020-06-22,Benton,Oregon,69
2020-06-23,Benton,Oregon,68
2020-06-24,Benton,Oregon,70
2020-06-25,Benton,Oregon,76
2020-06-26,Benton,Oregon,80
2020-06-27,Benton,Oregon,82
2020-06-28,Benton,Oregon,82
2020-06-29,Benton,Oregon,82
2020-06-30,Benton,Oregon,82
2020-07-01,Benton,Oregon,84
2020-07-02,Benton,Oregon,83
2020-07-03,Benton,Oregon,91
2020-07-04,Benton,Oregon,93
2020-07-05,Benton,Oregon,94
2020-07-06,Benton,Oregon,95
2020-07-07,Benton,Oregon,97
2020-07-08,Benton,Oregon,98
2020-07-09,Benton,Oregon,99
2020-07-10,Benton,Oregon,105
2020-07-11,Benton,Oregon,112
2020-07-12,Benton,Oregon,114
2020-07-13,Benton,Oregon,115
2020-07-14,Benton,Oregon,116
2020-07-15,Benton,Oregon,117
2020-07-16,Benton,Oregon,122
2020-07-17,Benton,Oregon,124
2020-07-18,Benton,Oregon,128
2020-07-19,Benton,Oregon,128
2020-07-20,Benton,Oregon,128
2020-07-21,Benton,Oregon,129
2020-07-22,Benton,Oregon,132
2020-07-23,Benton,Oregon,132
2020-07-24,Benton,Oregon,132
2020-07-25,Benton,Oregon,133
2020-07-26,Benton,Oregon,134
2020-07-27,Benton,Oregon,136
2020-07-28,Benton,Oregon,138
2020-07-29,Benton,Oregon,141
2020-07-30,Benton,Oregon,148
2020-07-31,Benton,Oregon,151
2020-08-01,Benton,Oregon,154
2020-08-02,Benton,Oregon,155
2020-08-03,Benton,Oregon,157
2020-08-04,Benton,Oregon,160
2020-08-05,Benton,Oregon,162
2020-08-06,Benton,Oregon,161
2020-08-07,Benton,Oregon,164
2020-08-08,Benton,Oregon,169
2020-08-09,Benton,Oregon,169
2020-08-10,Benton,Oregon,169
2020-08-11,Benton,Oregon,171
2020-08-12,Benton,Oregon,178
2020-08-13,Benton,Oregon,181
2020-08-14,Benton,Oregon,182
2020-08-15,Benton,Oregon,186
2020-08-16,Benton,Oregon,186
2020-08-17,Benton,Oregon,186
2020-08-18,Benton,Oregon,189
2020-08-19,Benton,Oregon,190
2020-08-20,Benton,Oregon,194
2020-08-21,Benton,Oregon,196
2020-08-22,Benton,Oregon,201
2020-08-23,Benton,Oregon,201
2020-08-24,Benton,Oregon,202
2020-08-25,Benton,Oregon,206
2020-08-26,Benton,Oregon,206
2020-08-27,Benton,Oregon,207
2020-08-28,Benton,Oregon,208
2020-08-29,Benton,Oregon,208
2020-08-30,Benton,Oregon,213
