date,county,state,cases
2020-03-24,Clatsop,Oregon,1
2020-03-25,Clatsop,Oregon,1
2020-03-26,Clatsop,Oregon,2
2020-03-27,Clatsop,Oregon,2
2020-03-28,Clatsop,Oregon,3
2020-03-29,Clatsop,Oregon,3
2020-03-30,Clatsop,Oregon,3
2020-03-31,Clatsop,Oregon,3
2020-04-01,Clatsop,Oregon,3
2020-04-02,Clatsop,Oregon,3
2020-04-03,Clatsop,Oregon,4
2020-04-04,Clatsop,Oregon,4
2020-04-05,Clatsop,Oregon,4
2020-04-06,Clatsop,Oregon,4
2020-04-07,Clatsop,Oregon,5
2020-04-08,Clatsop,Oregon,5
2020-04-09,Clatsop,Oregon,5
2020-04-10,Clatsop,Oregon,6
2020-04-11,Clatsop,Oregon,6
2020-04-12,Clatsop,Oregon,6
2020-04-13,Clatsop,Oregon,6
2020-04-14,Clatsop,Oregon,6
2020-04-15,Clatsop,Oregon,6
2020-04-16,Clatsop,Oregon,6
2020-04-17,Clatsop,Oregon,6
2020-04-18,Clatsop,Oregon,6
2020-04-19,Clatsop,Oregon,6
2020-04-20,Clatsop,Oregon,6
2020-04-21,Clatsop,Oregon,6
2020-04-22,Clatsop,Oregon,6
2020-04-23,Clatsop,Oregon,6
2020-04-24,Clatsop,Oregon,6
2020-04-25,Clatsop,Oregon,6
2020-04-26,Clatsop,Oregon,6
2020-04-27,Clatsop,Oregon,6
2020-04-28,Clatsop,Oregon,6
2020-04-29,Clatsop,Oregon,6
2020-04-30,Clatsop,Oregon,6
2020-05-01,Clatsop,Oregon,7
2020-05-02,Clatsop,Oregon,7
2020-05-03,Clatsop,Oregon,7
2020-05-04,Clatsop,Oregon,8
2020-05-05,Clatsop,Oregon,17
2020-05-06,Clatsop,Oregon,17
2020-05-07,Clatsop,Oregon,18
2020-05-08,Clatsop,Oregon,27
2020-05-09,Clatsop,Oregon,28
2020-05-10,Clatsop,Oregon,29
2020-05-11,Clatsop,Oregon,33
2020-05-12,Clatsop,Oregon,34
2020-05-13,Clatsop,Oregon,37
2020-05-14,Clatsop,Oregon,36
2020-05-15,Clatsop,Oregon,36
2020-05-16,Clatsop,Oregon,37
2020-05-17,Clatsop,Oregon,37
2020-05-18,Clatsop,Oregon,38
2020-05-19,Clatsop,Oregon,38
2020-05-20,Clatsop,Oregon,42
2020-05-21,Clatsop,Oregon,42
2020-05-22,Clatsop,Oregon,44
2020-05-23,Clatsop,Oregon,45
2020-05-24,Clatsop,Oregon,45
2020-05-25,Clatsop,Oregon,45
2020-05-26,Clatsop,Oregon,45
2020-05-27,Clatsop,Oregon,45
2020-05-28,Clatsop,Oregon,45
2020-05-29,Clatsop,Oregon,45
2020-05-30,Clatsop,Oregon,45
2020-05-31,Clatsop,Oregon,45
2020-06-01,Clatsop,Oregon,45
2020-06-02,Clatsop,Oregon,45
2020-06-03,Clatsop,Oregon,45
2020-06-04,Clatsop,Oregon,45
2020-06-05,Clatsop,Oregon,45
2020-06-06,Clatsop,Oregon,45
2020-06-07,Clatsop,Oregon,45
2020-06-08,Clatsop,Oregon,45
2020-06-09,Clatsop,Oregon,45
2020-06-10,Clatsop,Oregon,45
2020-06-11,Clatsop,Oregon,46
2020-06-12,Clatsop,Oregon,46
2020-06-13,Clatsop,Oregon,46
2020-06-14,Clatsop,Oregon,46
2020-06-15,Clatsop,Oregon,46
2020-06-16,Clatsop,Oregon,46
2020-06-17,Clatsop,Oregon,46
2020-06-18,Clatsop,Oregon,46
2020-06-19,Clatsop,Oregon,46
2020-06-20,Clatsop,Oregon,46
2020-06-21,Clatsop,Oregon,46
2020-06-22,Clatsop,Oregon,46
2020-06-23,Clatsop,Oregon,46
2020-06-24,Clatsop,Oregon,47
2020-06-25,Clatsop,Oregon,48
2020-06-26,Clatsop,Oregon,48
2020-06-27,Clatsop,Oregon,48
2020-06-28,Clatsop,Oregon,49
2020-06-29,Clatsop,Oregon,49
2020-06-30,Clatsop,Oregon,49
2020-07-01,Clatsop,Oregon,49
2020-07-02,Clatsop,Oregon,49
2020-07-03,Clatsop,Oregon,49
2020-07-04,Clatsop,Oregon,51
2020-07-05,Clatsop,Oregon,51
2020-07-06,Clatsop,Oregon,54
2020-07-07,Clatsop,Oregon,54
2020-07-08,Clatsop,Oregon,55
2020-07-09,Clatsop,Oregon,55
2020-07-10,Clatsop,Oregon,55
2020-07-11,Clatsop,Oregon,55
2020-07-12,Clatsop,Oregon,55
2020-07-13,Clatsop,Oregon,55
2020-07-14,Clatsop,Oregon,56
2020-07-15,Clatsop,Oregon,56
2020-07-16,Clatsop,Oregon,58
2020-07-17,Clatsop,Oregon,59
2020-07-18,Clatsop,Oregon,62
2020-07-19,Clatsop,Oregon,62
2020-07-20,Clatsop,Oregon,64
2020-07-21,Clatsop,Oregon,67
2020-07-22,Clatsop,Oregon,68
2020-07-23,Clatsop,Oregon,68
2020-07-24,Clatsop,Oregon,68
2020-07-25,Clatsop,Oregon,68
2020-07-26,Clatsop,Oregon,68
2020-07-27,Clatsop,Oregon,68
2020-07-28,Clatsop,Oregon,71
2020-07-29,Clatsop,Oregon,71
2020-07-30,Clatsop,Oregon,73
2020-07-31,Clatsop,Oregon,73
2020-08-01,Clatsop,Oregon,78
2020-08-02,Clatsop,Oregon,80
2020-08-03,Clatsop,Oregon,82
2020-08-04,Clatsop,Oregon,82
2020-08-05,Clatsop,Oregon,83
2020-08-06,Clatsop,Oregon,83
2020-08-07,Clatsop,Oregon,84
2020-08-08,Clatsop,Oregon,85
2020-08-09,Clatsop,Oregon,85
2020-08-10,Clatsop,Oregon,85
2020-08-11,Clatsop,Oregon,89
2020-08-12,Clatsop,Oregon,89
2020-08-13,Clatsop,Oregon,87
2020-08-14,Clatsop,Oregon,88
2020-08-15,Clatsop,Oregon,90
2020-08-16,Clatsop,Oregon,91
2020-08-17,Clatsop,Oregon,92
2020-08-18,Clatsop,Oregon,91
2020-08-19,Clatsop,Oregon,91
2020-08-20,Clatsop,Oregon,92
2020-08-21,Clatsop,Oregon,92
2020-08-22,Clatsop,Oregon,93
2020-08-23,Clatsop,Oregon,93
2020-08-24,Clatsop,Oregon,93
2020-08-25,Clatsop,Oregon,94
2020-08-26,Clatsop,Oregon,94
2020-08-27,Clatsop,Oregon,95
2020-08-28,Clatsop,Oregon,95
2020-08-29,Clatsop,Oregon,95
2020-08-30,Clatsop,Oregon,95
2020-08-31,Clatsop,Oregon,95
2020-09-01,Clatsop,Oregon,96
2020-09-02,Clatsop,Oregon,96
2020-09-03,Clatsop,Oregon,96
2020-09-04,Clatsop,Oregon,97
2020-09-05,Clatsop,Oregon,97
2020-09-06,Clatsop,Oregon,97
2020-09-07,Clatsop,Oregon,97
2020-09-08,Clatsop,Oregon,97
2020-09-09,Clatsop,Oregon,97
2020-09-10,Clatsop,Oregon,100
2020-09-11,Clatsop,Oregon,100
2020-09-12,Clatsop,Oregon,102
2020-09-13,Clatsop,Oregon,102
2020-09-14,Clatsop,Oregon,102
2020-09-15,Clatsop,Oregon,103
2020-09-16,Clatsop,Oregon,105
2020-09-17,Clatsop,Oregon,106
2020-09-18,Clatsop,Oregon,109
2020-09-19,Clatsop,Oregon,113
2020-09-20,Clatsop,Oregon,117
2020-09-21,Clatsop,Oregon,121
2020-09-22,Clatsop,Oregon,124
2020-09-23,Clatsop,Oregon,127
2020-09-24,Clatsop,Oregon,131
2020-09-25,Clatsop,Oregon,205
2020-09-26,Clatsop,Oregon,204
2020-09-27,Clatsop,Oregon,212
2020-09-28,Clatsop,Oregon,217
2020-09-29,Clatsop,Oregon,218
2020-09-30,Clatsop,Oregon,221
2020-10-01,Clatsop,Oregon,221
2020-10-02,Clatsop,Oregon,224
2020-10-03,Clatsop,Oregon,225
2020-10-04,Clatsop,Oregon,225
2020-10-05,Clatsop,Oregon,225
2020-10-06,Clatsop,Oregon,228
2020-10-07,Clatsop,Oregon,228
2020-10-08,Clatsop,Oregon,228
2020-10-09,Clatsop,Oregon,230
2020-10-10,Clatsop,Oregon,230
2020-10-11,Clatsop,Oregon,230
2020-10-12,Clatsop,Oregon,230
2020-10-13,Clatsop,Oregon,235
2020-10-14,Clatsop,Oregon,233
2020-10-15,Clatsop,Oregon,235
2020-10-16,Clatsop,Oregon,235
2020-10-17,Clatsop,Oregon,235
2020-10-18,Clatsop,Oregon,235
2020-10-19,Clatsop,Oregon,235
2020-10-20,Clatsop,Oregon,235
2020-10-21,Clatsop,Oregon,235
2020-10-22,Clatsop,Oregon,237
2020-10-23,Clatsop,Oregon,237
2020-10-24,Clatsop,Oregon,241
2020-10-25,Clatsop,Oregon,242
2020-10-26,Clatsop,Oregon,243
2020-10-27,Clatsop,Oregon,244
2020-10-28,Clatsop,Oregon,246
2020-10-29,Clatsop,Oregon,248
