date,county,state,cases
2020-04-28,Harney,Oregon,1
2020-04-29,Harney,Oregon,1
2020-04-30,Harney,Oregon,1
2020-05-01,Harney,Oregon,1
2020-05-02,Harney,Oregon,1
2020-05-03,Harney,Oregon,1
2020-05-04,Harney,Oregon,1
2020-05-05,Harney,Oregon,1
2020-05-06,Harney,Oregon,1
2020-05-07,Harney,Oregon,1
2020-05-08,Harney,Oregon,1
2020-05-09,Harney,Oregon,1
2020-05-10,Harney,Oregon,1
2020-05-11,Harney,Oregon,1
2020-05-12,Harney,Oregon,1
2020-05-13,Harney,Oregon,1
2020-05-14,Harney,Oregon,1
2020-05-15,Harney,Oregon,1
2020-05-16,Harney,Oregon,1
2020-05-17,Harney,Oregon,1
2020-05-18,Harney,Oregon,1
2020-05-19,Harney,Oregon,1
2020-05-20,Harney,Oregon,1
2020-05-21,Harney,Oregon,1
2020-05-22,Harney,Oregon,1
2020-05-23,Harney,Oregon,1
2020-05-24,Harney,Oregon,1
2020-05-25,Harney,Oregon,1
2020-05-26,Harney,Oregon,1
2020-05-27,Harney,Oregon,1
2020-05-28,Harney,Oregon,1
2020-05-29,Harney,Oregon,1
2020-05-30,Harney,Oregon,1
2020-05-31,Harney,Oregon,1
2020-06-01,Harney,Oregon,1
2020-06-02,Harney,Oregon,1
2020-06-03,Harney,Oregon,1
2020-06-04,Harney,Oregon,1
2020-06-05,Harney,Oregon,1
2020-06-06,Harney,Oregon,1
2020-06-07,Harney,Oregon,1
2020-06-08,Harney,Oregon,1
2020-06-09,Harney,Oregon,1
2020-06-10,Harney,Oregon,1
2020-06-11,Harney,Oregon,1
2020-06-12,Harney,Oregon,1
2020-06-13,Harney,Oregon,1
2020-06-14,Harney,Oregon,1
2020-06-15,Harney,Oregon,1
2020-06-16,Harney,Oregon,1
2020-06-17,Harney,Oregon,1
2020-06-18,Harney,Oregon,1
2020-06-19,Harney,Oregon,1
2020-06-20,Harney,Oregon,1
2020-06-21,Harney,Oregon,1
2020-06-22,Harney,Oregon,1
2020-06-23,Harney,Oregon,1
2020-06-24,Harney,Oregon,1
2020-06-25,Harney,Oregon,1
2020-06-26,Harney,Oregon,1
2020-06-27,Harney,Oregon,1
2020-06-28,Harney,Oregon,1
2020-06-29,Harney,Oregon,1
2020-06-30,Harney,Oregon,1
2020-07-01,Harney,Oregon,1
2020-07-02,Harney,Oregon,1
2020-07-03,Harney,Oregon,1
2020-07-04,Harney,Oregon,1
2020-07-05,Harney,Oregon,1
2020-07-06,Harney,Oregon,1
2020-07-07,Harney,Oregon,1
2020-07-08,Harney,Oregon,2
2020-07-09,Harney,Oregon,2
