date,county,state,cases
2020-05-27,Lake,Oregon,2
2020-05-28,Lake,Oregon,2
2020-05-29,Lake,Oregon,2
2020-05-30,Lake,Oregon,2
2020-05-31,Lake,Oregon,2
2020-06-01,Lake,Oregon,2
2020-06-02,Lake,Oregon,2
2020-06-03,Lake,Oregon,2
2020-06-04,Lake,Oregon,2
2020-06-05,Lake,Oregon,2
2020-06-06,Lake,Oregon,2
2020-06-07,Lake,Oregon,2
2020-06-08,Lake,Oregon,2
2020-06-09,Lake,Oregon,2
2020-06-10,Lake,Oregon,2
2020-06-11,Lake,Oregon,4
2020-06-12,Lake,Oregon,4
2020-06-13,Lake,Oregon,4
2020-06-14,Lake,Oregon,4
2020-06-15,Lake,Oregon,5
2020-06-16,Lake,Oregon,5
2020-06-17,Lake,Oregon,6
2020-06-18,Lake,Oregon,6
2020-06-19,Lake,Oregon,6
2020-06-20,Lake,Oregon,6
2020-06-21,Lake,Oregon,6
2020-06-22,Lake,Oregon,6
2020-06-23,Lake,Oregon,6
2020-06-24,Lake,Oregon,6
2020-06-25,Lake,Oregon,9
2020-06-26,Lake,Oregon,12
2020-06-27,Lake,Oregon,13
2020-06-28,Lake,Oregon,13
2020-06-29,Lake,Oregon,15
2020-06-30,Lake,Oregon,17
2020-07-01,Lake,Oregon,19
2020-07-02,Lake,Oregon,19
2020-07-03,Lake,Oregon,20
2020-07-04,Lake,Oregon,21
2020-07-05,Lake,Oregon,21
2020-07-06,Lake,Oregon,21
2020-07-07,Lake,Oregon,22
2020-07-08,Lake,Oregon,22
2020-07-09,Lake,Oregon,24
2020-07-10,Lake,Oregon,24
2020-07-11,Lake,Oregon,24
2020-07-12,Lake,Oregon,24
2020-07-13,Lake,Oregon,24
2020-07-14,Lake,Oregon,24
2020-07-15,Lake,Oregon,24
2020-07-16,Lake,Oregon,24
2020-07-17,Lake,Oregon,24
2020-07-18,Lake,Oregon,27
2020-07-19,Lake,Oregon,28
2020-07-20,Lake,Oregon,29
2020-07-21,Lake,Oregon,30
2020-07-22,Lake,Oregon,30
2020-07-23,Lake,Oregon,31
2020-07-24,Lake,Oregon,31
2020-07-25,Lake,Oregon,31
2020-07-26,Lake,Oregon,31
2020-07-27,Lake,Oregon,31
2020-07-28,Lake,Oregon,31
2020-07-29,Lake,Oregon,31
2020-07-30,Lake,Oregon,32
2020-07-31,Lake,Oregon,32
2020-08-01,Lake,Oregon,32
2020-08-02,Lake,Oregon,32
2020-08-03,Lake,Oregon,32
2020-08-04,Lake,Oregon,32
2020-08-05,Lake,Oregon,32
2020-08-06,Lake,Oregon,32
2020-08-07,Lake,Oregon,32
2020-08-08,Lake,Oregon,32
2020-08-09,Lake,Oregon,32
2020-08-10,Lake,Oregon,32
2020-08-11,Lake,Oregon,32
2020-08-12,Lake,Oregon,32
2020-08-13,Lake,Oregon,32
2020-08-14,Lake,Oregon,32
2020-08-15,Lake,Oregon,32
2020-08-16,Lake,Oregon,32
2020-08-17,Lake,Oregon,32
2020-08-18,Lake,Oregon,32
2020-08-19,Lake,Oregon,32
2020-08-20,Lake,Oregon,32
2020-08-21,Lake,Oregon,32
2020-08-22,Lake,Oregon,32
2020-08-23,Lake,Oregon,32
2020-08-24,Lake,Oregon,32
2020-08-25,Lake,Oregon,32
2020-08-26,Lake,Oregon,30
2020-08-27,Lake,Oregon,30
2020-08-28,Lake,Oregon,30
2020-08-29,Lake,Oregon,30
2020-08-30,Lake,Oregon,30
2020-08-31,Lake,Oregon,30
2020-09-01,Lake,Oregon,30
2020-09-02,Lake,Oregon,29
2020-09-03,Lake,Oregon,29
2020-09-04,Lake,Oregon,31
2020-09-05,Lake,Oregon,31
2020-09-06,Lake,Oregon,31
2020-09-07,Lake,Oregon,31
2020-09-08,Lake,Oregon,30
2020-09-09,Lake,Oregon,30
2020-09-10,Lake,Oregon,30
2020-09-11,Lake,Oregon,29
2020-09-12,Lake,Oregon,29
2020-09-13,Lake,Oregon,29
2020-09-14,Lake,Oregon,29
2020-09-15,Lake,Oregon,29
2020-09-16,Lake,Oregon,29
2020-09-17,Lake,Oregon,29
2020-09-18,Lake,Oregon,29
2020-09-19,Lake,Oregon,29
2020-09-20,Lake,Oregon,29
2020-09-21,Lake,Oregon,28
2020-09-22,Lake,Oregon,28
2020-09-23,Lake,Oregon,28
2020-09-24,Lake,Oregon,29
2020-09-25,Lake,Oregon,32
2020-09-26,Lake,Oregon,32
2020-09-27,Lake,Oregon,33
2020-09-28,Lake,Oregon,33
2020-09-29,Lake,Oregon,33
2020-09-30,Lake,Oregon,34
2020-10-01,Lake,Oregon,33
2020-10-02,Lake,Oregon,33
2020-10-03,Lake,Oregon,33
2020-10-04,Lake,Oregon,33
2020-10-05,Lake,Oregon,33
2020-10-06,Lake,Oregon,33
2020-10-07,Lake,Oregon,34
2020-10-08,Lake,Oregon,34
2020-10-09,Lake,Oregon,34
2020-10-10,Lake,Oregon,34
2020-10-11,Lake,Oregon,34
2020-10-12,Lake,Oregon,34
2020-10-13,Lake,Oregon,35
2020-10-14,Lake,Oregon,35
2020-10-15,Lake,Oregon,35
2020-10-16,Lake,Oregon,35
2020-10-17,Lake,Oregon,35
2020-10-18,Lake,Oregon,35
2020-10-19,Lake,Oregon,35
2020-10-20,Lake,Oregon,35
2020-10-21,Lake,Oregon,35
2020-10-22,Lake,Oregon,34
2020-10-23,Lake,Oregon,34
2020-10-24,Lake,Oregon,34
2020-10-25,Lake,Oregon,35
2020-10-26,Lake,Oregon,37
2020-10-27,Lake,Oregon,38
2020-10-28,Lake,Oregon,41
2020-10-29,Lake,Oregon,43
2020-10-30,Lake,Oregon,47
2020-10-31,Lake,Oregon,47
2020-11-01,Lake,Oregon,47
2020-11-02,Lake,Oregon,48
2020-11-03,Lake,Oregon,47
2020-11-04,Lake,Oregon,48
2020-11-05,Lake,Oregon,48
2020-11-06,Lake,Oregon,49
2020-11-07,Lake,Oregon,49
2020-11-08,Lake,Oregon,49
2020-11-09,Lake,Oregon,49
2020-11-10,Lake,Oregon,49
2020-11-11,Lake,Oregon,54
2020-11-12,Lake,Oregon,54
2020-11-13,Lake,Oregon,58
2020-11-14,Lake,Oregon,60
2020-11-15,Lake,Oregon,63
2020-11-16,Lake,Oregon,65
2020-11-17,Lake,Oregon,69
2020-11-18,Lake,Oregon,77
2020-11-19,Lake,Oregon,82
2020-11-20,Lake,Oregon,85
2020-11-21,Lake,Oregon,92
2020-11-22,Lake,Oregon,98
2020-11-23,Lake,Oregon,101
2020-11-24,Lake,Oregon,109
2020-11-25,Lake,Oregon,113
2020-11-26,Lake,Oregon,117
2020-11-27,Lake,Oregon,117
2020-11-28,Lake,Oregon,124
2020-11-29,Lake,Oregon,132
2020-11-30,Lake,Oregon,133
2020-12-01,Lake,Oregon,138
2020-12-02,Lake,Oregon,143
2020-12-03,Lake,Oregon,145
2020-12-04,Lake,Oregon,145
