date,county,state,cases
2020-03-17,Lane,Oregon,2
2020-03-18,Lane,Oregon,2
2020-03-19,Lane,Oregon,2
2020-03-20,Lane,Oregon,2
2020-03-21,Lane,Oregon,3
2020-03-22,Lane,Oregon,4
2020-03-23,Lane,Oregon,4
2020-03-24,Lane,Oregon,4
2020-03-25,Lane,Oregon,5
2020-03-26,Lane,Oregon,7
2020-03-27,Lane,Oregon,9
2020-03-28,Lane,Oregon,9
2020-03-29,Lane,Oregon,10
2020-03-30,Lane,Oregon,12
2020-03-31,Lane,Oregon,16
2020-04-01,Lane,Oregon,18
2020-04-02,Lane,Oregon,21
2020-04-03,Lane,Oregon,21
2020-04-04,Lane,Oregon,24
2020-04-05,Lane,Oregon,27
2020-04-06,Lane,Oregon,29
2020-04-07,Lane,Oregon,30
2020-04-08,Lane,Oregon,31
2020-04-09,Lane,Oregon,33
2020-04-10,Lane,Oregon,34
2020-04-11,Lane,Oregon,35
2020-04-12,Lane,Oregon,37
2020-04-13,Lane,Oregon,41
2020-04-14,Lane,Oregon,42
2020-04-15,Lane,Oregon,44
2020-04-16,Lane,Oregon,45
2020-04-17,Lane,Oregon,46
2020-04-18,Lane,Oregon,46
2020-04-19,Lane,Oregon,48
2020-04-20,Lane,Oregon,48
2020-04-21,Lane,Oregon,48
2020-04-22,Lane,Oregon,48
2020-04-23,Lane,Oregon,48
2020-04-24,Lane,Oregon,50
2020-04-25,Lane,Oregon,50
2020-04-26,Lane,Oregon,50
2020-04-27,Lane,Oregon,50
2020-04-28,Lane,Oregon,50
2020-04-29,Lane,Oregon,50
2020-04-30,Lane,Oregon,50
2020-05-01,Lane,Oregon,50
2020-05-02,Lane,Oregon,54
2020-05-03,Lane,Oregon,54
2020-05-04,Lane,Oregon,55
2020-05-05,Lane,Oregon,55
2020-05-06,Lane,Oregon,57
2020-05-07,Lane,Oregon,57
2020-05-08,Lane,Oregon,59
2020-05-09,Lane,Oregon,60
2020-05-10,Lane,Oregon,60
2020-05-11,Lane,Oregon,60
2020-05-12,Lane,Oregon,61
2020-05-13,Lane,Oregon,61
2020-05-14,Lane,Oregon,61
2020-05-15,Lane,Oregon,61
2020-05-16,Lane,Oregon,64
2020-05-17,Lane,Oregon,64
2020-05-18,Lane,Oregon,65
2020-05-19,Lane,Oregon,65
2020-05-20,Lane,Oregon,66
2020-05-21,Lane,Oregon,66
2020-05-22,Lane,Oregon,66
2020-05-23,Lane,Oregon,67
2020-05-24,Lane,Oregon,67
2020-05-25,Lane,Oregon,67
2020-05-26,Lane,Oregon,67
2020-05-27,Lane,Oregon,67
2020-05-28,Lane,Oregon,67
2020-05-29,Lane,Oregon,68
2020-05-30,Lane,Oregon,69
2020-05-31,Lane,Oregon,73
2020-06-01,Lane,Oregon,77
2020-06-02,Lane,Oregon,77
2020-06-03,Lane,Oregon,77
2020-06-04,Lane,Oregon,80
2020-06-05,Lane,Oregon,80
2020-06-06,Lane,Oregon,80
2020-06-07,Lane,Oregon,80
2020-06-08,Lane,Oregon,81
2020-06-09,Lane,Oregon,81
2020-06-10,Lane,Oregon,82
2020-06-11,Lane,Oregon,85
2020-06-12,Lane,Oregon,85
2020-06-13,Lane,Oregon,88
2020-06-14,Lane,Oregon,89
2020-06-15,Lane,Oregon,89
2020-06-16,Lane,Oregon,90
2020-06-17,Lane,Oregon,90
2020-06-18,Lane,Oregon,90
2020-06-19,Lane,Oregon,93
2020-06-20,Lane,Oregon,93
2020-06-21,Lane,Oregon,102
2020-06-22,Lane,Oregon,106
2020-06-23,Lane,Oregon,107
2020-06-24,Lane,Oregon,107
2020-06-25,Lane,Oregon,112
2020-06-26,Lane,Oregon,122
2020-06-27,Lane,Oregon,136
2020-06-28,Lane,Oregon,139
2020-06-29,Lane,Oregon,145
2020-06-30,Lane,Oregon,151
2020-07-01,Lane,Oregon,165
2020-07-02,Lane,Oregon,180
2020-07-03,Lane,Oregon,196
2020-07-04,Lane,Oregon,208
2020-07-05,Lane,Oregon,218
2020-07-06,Lane,Oregon,228
2020-07-07,Lane,Oregon,243
2020-07-08,Lane,Oregon,253
2020-07-09,Lane,Oregon,271
2020-07-10,Lane,Oregon,281
2020-07-11,Lane,Oregon,294
2020-07-12,Lane,Oregon,305
2020-07-13,Lane,Oregon,309
2020-07-14,Lane,Oregon,317
2020-07-15,Lane,Oregon,324
2020-07-16,Lane,Oregon,336
