date,county,state,cases
2020-03-11,Linn,Oregon,2
2020-03-12,Linn,Oregon,8
2020-03-13,Linn,Oregon,8
2020-03-14,Linn,Oregon,9
2020-03-15,Linn,Oregon,10
2020-03-16,Linn,Oregon,10
2020-03-17,Linn,Oregon,15
2020-03-18,Linn,Oregon,15
2020-03-19,Linn,Oregon,17
2020-03-20,Linn,Oregon,19
2020-03-21,Linn,Oregon,19
2020-03-22,Linn,Oregon,19
2020-03-23,Linn,Oregon,20
2020-03-24,Linn,Oregon,20
2020-03-25,Linn,Oregon,25
2020-03-26,Linn,Oregon,26
2020-03-27,Linn,Oregon,28
2020-03-28,Linn,Oregon,32
2020-03-29,Linn,Oregon,36
2020-03-30,Linn,Oregon,36
2020-03-31,Linn,Oregon,37
2020-04-01,Linn,Oregon,37
2020-04-02,Linn,Oregon,37
2020-04-03,Linn,Oregon,37
2020-04-04,Linn,Oregon,41
2020-04-05,Linn,Oregon,43
2020-04-06,Linn,Oregon,44
2020-04-07,Linn,Oregon,45
2020-04-08,Linn,Oregon,46
2020-04-09,Linn,Oregon,49
2020-04-10,Linn,Oregon,49
2020-04-11,Linn,Oregon,51
2020-04-12,Linn,Oregon,52
2020-04-13,Linn,Oregon,52
2020-04-14,Linn,Oregon,52
2020-04-15,Linn,Oregon,53
2020-04-16,Linn,Oregon,54
2020-04-17,Linn,Oregon,57
2020-04-18,Linn,Oregon,59
2020-04-19,Linn,Oregon,59
2020-04-20,Linn,Oregon,61
2020-04-21,Linn,Oregon,62
2020-04-22,Linn,Oregon,63
2020-04-23,Linn,Oregon,67
2020-04-24,Linn,Oregon,67
2020-04-25,Linn,Oregon,71
2020-04-26,Linn,Oregon,74
2020-04-27,Linn,Oregon,79
2020-04-28,Linn,Oregon,81
2020-04-29,Linn,Oregon,82
2020-04-30,Linn,Oregon,86
2020-05-01,Linn,Oregon,87
2020-05-02,Linn,Oregon,87
2020-05-03,Linn,Oregon,87
2020-05-04,Linn,Oregon,97
2020-05-05,Linn,Oregon,98
2020-05-06,Linn,Oregon,99
2020-05-07,Linn,Oregon,99
2020-05-08,Linn,Oregon,100
2020-05-09,Linn,Oregon,102
2020-05-10,Linn,Oregon,102
2020-05-11,Linn,Oregon,103
2020-05-12,Linn,Oregon,104
2020-05-13,Linn,Oregon,105
2020-05-14,Linn,Oregon,107
2020-05-15,Linn,Oregon,109
2020-05-16,Linn,Oregon,110
2020-05-17,Linn,Oregon,109
2020-05-18,Linn,Oregon,109
2020-05-19,Linn,Oregon,109
2020-05-20,Linn,Oregon,110
2020-05-21,Linn,Oregon,110
2020-05-22,Linn,Oregon,112
2020-05-23,Linn,Oregon,112
2020-05-24,Linn,Oregon,116
2020-05-25,Linn,Oregon,115
2020-05-26,Linn,Oregon,115
2020-05-27,Linn,Oregon,115
2020-05-28,Linn,Oregon,115
2020-05-29,Linn,Oregon,115
2020-05-30,Linn,Oregon,115
2020-05-31,Linn,Oregon,115
2020-06-01,Linn,Oregon,117
2020-06-02,Linn,Oregon,118
2020-06-03,Linn,Oregon,119
2020-06-04,Linn,Oregon,121
2020-06-05,Linn,Oregon,124
2020-06-06,Linn,Oregon,124
2020-06-07,Linn,Oregon,125
2020-06-08,Linn,Oregon,125
2020-06-09,Linn,Oregon,125
2020-06-10,Linn,Oregon,125
2020-06-11,Linn,Oregon,125
2020-06-12,Linn,Oregon,125
2020-06-13,Linn,Oregon,125
2020-06-14,Linn,Oregon,126
2020-06-15,Linn,Oregon,126
2020-06-16,Linn,Oregon,126
2020-06-17,Linn,Oregon,125
2020-06-18,Linn,Oregon,126
2020-06-19,Linn,Oregon,127
2020-06-20,Linn,Oregon,127
2020-06-21,Linn,Oregon,129
2020-06-22,Linn,Oregon,129
2020-06-23,Linn,Oregon,129
2020-06-24,Linn,Oregon,130
2020-06-25,Linn,Oregon,132
2020-06-26,Linn,Oregon,136
2020-06-27,Linn,Oregon,140
2020-06-28,Linn,Oregon,140
2020-06-29,Linn,Oregon,140
2020-06-30,Linn,Oregon,144
2020-07-01,Linn,Oregon,151
2020-07-02,Linn,Oregon,154
2020-07-03,Linn,Oregon,156
2020-07-04,Linn,Oregon,157
2020-07-05,Linn,Oregon,157
2020-07-06,Linn,Oregon,157
2020-07-07,Linn,Oregon,157
2020-07-08,Linn,Oregon,165
2020-07-09,Linn,Oregon,168
2020-07-10,Linn,Oregon,172
2020-07-11,Linn,Oregon,174
2020-07-12,Linn,Oregon,181
2020-07-13,Linn,Oregon,182
2020-07-14,Linn,Oregon,184
2020-07-15,Linn,Oregon,186
2020-07-16,Linn,Oregon,190
2020-07-17,Linn,Oregon,193
2020-07-18,Linn,Oregon,196
2020-07-19,Linn,Oregon,200
2020-07-20,Linn,Oregon,199
2020-07-21,Linn,Oregon,198
2020-07-22,Linn,Oregon,204
2020-07-23,Linn,Oregon,207
2020-07-24,Linn,Oregon,215
2020-07-25,Linn,Oregon,218
2020-07-26,Linn,Oregon,223
2020-07-27,Linn,Oregon,224
2020-07-28,Linn,Oregon,229
2020-07-29,Linn,Oregon,229
2020-07-30,Linn,Oregon,233
2020-07-31,Linn,Oregon,238
2020-08-01,Linn,Oregon,244
2020-08-02,Linn,Oregon,248
2020-08-03,Linn,Oregon,254
2020-08-04,Linn,Oregon,255
2020-08-05,Linn,Oregon,263
2020-08-06,Linn,Oregon,265
2020-08-07,Linn,Oregon,271
2020-08-08,Linn,Oregon,277
2020-08-09,Linn,Oregon,281
2020-08-10,Linn,Oregon,284
2020-08-11,Linn,Oregon,296
2020-08-12,Linn,Oregon,303
2020-08-13,Linn,Oregon,306
2020-08-14,Linn,Oregon,315
2020-08-15,Linn,Oregon,328
2020-08-16,Linn,Oregon,333
2020-08-17,Linn,Oregon,338
2020-08-18,Linn,Oregon,342
2020-08-19,Linn,Oregon,344
2020-08-20,Linn,Oregon,350
2020-08-21,Linn,Oregon,353
2020-08-22,Linn,Oregon,356
2020-08-23,Linn,Oregon,363
2020-08-24,Linn,Oregon,362
2020-08-25,Linn,Oregon,365
2020-08-26,Linn,Oregon,366
2020-08-27,Linn,Oregon,371
2020-08-28,Linn,Oregon,377
2020-08-29,Linn,Oregon,380
2020-08-30,Linn,Oregon,385
2020-08-31,Linn,Oregon,389
2020-09-01,Linn,Oregon,389
2020-09-02,Linn,Oregon,391
2020-09-03,Linn,Oregon,393
2020-09-04,Linn,Oregon,398
2020-09-05,Linn,Oregon,399
2020-09-06,Linn,Oregon,401
2020-09-07,Linn,Oregon,405
2020-09-08,Linn,Oregon,405
2020-09-09,Linn,Oregon,416
2020-09-10,Linn,Oregon,421
2020-09-11,Linn,Oregon,424
2020-09-12,Linn,Oregon,427
2020-09-13,Linn,Oregon,431
2020-09-14,Linn,Oregon,431
2020-09-15,Linn,Oregon,437
2020-09-16,Linn,Oregon,438
2020-09-17,Linn,Oregon,449
2020-09-18,Linn,Oregon,454
2020-09-19,Linn,Oregon,458
2020-09-20,Linn,Oregon,466
2020-09-21,Linn,Oregon,468
2020-09-22,Linn,Oregon,478
2020-09-23,Linn,Oregon,480
2020-09-24,Linn,Oregon,495
2020-09-25,Linn,Oregon,508
2020-09-26,Linn,Oregon,519
2020-09-27,Linn,Oregon,522
2020-09-28,Linn,Oregon,522
2020-09-29,Linn,Oregon,525
2020-09-30,Linn,Oregon,532
2020-10-01,Linn,Oregon,548
2020-10-02,Linn,Oregon,552
2020-10-03,Linn,Oregon,562
2020-10-04,Linn,Oregon,568
2020-10-05,Linn,Oregon,575
2020-10-06,Linn,Oregon,580
2020-10-07,Linn,Oregon,611
2020-10-08,Linn,Oregon,630
2020-10-09,Linn,Oregon,648
2020-10-10,Linn,Oregon,660
2020-10-11,Linn,Oregon,671
2020-10-12,Linn,Oregon,678
2020-10-13,Linn,Oregon,699
2020-10-14,Linn,Oregon,704
2020-10-15,Linn,Oregon,716
2020-10-16,Linn,Oregon,726
2020-10-17,Linn,Oregon,734
