date,county,state,cases
2020-03-31,Wallowa,Oregon,1
2020-04-01,Wallowa,Oregon,1
2020-04-02,Wallowa,Oregon,1
2020-04-03,Wallowa,Oregon,1
2020-04-04,Wallowa,Oregon,1
2020-04-05,Wallowa,Oregon,1
2020-04-06,Wallowa,Oregon,1
2020-04-07,Wallowa,Oregon,1
2020-04-08,Wallowa,Oregon,2
2020-04-09,Wallowa,Oregon,1
2020-04-10,Wallowa,Oregon,1
2020-04-11,Wallowa,Oregon,1
2020-04-12,Wallowa,Oregon,1
2020-04-13,Wallowa,Oregon,1
2020-04-14,Wallowa,Oregon,1
2020-04-15,Wallowa,Oregon,1
2020-04-16,Wallowa,Oregon,1
2020-04-17,Wallowa,Oregon,1
2020-04-18,Wallowa,Oregon,1
2020-04-19,Wallowa,Oregon,1
2020-04-20,Wallowa,Oregon,1
2020-04-21,Wallowa,Oregon,1
2020-04-22,Wallowa,Oregon,1
2020-04-23,Wallowa,Oregon,1
2020-04-24,Wallowa,Oregon,1
2020-04-25,Wallowa,Oregon,1
2020-04-26,Wallowa,Oregon,1
2020-04-27,Wallowa,Oregon,1
2020-04-28,Wallowa,Oregon,1
2020-04-29,Wallowa,Oregon,1
2020-04-30,Wallowa,Oregon,1
2020-05-01,Wallowa,Oregon,1
2020-05-02,Wallowa,Oregon,1
2020-05-03,Wallowa,Oregon,1
2020-05-04,Wallowa,Oregon,1
2020-05-05,Wallowa,Oregon,1
2020-05-06,Wallowa,Oregon,1
2020-05-07,Wallowa,Oregon,1
2020-05-08,Wallowa,Oregon,1
2020-05-09,Wallowa,Oregon,1
2020-05-10,Wallowa,Oregon,1
2020-05-11,Wallowa,Oregon,1
2020-05-12,Wallowa,Oregon,1
2020-05-13,Wallowa,Oregon,1
2020-05-14,Wallowa,Oregon,1
2020-05-15,Wallowa,Oregon,2
2020-05-16,Wallowa,Oregon,1
2020-05-17,Wallowa,Oregon,1
2020-05-18,Wallowa,Oregon,1
2020-05-19,Wallowa,Oregon,1
2020-05-20,Wallowa,Oregon,1
2020-05-21,Wallowa,Oregon,1
2020-05-22,Wallowa,Oregon,1
2020-05-23,Wallowa,Oregon,2
2020-05-24,Wallowa,Oregon,2
2020-05-25,Wallowa,Oregon,2
2020-05-26,Wallowa,Oregon,2
2020-05-27,Wallowa,Oregon,2
2020-05-28,Wallowa,Oregon,2
2020-05-29,Wallowa,Oregon,2
2020-05-30,Wallowa,Oregon,2
2020-05-31,Wallowa,Oregon,2
2020-06-01,Wallowa,Oregon,2
2020-06-02,Wallowa,Oregon,2
2020-06-03,Wallowa,Oregon,2
2020-06-04,Wallowa,Oregon,2
2020-06-05,Wallowa,Oregon,2
2020-06-06,Wallowa,Oregon,3
2020-06-07,Wallowa,Oregon,3
2020-06-08,Wallowa,Oregon,3
2020-06-09,Wallowa,Oregon,3
2020-06-10,Wallowa,Oregon,3
2020-06-11,Wallowa,Oregon,4
2020-06-12,Wallowa,Oregon,4
2020-06-13,Wallowa,Oregon,4
2020-06-14,Wallowa,Oregon,4
2020-06-15,Wallowa,Oregon,4
2020-06-16,Wallowa,Oregon,4
2020-06-17,Wallowa,Oregon,4
2020-06-18,Wallowa,Oregon,4
2020-06-19,Wallowa,Oregon,5
2020-06-20,Wallowa,Oregon,5
2020-06-21,Wallowa,Oregon,8
2020-06-22,Wallowa,Oregon,8
2020-06-23,Wallowa,Oregon,8
2020-06-24,Wallowa,Oregon,8
2020-06-25,Wallowa,Oregon,8
2020-06-26,Wallowa,Oregon,8
2020-06-27,Wallowa,Oregon,8
2020-06-28,Wallowa,Oregon,8
2020-06-29,Wallowa,Oregon,8
2020-06-30,Wallowa,Oregon,8
2020-07-01,Wallowa,Oregon,10
2020-07-02,Wallowa,Oregon,10
2020-07-03,Wallowa,Oregon,10
2020-07-04,Wallowa,Oregon,10
2020-07-05,Wallowa,Oregon,10
2020-07-06,Wallowa,Oregon,10
2020-07-07,Wallowa,Oregon,11
2020-07-08,Wallowa,Oregon,11
2020-07-09,Wallowa,Oregon,12
2020-07-10,Wallowa,Oregon,13
2020-07-11,Wallowa,Oregon,14
2020-07-12,Wallowa,Oregon,14
2020-07-13,Wallowa,Oregon,15
2020-07-14,Wallowa,Oregon,15
2020-07-15,Wallowa,Oregon,15
2020-07-16,Wallowa,Oregon,15
2020-07-17,Wallowa,Oregon,15
2020-07-18,Wallowa,Oregon,17
2020-07-19,Wallowa,Oregon,18
2020-07-20,Wallowa,Oregon,18
2020-07-21,Wallowa,Oregon,18
2020-07-22,Wallowa,Oregon,18
2020-07-23,Wallowa,Oregon,18
2020-07-24,Wallowa,Oregon,18
2020-07-25,Wallowa,Oregon,18
2020-07-26,Wallowa,Oregon,18
2020-07-27,Wallowa,Oregon,18
2020-07-28,Wallowa,Oregon,18
