date,county,state,cases
2020-03-26,Wasco,Oregon,1
2020-03-27,Wasco,Oregon,2
2020-03-28,Wasco,Oregon,2
2020-03-29,Wasco,Oregon,3
2020-03-30,Wasco,Oregon,5
2020-03-31,Wasco,Oregon,7
2020-04-01,Wasco,Oregon,7
2020-04-02,Wasco,Oregon,7
2020-04-03,Wasco,Oregon,7
2020-04-04,Wasco,Oregon,7
2020-04-05,Wasco,Oregon,7
2020-04-06,Wasco,Oregon,7
2020-04-07,Wasco,Oregon,7
2020-04-08,Wasco,Oregon,7
2020-04-09,Wasco,Oregon,7
2020-04-10,Wasco,Oregon,7
2020-04-11,Wasco,Oregon,9
2020-04-12,Wasco,Oregon,10
2020-04-13,Wasco,Oregon,10
2020-04-14,Wasco,Oregon,10
2020-04-15,Wasco,Oregon,10
2020-04-16,Wasco,Oregon,10
2020-04-17,Wasco,Oregon,10
2020-04-18,Wasco,Oregon,10
2020-04-19,Wasco,Oregon,10
2020-04-20,Wasco,Oregon,10
2020-04-21,Wasco,Oregon,11
2020-04-22,Wasco,Oregon,11
2020-04-23,Wasco,Oregon,12
2020-04-24,Wasco,Oregon,12
2020-04-25,Wasco,Oregon,12
2020-04-26,Wasco,Oregon,12
2020-04-27,Wasco,Oregon,12
2020-04-28,Wasco,Oregon,13
2020-04-29,Wasco,Oregon,13
2020-04-30,Wasco,Oregon,13
2020-05-01,Wasco,Oregon,13
2020-05-02,Wasco,Oregon,13
2020-05-03,Wasco,Oregon,13
2020-05-04,Wasco,Oregon,13
2020-05-05,Wasco,Oregon,13
2020-05-06,Wasco,Oregon,14
2020-05-07,Wasco,Oregon,14
2020-05-08,Wasco,Oregon,15
2020-05-09,Wasco,Oregon,15
2020-05-10,Wasco,Oregon,15
2020-05-11,Wasco,Oregon,15
2020-05-12,Wasco,Oregon,16
2020-05-13,Wasco,Oregon,16
2020-05-14,Wasco,Oregon,16
2020-05-15,Wasco,Oregon,16
2020-05-16,Wasco,Oregon,18
2020-05-17,Wasco,Oregon,18
2020-05-18,Wasco,Oregon,18
2020-05-19,Wasco,Oregon,18
2020-05-20,Wasco,Oregon,18
2020-05-21,Wasco,Oregon,18
2020-05-22,Wasco,Oregon,18
2020-05-23,Wasco,Oregon,18
2020-05-24,Wasco,Oregon,18
2020-05-25,Wasco,Oregon,18
2020-05-26,Wasco,Oregon,18
2020-05-27,Wasco,Oregon,20
2020-05-28,Wasco,Oregon,21
2020-05-29,Wasco,Oregon,22
2020-05-30,Wasco,Oregon,23
2020-05-31,Wasco,Oregon,24
2020-06-01,Wasco,Oregon,24
2020-06-02,Wasco,Oregon,26
2020-06-03,Wasco,Oregon,28
2020-06-04,Wasco,Oregon,29
2020-06-05,Wasco,Oregon,32
2020-06-06,Wasco,Oregon,33
2020-06-07,Wasco,Oregon,35
2020-06-08,Wasco,Oregon,35
2020-06-09,Wasco,Oregon,35
2020-06-10,Wasco,Oregon,35
2020-06-11,Wasco,Oregon,35
2020-06-12,Wasco,Oregon,38
2020-06-13,Wasco,Oregon,39
2020-06-14,Wasco,Oregon,39
2020-06-15,Wasco,Oregon,41
2020-06-16,Wasco,Oregon,42
2020-06-17,Wasco,Oregon,42
