date,county,state,cases
2020-10-11,Wheeler,Oregon,1
2020-10-12,Wheeler,Oregon,1
2020-10-13,Wheeler,Oregon,1
2020-10-14,Wheeler,Oregon,1
2020-10-15,Wheeler,Oregon,1
2020-10-16,Wheeler,Oregon,1
2020-10-17,Wheeler,Oregon,1
2020-10-18,Wheeler,Oregon,1
2020-10-19,Wheeler,Oregon,1
2020-10-20,Wheeler,Oregon,1
2020-10-21,Wheeler,Oregon,1
2020-10-22,Wheeler,Oregon,1
2020-10-23,Wheeler,Oregon,1
2020-10-24,Wheeler,Oregon,1
2020-10-25,Wheeler,Oregon,1
2020-10-26,Wheeler,Oregon,1
2020-10-27,Wheeler,Oregon,2
2020-10-28,Wheeler,Oregon,1
2020-10-29,Wheeler,Oregon,1
2020-10-30,Wheeler,Oregon,1
2020-10-31,Wheeler,Oregon,1
2020-11-01,Wheeler,Oregon,1
2020-11-02,Wheeler,Oregon,1
2020-11-03,Wheeler,Oregon,1
2020-11-04,Wheeler,Oregon,1
2020-11-05,Wheeler,Oregon,1
2020-11-06,Wheeler,Oregon,1
2020-11-07,Wheeler,Oregon,1
2020-11-08,Wheeler,Oregon,1
2020-11-09,Wheeler,Oregon,1
2020-11-10,Wheeler,Oregon,1
2020-11-11,Wheeler,Oregon,1
2020-11-12,Wheeler,Oregon,1
2020-11-13,Wheeler,Oregon,1
2020-11-14,Wheeler,Oregon,1
2020-11-15,Wheeler,Oregon,1
2020-11-16,Wheeler,Oregon,1
2020-11-17,Wheeler,Oregon,1
2020-11-18,Wheeler,Oregon,1
2020-11-19,Wheeler,Oregon,1
2020-11-20,Wheeler,Oregon,1
2020-11-21,Wheeler,Oregon,2
2020-11-22,Wheeler,Oregon,2
2020-11-23,Wheeler,Oregon,3
2020-11-24,Wheeler,Oregon,3
2020-11-25,Wheeler,Oregon,3
2020-11-26,Wheeler,Oregon,3
2020-11-27,Wheeler,Oregon,3
2020-11-28,Wheeler,Oregon,3
2020-11-29,Wheeler,Oregon,3
2020-11-30,Wheeler,Oregon,3
2020-12-01,Wheeler,Oregon,5
2020-12-02,Wheeler,Oregon,6
2020-12-03,Wheeler,Oregon,6
2020-12-04,Wheeler,Oregon,6
2020-12-05,Wheeler,Oregon,7
2020-12-06,Wheeler,Oregon,7
2020-12-07,Wheeler,Oregon,7
2020-12-08,Wheeler,Oregon,10
2020-12-09,Wheeler,Oregon,10
2020-12-10,Wheeler,Oregon,10
2020-12-11,Wheeler,Oregon,10
2020-12-12,Wheeler,Oregon,11
2020-12-13,Wheeler,Oregon,11
2020-12-14,Wheeler,Oregon,11
2020-12-15,Wheeler,Oregon,11
2020-12-16,Wheeler,Oregon,11
2020-12-17,Wheeler,Oregon,12
2020-12-18,Wheeler,Oregon,12
2020-12-19,Wheeler,Oregon,12
2020-12-20,Wheeler,Oregon,12
2020-12-21,Wheeler,Oregon,12
2020-12-22,Wheeler,Oregon,13
2020-12-23,Wheeler,Oregon,16
2020-12-24,Wheeler,Oregon,16
2020-12-25,Wheeler,Oregon,16
2020-12-26,Wheeler,Oregon,16
2020-12-27,Wheeler,Oregon,16
2020-12-28,Wheeler,Oregon,16
2020-12-29,Wheeler,Oregon,17
2020-12-30,Wheeler,Oregon,17
2020-12-31,Wheeler,Oregon,17
2021-01-01,Wheeler,Oregon,17
2021-01-02,Wheeler,Oregon,17
2021-01-03,Wheeler,Oregon,17
2021-01-04,Wheeler,Oregon,17
2021-01-05,Wheeler,Oregon,17
2021-01-06,Wheeler,Oregon,17
2021-01-07,Wheeler,Oregon,17
2021-01-08,Wheeler,Oregon,17
2021-01-09,Wheeler,Oregon,17
2021-01-10,Wheeler,Oregon,17
2021-01-11,Wheeler,Oregon,17
2021-01-12,Wheeler,Oregon,17
2021-01-13,Wheeler,Oregon,17
2021-01-14,Wheeler,Oregon,19
2021-01-15,Wheeler,Oregon,19
2021-01-16,Wheeler,Oregon,20
2021-01-17,Wheeler,Oregon,20
2021-01-18,Wheeler,Oregon,20
2021-01-19,Wheeler,Oregon,20
2021-01-20,Wheeler,Oregon,20
2021-01-21,Wheeler,Oregon,20
2021-01-22,Wheeler,Oregon,20
2021-01-23,Wheeler,Oregon,20
2021-01-24,Wheeler,Oregon,20
2021-01-25,Wheeler,Oregon,20
2021-01-26,Wheeler,Oregon,20
2021-01-27,Wheeler,Oregon,20
