date,county,state,cases
2020-03-12,Clackamas,Oregon,1
2020-03-13,Clackamas,Oregon,1
2020-03-14,Clackamas,Oregon,1
2020-03-15,Clackamas,Oregon,1
2020-03-16,Clackamas,Oregon,2
2020-03-17,Clackamas,Oregon,6
2020-03-18,Clackamas,Oregon,6
2020-03-19,Clackamas,Oregon,6
2020-03-20,Clackamas,Oregon,10
2020-03-21,Clackamas,Oregon,11
2020-03-22,Clackamas,Oregon,12
2020-03-23,Clackamas,Oregon,14
2020-03-24,Clackamas,Oregon,17
2020-03-25,Clackamas,Oregon,21
2020-03-26,Clackamas,Oregon,21
2020-03-27,Clackamas,Oregon,31
2020-03-28,Clackamas,Oregon,36
2020-03-29,Clackamas,Oregon,39
2020-03-30,Clackamas,Oregon,40
2020-03-31,Clackamas,Oregon,50
2020-04-01,Clackamas,Oregon,56
2020-04-02,Clackamas,Oregon,61
2020-04-03,Clackamas,Oregon,66
2020-04-04,Clackamas,Oregon,78
2020-04-05,Clackamas,Oregon,84
2020-04-06,Clackamas,Oregon,90
2020-04-07,Clackamas,Oregon,97
2020-04-08,Clackamas,Oregon,103
2020-04-09,Clackamas,Oregon,109
2020-04-10,Clackamas,Oregon,116
2020-04-11,Clackamas,Oregon,121
2020-04-12,Clackamas,Oregon,125
2020-04-13,Clackamas,Oregon,132
2020-04-14,Clackamas,Oregon,135
2020-04-15,Clackamas,Oregon,142
2020-04-16,Clackamas,Oregon,150
2020-04-17,Clackamas,Oregon,153
2020-04-18,Clackamas,Oregon,154
2020-04-19,Clackamas,Oregon,161
2020-04-20,Clackamas,Oregon,171
2020-04-21,Clackamas,Oregon,173
2020-04-22,Clackamas,Oregon,183
2020-04-23,Clackamas,Oregon,191
2020-04-24,Clackamas,Oregon,196
2020-04-25,Clackamas,Oregon,201
2020-04-26,Clackamas,Oregon,204
2020-04-27,Clackamas,Oregon,204
2020-04-28,Clackamas,Oregon,205
2020-04-29,Clackamas,Oregon,206
2020-04-30,Clackamas,Oregon,214
2020-05-01,Clackamas,Oregon,222
2020-05-02,Clackamas,Oregon,224
2020-05-03,Clackamas,Oregon,225
2020-05-04,Clackamas,Oregon,226
2020-05-05,Clackamas,Oregon,231
2020-05-06,Clackamas,Oregon,235
2020-05-07,Clackamas,Oregon,241
2020-05-08,Clackamas,Oregon,250
2020-05-09,Clackamas,Oregon,256
2020-05-10,Clackamas,Oregon,266
2020-05-11,Clackamas,Oregon,268
2020-05-12,Clackamas,Oregon,274
2020-05-13,Clackamas,Oregon,274
2020-05-14,Clackamas,Oregon,271
2020-05-15,Clackamas,Oregon,277
2020-05-16,Clackamas,Oregon,281
2020-05-17,Clackamas,Oregon,281
2020-05-18,Clackamas,Oregon,286
2020-05-19,Clackamas,Oregon,284
2020-05-20,Clackamas,Oregon,284
2020-05-21,Clackamas,Oregon,284
2020-05-22,Clackamas,Oregon,289
2020-05-23,Clackamas,Oregon,290
2020-05-24,Clackamas,Oregon,290
2020-05-25,Clackamas,Oregon,294
2020-05-26,Clackamas,Oregon,296
2020-05-27,Clackamas,Oregon,300
2020-05-28,Clackamas,Oregon,304
2020-05-29,Clackamas,Oregon,305
2020-05-30,Clackamas,Oregon,306
2020-05-31,Clackamas,Oregon,312
2020-06-01,Clackamas,Oregon,317
2020-06-02,Clackamas,Oregon,317
2020-06-03,Clackamas,Oregon,324
2020-06-04,Clackamas,Oregon,333
2020-06-05,Clackamas,Oregon,343
2020-06-06,Clackamas,Oregon,350
2020-06-07,Clackamas,Oregon,364
2020-06-08,Clackamas,Oregon,377
2020-06-09,Clackamas,Oregon,400
2020-06-10,Clackamas,Oregon,409
2020-06-11,Clackamas,Oregon,450
2020-06-12,Clackamas,Oregon,459
2020-06-13,Clackamas,Oregon,476
2020-06-14,Clackamas,Oregon,486
2020-06-15,Clackamas,Oregon,492
2020-06-16,Clackamas,Oregon,513
2020-06-17,Clackamas,Oregon,530
2020-06-18,Clackamas,Oregon,542
2020-06-19,Clackamas,Oregon,565
2020-06-20,Clackamas,Oregon,584
2020-06-21,Clackamas,Oregon,596
2020-06-22,Clackamas,Oregon,611
2020-06-23,Clackamas,Oregon,636
2020-06-24,Clackamas,Oregon,644
2020-06-25,Clackamas,Oregon,652
2020-06-26,Clackamas,Oregon,686
2020-06-27,Clackamas,Oregon,685
2020-06-28,Clackamas,Oregon,703
2020-06-29,Clackamas,Oregon,721
2020-06-30,Clackamas,Oregon,736
2020-07-01,Clackamas,Oregon,754
2020-07-02,Clackamas,Oregon,776
2020-07-03,Clackamas,Oregon,799
2020-07-04,Clackamas,Oregon,825
2020-07-05,Clackamas,Oregon,849
2020-07-06,Clackamas,Oregon,865
2020-07-07,Clackamas,Oregon,881
2020-07-08,Clackamas,Oregon,898
2020-07-09,Clackamas,Oregon,918
2020-07-10,Clackamas,Oregon,925
2020-07-11,Clackamas,Oregon,955
2020-07-12,Clackamas,Oregon,987
2020-07-13,Clackamas,Oregon,1006
2020-07-14,Clackamas,Oregon,1027
2020-07-15,Clackamas,Oregon,1051
2020-07-16,Clackamas,Oregon,1079
2020-07-17,Clackamas,Oregon,1097
2020-07-18,Clackamas,Oregon,1111
2020-07-19,Clackamas,Oregon,1130
2020-07-20,Clackamas,Oregon,1141
2020-07-21,Clackamas,Oregon,1156
2020-07-22,Clackamas,Oregon,1181
2020-07-23,Clackamas,Oregon,1201
2020-07-24,Clackamas,Oregon,1227
2020-07-25,Clackamas,Oregon,1255
2020-07-26,Clackamas,Oregon,1276
2020-07-27,Clackamas,Oregon,1283
2020-07-28,Clackamas,Oregon,1296
2020-07-29,Clackamas,Oregon,1319
2020-07-30,Clackamas,Oregon,1339
2020-07-31,Clackamas,Oregon,1361
2020-08-01,Clackamas,Oregon,1377
2020-08-02,Clackamas,Oregon,1401
2020-08-03,Clackamas,Oregon,1421
2020-08-04,Clackamas,Oregon,1443
2020-08-05,Clackamas,Oregon,1464
2020-08-06,Clackamas,Oregon,1484
2020-08-07,Clackamas,Oregon,1500
2020-08-08,Clackamas,Oregon,1523
2020-08-09,Clackamas,Oregon,1538
2020-08-10,Clackamas,Oregon,1549
2020-08-11,Clackamas,Oregon,1571
2020-08-12,Clackamas,Oregon,1595
2020-08-13,Clackamas,Oregon,1607
2020-08-14,Clackamas,Oregon,1627
2020-08-15,Clackamas,Oregon,1664
2020-08-16,Clackamas,Oregon,1689
2020-08-17,Clackamas,Oregon,1699
2020-08-18,Clackamas,Oregon,1709
2020-08-19,Clackamas,Oregon,1725
2020-08-20,Clackamas,Oregon,1756
2020-08-21,Clackamas,Oregon,1769
2020-08-22,Clackamas,Oregon,1792
2020-08-23,Clackamas,Oregon,1811
2020-08-24,Clackamas,Oregon,1833
2020-08-25,Clackamas,Oregon,1852
2020-08-26,Clackamas,Oregon,1861
2020-08-27,Clackamas,Oregon,1878
2020-08-28,Clackamas,Oregon,1904
2020-08-29,Clackamas,Oregon,1923
2020-08-30,Clackamas,Oregon,1939
2020-08-31,Clackamas,Oregon,1953
2020-09-01,Clackamas,Oregon,1979
2020-09-02,Clackamas,Oregon,1981
2020-09-03,Clackamas,Oregon,2003
2020-09-04,Clackamas,Oregon,2022
2020-09-05,Clackamas,Oregon,2045
2020-09-06,Clackamas,Oregon,2063
2020-09-07,Clackamas,Oregon,2079
2020-09-08,Clackamas,Oregon,2095
2020-09-09,Clackamas,Oregon,2099
2020-09-10,Clackamas,Oregon,2112
2020-09-11,Clackamas,Oregon,2126
2020-09-12,Clackamas,Oregon,2142
2020-09-13,Clackamas,Oregon,2151
2020-09-14,Clackamas,Oregon,2168
2020-09-15,Clackamas,Oregon,2178
2020-09-16,Clackamas,Oregon,2186
2020-09-17,Clackamas,Oregon,2199
2020-09-18,Clackamas,Oregon,2226
2020-09-19,Clackamas,Oregon,2237
2020-09-20,Clackamas,Oregon,2256
2020-09-21,Clackamas,Oregon,2273
2020-09-22,Clackamas,Oregon,2304
2020-09-23,Clackamas,Oregon,2314
2020-09-24,Clackamas,Oregon,2346
2020-09-25,Clackamas,Oregon,2377
2020-09-26,Clackamas,Oregon,2398
2020-09-27,Clackamas,Oregon,2408
2020-09-28,Clackamas,Oregon,2420
2020-09-29,Clackamas,Oregon,2448
2020-09-30,Clackamas,Oregon,2466
2020-10-01,Clackamas,Oregon,2491
2020-10-02,Clackamas,Oregon,2506
2020-10-03,Clackamas,Oregon,2526
2020-10-04,Clackamas,Oregon,2542
2020-10-05,Clackamas,Oregon,2567
2020-10-06,Clackamas,Oregon,2595
2020-10-07,Clackamas,Oregon,2616
2020-10-08,Clackamas,Oregon,2645
2020-10-09,Clackamas,Oregon,2676
2020-10-10,Clackamas,Oregon,2707
2020-10-11,Clackamas,Oregon,2742
2020-10-12,Clackamas,Oregon,2755
2020-10-13,Clackamas,Oregon,2792
2020-10-14,Clackamas,Oregon,2819
2020-10-15,Clackamas,Oregon,2839
2020-10-16,Clackamas,Oregon,2882
2020-10-17,Clackamas,Oregon,2910
2020-10-18,Clackamas,Oregon,2918
2020-10-19,Clackamas,Oregon,2942
2020-10-20,Clackamas,Oregon,2970
2020-10-21,Clackamas,Oregon,2990
2020-10-22,Clackamas,Oregon,3014
2020-10-23,Clackamas,Oregon,3061
2020-10-24,Clackamas,Oregon,3081
2020-10-25,Clackamas,Oregon,3097
2020-10-26,Clackamas,Oregon,3139
2020-10-27,Clackamas,Oregon,3172
2020-10-28,Clackamas,Oregon,3206
2020-10-29,Clackamas,Oregon,3267
2020-10-30,Clackamas,Oregon,3309
2020-10-31,Clackamas,Oregon,3350
2020-11-01,Clackamas,Oregon,3383
2020-11-02,Clackamas,Oregon,3478
2020-11-03,Clackamas,Oregon,3535
2020-11-04,Clackamas,Oregon,3587
2020-11-05,Clackamas,Oregon,3657
2020-11-06,Clackamas,Oregon,3670
2020-11-07,Clackamas,Oregon,3796
2020-11-08,Clackamas,Oregon,3925
2020-11-09,Clackamas,Oregon,3992
2020-11-10,Clackamas,Oregon,4101
2020-11-11,Clackamas,Oregon,4167
2020-11-12,Clackamas,Oregon,4266
2020-11-13,Clackamas,Oregon,4359
2020-11-14,Clackamas,Oregon,4501
2020-11-15,Clackamas,Oregon,4590
2020-11-16,Clackamas,Oregon,4659
2020-11-17,Clackamas,Oregon,4745
2020-11-18,Clackamas,Oregon,4823
2020-11-19,Clackamas,Oregon,4945
2020-11-20,Clackamas,Oregon,5025
2020-11-21,Clackamas,Oregon,5146
2020-11-22,Clackamas,Oregon,5353
2020-11-23,Clackamas,Oregon,5472
2020-11-24,Clackamas,Oregon,5574
2020-11-25,Clackamas,Oregon,5687
2020-11-26,Clackamas,Oregon,5840
2020-11-27,Clackamas,Oregon,5853
2020-11-28,Clackamas,Oregon,6023
2020-11-29,Clackamas,Oregon,6160
2020-11-30,Clackamas,Oregon,6395
2020-12-01,Clackamas,Oregon,6548
2020-12-02,Clackamas,Oregon,6730
2020-12-03,Clackamas,Oregon,6841
2020-12-04,Clackamas,Oregon,7012
2020-12-05,Clackamas,Oregon,7091
2020-12-06,Clackamas,Oregon,7275
2020-12-07,Clackamas,Oregon,7409
2020-12-08,Clackamas,Oregon,7526
2020-12-09,Clackamas,Oregon,7644
