date,county,state,cases
2020-04-11,Coos,Oregon,1
2020-04-12,Coos,Oregon,1
2020-04-13,Coos,Oregon,1
2020-04-14,Coos,Oregon,1
2020-04-15,Coos,Oregon,1
2020-04-16,Coos,Oregon,1
2020-04-17,Coos,Oregon,1
2020-04-18,Coos,Oregon,1
2020-04-19,Coos,Oregon,1
2020-04-20,Coos,Oregon,1
2020-04-21,Coos,Oregon,2
2020-04-22,Coos,Oregon,3
2020-04-23,Coos,Oregon,4
2020-04-24,Coos,Oregon,4
2020-04-25,Coos,Oregon,8
2020-04-26,Coos,Oregon,12
2020-04-27,Coos,Oregon,14
2020-04-28,Coos,Oregon,15
2020-04-29,Coos,Oregon,15
2020-04-30,Coos,Oregon,20
2020-05-01,Coos,Oregon,21
2020-05-02,Coos,Oregon,21
2020-05-03,Coos,Oregon,25
2020-05-04,Coos,Oregon,27
2020-05-05,Coos,Oregon,28
2020-05-06,Coos,Oregon,28
2020-05-07,Coos,Oregon,29
2020-05-08,Coos,Oregon,29
2020-05-09,Coos,Oregon,30
2020-05-10,Coos,Oregon,30
2020-05-11,Coos,Oregon,30
2020-05-12,Coos,Oregon,30
2020-05-13,Coos,Oregon,30
2020-05-14,Coos,Oregon,30
2020-05-15,Coos,Oregon,30
2020-05-16,Coos,Oregon,30
2020-05-17,Coos,Oregon,30
2020-05-18,Coos,Oregon,30
2020-05-19,Coos,Oregon,30
2020-05-20,Coos,Oregon,30
2020-05-21,Coos,Oregon,31
2020-05-22,Coos,Oregon,31
2020-05-23,Coos,Oregon,31
2020-05-24,Coos,Oregon,31
2020-05-25,Coos,Oregon,31
2020-05-26,Coos,Oregon,31
2020-05-27,Coos,Oregon,31
2020-05-28,Coos,Oregon,31
2020-05-29,Coos,Oregon,31
2020-05-30,Coos,Oregon,31
2020-05-31,Coos,Oregon,31
2020-06-01,Coos,Oregon,31
2020-06-02,Coos,Oregon,31
2020-06-03,Coos,Oregon,31
2020-06-04,Coos,Oregon,32
2020-06-05,Coos,Oregon,32
2020-06-06,Coos,Oregon,32
2020-06-07,Coos,Oregon,32
2020-06-08,Coos,Oregon,32
2020-06-09,Coos,Oregon,32
2020-06-10,Coos,Oregon,32
2020-06-11,Coos,Oregon,32
2020-06-12,Coos,Oregon,32
2020-06-13,Coos,Oregon,32
2020-06-14,Coos,Oregon,32
2020-06-15,Coos,Oregon,32
2020-06-16,Coos,Oregon,32
2020-06-17,Coos,Oregon,32
2020-06-18,Coos,Oregon,32
2020-06-19,Coos,Oregon,33
2020-06-20,Coos,Oregon,33
2020-06-21,Coos,Oregon,36
2020-06-22,Coos,Oregon,36
2020-06-23,Coos,Oregon,37
2020-06-24,Coos,Oregon,37
2020-06-25,Coos,Oregon,39
2020-06-26,Coos,Oregon,39
2020-06-27,Coos,Oregon,40
2020-06-28,Coos,Oregon,40
2020-06-29,Coos,Oregon,40
2020-06-30,Coos,Oregon,41
2020-07-01,Coos,Oregon,41
2020-07-02,Coos,Oregon,41
2020-07-03,Coos,Oregon,42
2020-07-04,Coos,Oregon,42
2020-07-05,Coos,Oregon,42
2020-07-06,Coos,Oregon,42
2020-07-07,Coos,Oregon,46
2020-07-08,Coos,Oregon,48
2020-07-09,Coos,Oregon,52
2020-07-10,Coos,Oregon,52
2020-07-11,Coos,Oregon,54
2020-07-12,Coos,Oregon,53
2020-07-13,Coos,Oregon,54
2020-07-14,Coos,Oregon,55
2020-07-15,Coos,Oregon,58
2020-07-16,Coos,Oregon,60
2020-07-17,Coos,Oregon,64
2020-07-18,Coos,Oregon,67
2020-07-19,Coos,Oregon,69
2020-07-20,Coos,Oregon,69
2020-07-21,Coos,Oregon,70
2020-07-22,Coos,Oregon,73
2020-07-23,Coos,Oregon,76
2020-07-24,Coos,Oregon,76
2020-07-25,Coos,Oregon,79
2020-07-26,Coos,Oregon,80
2020-07-27,Coos,Oregon,80
2020-07-28,Coos,Oregon,80
2020-07-29,Coos,Oregon,80
2020-07-30,Coos,Oregon,84
2020-07-31,Coos,Oregon,84
2020-08-01,Coos,Oregon,84
2020-08-02,Coos,Oregon,84
2020-08-03,Coos,Oregon,85
2020-08-04,Coos,Oregon,88
2020-08-05,Coos,Oregon,89
2020-08-06,Coos,Oregon,90
2020-08-07,Coos,Oregon,90
2020-08-08,Coos,Oregon,91
2020-08-09,Coos,Oregon,91
2020-08-10,Coos,Oregon,91
2020-08-11,Coos,Oregon,91
2020-08-12,Coos,Oregon,91
2020-08-13,Coos,Oregon,91
2020-08-14,Coos,Oregon,93
2020-08-15,Coos,Oregon,93
2020-08-16,Coos,Oregon,93
2020-08-17,Coos,Oregon,93
2020-08-18,Coos,Oregon,93
2020-08-19,Coos,Oregon,93
2020-08-20,Coos,Oregon,93
2020-08-21,Coos,Oregon,94
2020-08-22,Coos,Oregon,97
2020-08-23,Coos,Oregon,98
2020-08-24,Coos,Oregon,99
2020-08-25,Coos,Oregon,101
2020-08-26,Coos,Oregon,106
2020-08-27,Coos,Oregon,106
2020-08-28,Coos,Oregon,110
2020-08-29,Coos,Oregon,112
2020-08-30,Coos,Oregon,115
2020-08-31,Coos,Oregon,116
2020-09-01,Coos,Oregon,116
2020-09-02,Coos,Oregon,118
2020-09-03,Coos,Oregon,122
2020-09-04,Coos,Oregon,123
2020-09-05,Coos,Oregon,126
2020-09-06,Coos,Oregon,126
2020-09-07,Coos,Oregon,126
2020-09-08,Coos,Oregon,126
2020-09-09,Coos,Oregon,126
2020-09-10,Coos,Oregon,129
2020-09-11,Coos,Oregon,131
2020-09-12,Coos,Oregon,131
2020-09-13,Coos,Oregon,131
2020-09-14,Coos,Oregon,132
2020-09-15,Coos,Oregon,132
2020-09-16,Coos,Oregon,134
2020-09-17,Coos,Oregon,134
2020-09-18,Coos,Oregon,136
2020-09-19,Coos,Oregon,136
2020-09-20,Coos,Oregon,138
2020-09-21,Coos,Oregon,142
2020-09-22,Coos,Oregon,145
2020-09-23,Coos,Oregon,147
2020-09-24,Coos,Oregon,149
2020-09-25,Coos,Oregon,152
2020-09-26,Coos,Oregon,156
2020-09-27,Coos,Oregon,157
2020-09-28,Coos,Oregon,157
2020-09-29,Coos,Oregon,158
2020-09-30,Coos,Oregon,160
2020-10-01,Coos,Oregon,165
2020-10-02,Coos,Oregon,167
2020-10-03,Coos,Oregon,173
2020-10-04,Coos,Oregon,176
2020-10-05,Coos,Oregon,179
2020-10-06,Coos,Oregon,186
2020-10-07,Coos,Oregon,192
2020-10-08,Coos,Oregon,193
2020-10-09,Coos,Oregon,196
2020-10-10,Coos,Oregon,196
2020-10-11,Coos,Oregon,196
2020-10-12,Coos,Oregon,196
2020-10-13,Coos,Oregon,196
2020-10-14,Coos,Oregon,199
2020-10-15,Coos,Oregon,200
2020-10-16,Coos,Oregon,205
2020-10-17,Coos,Oregon,210
2020-10-18,Coos,Oregon,214
2020-10-19,Coos,Oregon,222
2020-10-20,Coos,Oregon,225
2020-10-21,Coos,Oregon,229
2020-10-22,Coos,Oregon,231
2020-10-23,Coos,Oregon,236
2020-10-24,Coos,Oregon,236
2020-10-25,Coos,Oregon,238
2020-10-26,Coos,Oregon,246
2020-10-27,Coos,Oregon,251
2020-10-28,Coos,Oregon,259
2020-10-29,Coos,Oregon,260
2020-10-30,Coos,Oregon,262
2020-10-31,Coos,Oregon,266
2020-11-01,Coos,Oregon,271
2020-11-02,Coos,Oregon,272
2020-11-03,Coos,Oregon,273
2020-11-04,Coos,Oregon,275
2020-11-05,Coos,Oregon,276
2020-11-06,Coos,Oregon,282
2020-11-07,Coos,Oregon,286
2020-11-08,Coos,Oregon,290
2020-11-09,Coos,Oregon,296
2020-11-10,Coos,Oregon,304
2020-11-11,Coos,Oregon,314
2020-11-12,Coos,Oregon,314
2020-11-13,Coos,Oregon,320
2020-11-14,Coos,Oregon,334
2020-11-15,Coos,Oregon,338
2020-11-16,Coos,Oregon,342
2020-11-17,Coos,Oregon,347
2020-11-18,Coos,Oregon,352
2020-11-19,Coos,Oregon,360
2020-11-20,Coos,Oregon,368
2020-11-21,Coos,Oregon,374
