date,county,state,cases
2020-04-03,Crook,Oregon,1
2020-04-04,Crook,Oregon,1
2020-04-05,Crook,Oregon,1
2020-04-06,Crook,Oregon,1
2020-04-07,Crook,Oregon,1
2020-04-08,Crook,Oregon,1
2020-04-09,Crook,Oregon,1
2020-04-10,Crook,Oregon,1
2020-04-11,Crook,Oregon,1
2020-04-12,Crook,Oregon,1
2020-04-13,Crook,Oregon,1
2020-04-14,Crook,Oregon,1
2020-04-15,Crook,Oregon,1
2020-04-16,Crook,Oregon,1
2020-04-17,Crook,Oregon,1
2020-04-18,Crook,Oregon,1
2020-04-19,Crook,Oregon,1
2020-04-20,Crook,Oregon,1
2020-04-21,Crook,Oregon,1
2020-04-22,Crook,Oregon,1
2020-04-23,Crook,Oregon,1
2020-04-24,Crook,Oregon,1
2020-04-25,Crook,Oregon,1
2020-04-26,Crook,Oregon,1
2020-04-27,Crook,Oregon,1
2020-04-28,Crook,Oregon,1
2020-04-29,Crook,Oregon,1
2020-04-30,Crook,Oregon,1
2020-05-01,Crook,Oregon,1
2020-05-02,Crook,Oregon,1
2020-05-03,Crook,Oregon,1
2020-05-04,Crook,Oregon,1
2020-05-05,Crook,Oregon,1
2020-05-06,Crook,Oregon,1
2020-05-07,Crook,Oregon,1
2020-05-08,Crook,Oregon,1
2020-05-09,Crook,Oregon,1
2020-05-10,Crook,Oregon,1
2020-05-11,Crook,Oregon,1
2020-05-12,Crook,Oregon,1
2020-05-13,Crook,Oregon,1
2020-05-14,Crook,Oregon,1
2020-05-15,Crook,Oregon,1
2020-05-16,Crook,Oregon,1
2020-05-17,Crook,Oregon,1
2020-05-18,Crook,Oregon,1
2020-05-19,Crook,Oregon,1
2020-05-20,Crook,Oregon,1
2020-05-21,Crook,Oregon,1
2020-05-22,Crook,Oregon,1
2020-05-23,Crook,Oregon,4
2020-05-24,Crook,Oregon,5
2020-05-25,Crook,Oregon,5
2020-05-26,Crook,Oregon,6
2020-05-27,Crook,Oregon,6
2020-05-28,Crook,Oregon,6
2020-05-29,Crook,Oregon,6
2020-05-30,Crook,Oregon,6
2020-05-31,Crook,Oregon,6
2020-06-01,Crook,Oregon,6
2020-06-02,Crook,Oregon,6
2020-06-03,Crook,Oregon,6
2020-06-04,Crook,Oregon,7
2020-06-05,Crook,Oregon,6
2020-06-06,Crook,Oregon,6
2020-06-07,Crook,Oregon,6
2020-06-08,Crook,Oregon,6
2020-06-09,Crook,Oregon,6
2020-06-10,Crook,Oregon,6
2020-06-11,Crook,Oregon,8
2020-06-12,Crook,Oregon,8
2020-06-13,Crook,Oregon,8
2020-06-14,Crook,Oregon,8
2020-06-15,Crook,Oregon,8
2020-06-16,Crook,Oregon,9
2020-06-17,Crook,Oregon,9
2020-06-18,Crook,Oregon,9
2020-06-19,Crook,Oregon,9
2020-06-20,Crook,Oregon,9
2020-06-21,Crook,Oregon,9
2020-06-22,Crook,Oregon,9
2020-06-23,Crook,Oregon,9
2020-06-24,Crook,Oregon,9
2020-06-25,Crook,Oregon,9
2020-06-26,Crook,Oregon,9
2020-06-27,Crook,Oregon,10
2020-06-28,Crook,Oregon,10
2020-06-29,Crook,Oregon,10
2020-06-30,Crook,Oregon,10
2020-07-01,Crook,Oregon,10
2020-07-02,Crook,Oregon,11
2020-07-03,Crook,Oregon,12
2020-07-04,Crook,Oregon,12
2020-07-05,Crook,Oregon,13
2020-07-06,Crook,Oregon,13
2020-07-07,Crook,Oregon,14
2020-07-08,Crook,Oregon,15
