date,county,state,cases
2020-04-06,Curry,Oregon,2
2020-04-07,Curry,Oregon,2
2020-04-08,Curry,Oregon,2
2020-04-09,Curry,Oregon,3
2020-04-10,Curry,Oregon,3
2020-04-11,Curry,Oregon,3
2020-04-12,Curry,Oregon,3
2020-04-13,Curry,Oregon,3
2020-04-14,Curry,Oregon,3
2020-04-15,Curry,Oregon,3
2020-04-16,Curry,Oregon,3
2020-04-17,Curry,Oregon,3
2020-04-18,Curry,Oregon,4
2020-04-19,Curry,Oregon,4
2020-04-20,Curry,Oregon,4
2020-04-21,Curry,Oregon,4
2020-04-22,Curry,Oregon,4
2020-04-23,Curry,Oregon,4
2020-04-24,Curry,Oregon,4
2020-04-25,Curry,Oregon,4
2020-04-26,Curry,Oregon,4
2020-04-27,Curry,Oregon,4
2020-04-28,Curry,Oregon,4
2020-04-29,Curry,Oregon,4
2020-04-30,Curry,Oregon,4
2020-05-01,Curry,Oregon,4
2020-05-02,Curry,Oregon,4
2020-05-03,Curry,Oregon,4
2020-05-04,Curry,Oregon,4
2020-05-05,Curry,Oregon,4
2020-05-06,Curry,Oregon,4
2020-05-07,Curry,Oregon,4
2020-05-08,Curry,Oregon,4
2020-05-09,Curry,Oregon,4
2020-05-10,Curry,Oregon,4
2020-05-11,Curry,Oregon,4
2020-05-12,Curry,Oregon,4
2020-05-13,Curry,Oregon,4
2020-05-14,Curry,Oregon,4
2020-05-15,Curry,Oregon,4
2020-05-16,Curry,Oregon,4
2020-05-17,Curry,Oregon,4
2020-05-18,Curry,Oregon,4
2020-05-19,Curry,Oregon,5
2020-05-20,Curry,Oregon,5
2020-05-21,Curry,Oregon,5
2020-05-22,Curry,Oregon,6
2020-05-23,Curry,Oregon,6
2020-05-24,Curry,Oregon,6
2020-05-25,Curry,Oregon,6
2020-05-26,Curry,Oregon,6
2020-05-27,Curry,Oregon,6
2020-05-28,Curry,Oregon,6
2020-05-29,Curry,Oregon,7
2020-05-30,Curry,Oregon,7
2020-05-31,Curry,Oregon,7
2020-06-01,Curry,Oregon,7
2020-06-02,Curry,Oregon,7
2020-06-03,Curry,Oregon,7
2020-06-04,Curry,Oregon,7
2020-06-05,Curry,Oregon,7
2020-06-06,Curry,Oregon,7
2020-06-07,Curry,Oregon,7
2020-06-08,Curry,Oregon,7
2020-06-09,Curry,Oregon,7
2020-06-10,Curry,Oregon,7
2020-06-11,Curry,Oregon,7
2020-06-12,Curry,Oregon,7
2020-06-13,Curry,Oregon,7
2020-06-14,Curry,Oregon,7
2020-06-15,Curry,Oregon,7
2020-06-16,Curry,Oregon,7
2020-06-17,Curry,Oregon,7
2020-06-18,Curry,Oregon,7
2020-06-19,Curry,Oregon,7
2020-06-20,Curry,Oregon,7
2020-06-21,Curry,Oregon,7
2020-06-22,Curry,Oregon,7
2020-06-23,Curry,Oregon,7
2020-06-24,Curry,Oregon,7
2020-06-25,Curry,Oregon,7
2020-06-26,Curry,Oregon,7
2020-06-27,Curry,Oregon,7
2020-06-28,Curry,Oregon,7
2020-06-29,Curry,Oregon,7
2020-06-30,Curry,Oregon,7
2020-07-01,Curry,Oregon,7
2020-07-02,Curry,Oregon,7
2020-07-03,Curry,Oregon,8
2020-07-04,Curry,Oregon,8
2020-07-05,Curry,Oregon,8
2020-07-06,Curry,Oregon,8
2020-07-07,Curry,Oregon,8
2020-07-08,Curry,Oregon,9
2020-07-09,Curry,Oregon,9
2020-07-10,Curry,Oregon,9
2020-07-11,Curry,Oregon,9
2020-07-12,Curry,Oregon,9
2020-07-13,Curry,Oregon,9
2020-07-14,Curry,Oregon,9
2020-07-15,Curry,Oregon,9
2020-07-16,Curry,Oregon,9
2020-07-17,Curry,Oregon,9
2020-07-18,Curry,Oregon,9
2020-07-19,Curry,Oregon,10
