date,county,state,cases
2020-03-11,Deschutes,Oregon,1
2020-03-12,Deschutes,Oregon,1
2020-03-13,Deschutes,Oregon,1
2020-03-14,Deschutes,Oregon,3
2020-03-15,Deschutes,Oregon,4
2020-03-16,Deschutes,Oregon,6
2020-03-17,Deschutes,Oregon,6
2020-03-18,Deschutes,Oregon,6
2020-03-19,Deschutes,Oregon,6
2020-03-20,Deschutes,Oregon,8
2020-03-21,Deschutes,Oregon,9
2020-03-22,Deschutes,Oregon,10
2020-03-23,Deschutes,Oregon,10
2020-03-24,Deschutes,Oregon,10
2020-03-25,Deschutes,Oregon,10
2020-03-26,Deschutes,Oregon,15
2020-03-27,Deschutes,Oregon,18
2020-03-28,Deschutes,Oregon,20
2020-03-29,Deschutes,Oregon,23
2020-03-30,Deschutes,Oregon,25
2020-03-31,Deschutes,Oregon,24
2020-04-01,Deschutes,Oregon,27
2020-04-02,Deschutes,Oregon,32
2020-04-03,Deschutes,Oregon,36
2020-04-04,Deschutes,Oregon,39
2020-04-05,Deschutes,Oregon,39
2020-04-06,Deschutes,Oregon,40
2020-04-07,Deschutes,Oregon,44
2020-04-08,Deschutes,Oregon,45
2020-04-09,Deschutes,Oregon,50
2020-04-10,Deschutes,Oregon,51
2020-04-11,Deschutes,Oregon,53
2020-04-12,Deschutes,Oregon,54
2020-04-13,Deschutes,Oregon,54
2020-04-14,Deschutes,Oregon,55
2020-04-15,Deschutes,Oregon,55
2020-04-16,Deschutes,Oregon,59
2020-04-17,Deschutes,Oregon,61
2020-04-18,Deschutes,Oregon,63
2020-04-19,Deschutes,Oregon,64
2020-04-20,Deschutes,Oregon,64
2020-04-21,Deschutes,Oregon,64
2020-04-22,Deschutes,Oregon,66
2020-04-23,Deschutes,Oregon,70
2020-04-24,Deschutes,Oregon,70
2020-04-25,Deschutes,Oregon,71
2020-04-26,Deschutes,Oregon,73
2020-04-27,Deschutes,Oregon,75
2020-04-28,Deschutes,Oregon,75
2020-04-29,Deschutes,Oregon,75
2020-04-30,Deschutes,Oregon,76
2020-05-01,Deschutes,Oregon,76
2020-05-02,Deschutes,Oregon,78
2020-05-03,Deschutes,Oregon,78
2020-05-04,Deschutes,Oregon,79
2020-05-05,Deschutes,Oregon,80
2020-05-06,Deschutes,Oregon,81
2020-05-07,Deschutes,Oregon,83
2020-05-08,Deschutes,Oregon,84
2020-05-09,Deschutes,Oregon,85
2020-05-10,Deschutes,Oregon,86
2020-05-11,Deschutes,Oregon,86
2020-05-12,Deschutes,Oregon,90
2020-05-13,Deschutes,Oregon,89
2020-05-14,Deschutes,Oregon,91
2020-05-15,Deschutes,Oregon,94
2020-05-16,Deschutes,Oregon,95
2020-05-17,Deschutes,Oregon,96
2020-05-18,Deschutes,Oregon,101
2020-05-19,Deschutes,Oregon,107
2020-05-20,Deschutes,Oregon,116
2020-05-21,Deschutes,Oregon,117
2020-05-22,Deschutes,Oregon,116
2020-05-23,Deschutes,Oregon,117
2020-05-24,Deschutes,Oregon,119
2020-05-25,Deschutes,Oregon,120
2020-05-26,Deschutes,Oregon,120
2020-05-27,Deschutes,Oregon,120
2020-05-28,Deschutes,Oregon,121
2020-05-29,Deschutes,Oregon,121
2020-05-30,Deschutes,Oregon,124
2020-05-31,Deschutes,Oregon,125
2020-06-01,Deschutes,Oregon,127
2020-06-02,Deschutes,Oregon,127
2020-06-03,Deschutes,Oregon,128
2020-06-04,Deschutes,Oregon,133
2020-06-05,Deschutes,Oregon,134
2020-06-06,Deschutes,Oregon,133
2020-06-07,Deschutes,Oregon,136
2020-06-08,Deschutes,Oregon,136
2020-06-09,Deschutes,Oregon,136
2020-06-10,Deschutes,Oregon,136
2020-06-11,Deschutes,Oregon,136
2020-06-12,Deschutes,Oregon,137
2020-06-13,Deschutes,Oregon,137
2020-06-14,Deschutes,Oregon,137
2020-06-15,Deschutes,Oregon,137
2020-06-16,Deschutes,Oregon,137
2020-06-17,Deschutes,Oregon,139
2020-06-18,Deschutes,Oregon,139
2020-06-19,Deschutes,Oregon,142
2020-06-20,Deschutes,Oregon,142
2020-06-21,Deschutes,Oregon,143
2020-06-22,Deschutes,Oregon,147
2020-06-23,Deschutes,Oregon,149
2020-06-24,Deschutes,Oregon,153
2020-06-25,Deschutes,Oregon,155
2020-06-26,Deschutes,Oregon,159
2020-06-27,Deschutes,Oregon,162
2020-06-28,Deschutes,Oregon,170
2020-06-29,Deschutes,Oregon,172
2020-06-30,Deschutes,Oregon,181
2020-07-01,Deschutes,Oregon,183
2020-07-02,Deschutes,Oregon,192
2020-07-03,Deschutes,Oregon,201
2020-07-04,Deschutes,Oregon,211
2020-07-05,Deschutes,Oregon,219
2020-07-06,Deschutes,Oregon,221
2020-07-07,Deschutes,Oregon,221
2020-07-08,Deschutes,Oregon,224
2020-07-09,Deschutes,Oregon,229
2020-07-10,Deschutes,Oregon,237
2020-07-11,Deschutes,Oregon,252
2020-07-12,Deschutes,Oregon,268
2020-07-13,Deschutes,Oregon,268
2020-07-14,Deschutes,Oregon,276
2020-07-15,Deschutes,Oregon,288
2020-07-16,Deschutes,Oregon,316
2020-07-17,Deschutes,Oregon,328
2020-07-18,Deschutes,Oregon,339
2020-07-19,Deschutes,Oregon,352
2020-07-20,Deschutes,Oregon,371
2020-07-21,Deschutes,Oregon,378
2020-07-22,Deschutes,Oregon,387
2020-07-23,Deschutes,Oregon,405
2020-07-24,Deschutes,Oregon,419
2020-07-25,Deschutes,Oregon,439
2020-07-26,Deschutes,Oregon,460
2020-07-27,Deschutes,Oregon,471
2020-07-28,Deschutes,Oregon,478
2020-07-29,Deschutes,Oregon,494
2020-07-30,Deschutes,Oregon,509
2020-07-31,Deschutes,Oregon,517
2020-08-01,Deschutes,Oregon,530
2020-08-02,Deschutes,Oregon,537
2020-08-03,Deschutes,Oregon,540
2020-08-04,Deschutes,Oregon,548
2020-08-05,Deschutes,Oregon,555
2020-08-06,Deschutes,Oregon,567
2020-08-07,Deschutes,Oregon,582
2020-08-08,Deschutes,Oregon,596
2020-08-09,Deschutes,Oregon,604
2020-08-10,Deschutes,Oregon,611
2020-08-11,Deschutes,Oregon,616
2020-08-12,Deschutes,Oregon,617
2020-08-13,Deschutes,Oregon,621
2020-08-14,Deschutes,Oregon,627
2020-08-15,Deschutes,Oregon,637
2020-08-16,Deschutes,Oregon,639
2020-08-17,Deschutes,Oregon,645
2020-08-18,Deschutes,Oregon,650
2020-08-19,Deschutes,Oregon,654
2020-08-20,Deschutes,Oregon,655
2020-08-21,Deschutes,Oregon,657
2020-08-22,Deschutes,Oregon,664
2020-08-23,Deschutes,Oregon,672
2020-08-24,Deschutes,Oregon,672
2020-08-25,Deschutes,Oregon,673
2020-08-26,Deschutes,Oregon,677
2020-08-27,Deschutes,Oregon,681
2020-08-28,Deschutes,Oregon,687
2020-08-29,Deschutes,Oregon,687
2020-08-30,Deschutes,Oregon,690
2020-08-31,Deschutes,Oregon,693
2020-09-01,Deschutes,Oregon,693
2020-09-02,Deschutes,Oregon,694
2020-09-03,Deschutes,Oregon,698
2020-09-04,Deschutes,Oregon,699
2020-09-05,Deschutes,Oregon,700
2020-09-06,Deschutes,Oregon,703
2020-09-07,Deschutes,Oregon,704
2020-09-08,Deschutes,Oregon,705
2020-09-09,Deschutes,Oregon,706
2020-09-10,Deschutes,Oregon,708
2020-09-11,Deschutes,Oregon,711
2020-09-12,Deschutes,Oregon,720
2020-09-13,Deschutes,Oregon,723
2020-09-14,Deschutes,Oregon,726
2020-09-15,Deschutes,Oregon,728
2020-09-16,Deschutes,Oregon,732
2020-09-17,Deschutes,Oregon,739
2020-09-18,Deschutes,Oregon,746
2020-09-19,Deschutes,Oregon,760
2020-09-20,Deschutes,Oregon,769
2020-09-21,Deschutes,Oregon,777
2020-09-22,Deschutes,Oregon,787
2020-09-23,Deschutes,Oregon,789
2020-09-24,Deschutes,Oregon,793
2020-09-25,Deschutes,Oregon,810
2020-09-26,Deschutes,Oregon,825
2020-09-27,Deschutes,Oregon,840
2020-09-28,Deschutes,Oregon,852
2020-09-29,Deschutes,Oregon,859
2020-09-30,Deschutes,Oregon,873
2020-10-01,Deschutes,Oregon,879
2020-10-02,Deschutes,Oregon,880
2020-10-03,Deschutes,Oregon,898
2020-10-04,Deschutes,Oregon,906
2020-10-05,Deschutes,Oregon,917
2020-10-06,Deschutes,Oregon,928
2020-10-07,Deschutes,Oregon,938
