date,county,state,cases
2020-03-20,Grant,Oregon,1
2020-03-21,Grant,Oregon,1
2020-03-22,Grant,Oregon,1
2020-03-23,Grant,Oregon,1
2020-03-24,Grant,Oregon,1
2020-03-25,Grant,Oregon,1
2020-03-26,Grant,Oregon,1
2020-03-27,Grant,Oregon,1
2020-03-28,Grant,Oregon,1
2020-03-29,Grant,Oregon,1
2020-03-30,Grant,Oregon,1
2020-03-31,Grant,Oregon,1
2020-04-01,Grant,Oregon,1
2020-04-02,Grant,Oregon,1
2020-04-03,Grant,Oregon,1
2020-04-04,Grant,Oregon,1
2020-04-05,Grant,Oregon,1
2020-04-06,Grant,Oregon,1
2020-04-07,Grant,Oregon,1
2020-04-08,Grant,Oregon,1
2020-04-09,Grant,Oregon,1
2020-04-10,Grant,Oregon,1
2020-04-11,Grant,Oregon,1
2020-04-12,Grant,Oregon,1
2020-04-13,Grant,Oregon,1
2020-04-14,Grant,Oregon,1
2020-04-15,Grant,Oregon,1
2020-04-16,Grant,Oregon,1
2020-04-17,Grant,Oregon,1
2020-04-18,Grant,Oregon,1
2020-04-19,Grant,Oregon,1
2020-04-20,Grant,Oregon,1
2020-04-21,Grant,Oregon,1
2020-04-22,Grant,Oregon,1
2020-04-23,Grant,Oregon,1
2020-04-24,Grant,Oregon,1
2020-04-25,Grant,Oregon,1
2020-04-26,Grant,Oregon,1
2020-04-27,Grant,Oregon,1
2020-04-28,Grant,Oregon,1
2020-04-29,Grant,Oregon,1
2020-04-30,Grant,Oregon,1
2020-05-01,Grant,Oregon,1
2020-05-02,Grant,Oregon,1
2020-05-03,Grant,Oregon,1
2020-05-04,Grant,Oregon,1
2020-05-05,Grant,Oregon,1
2020-05-06,Grant,Oregon,1
2020-05-07,Grant,Oregon,1
2020-05-08,Grant,Oregon,1
2020-05-09,Grant,Oregon,1
2020-05-10,Grant,Oregon,1
2020-05-11,Grant,Oregon,1
2020-05-12,Grant,Oregon,1
2020-05-13,Grant,Oregon,1
2020-05-14,Grant,Oregon,1
2020-05-15,Grant,Oregon,1
2020-05-16,Grant,Oregon,1
2020-05-17,Grant,Oregon,1
2020-05-18,Grant,Oregon,1
2020-05-19,Grant,Oregon,1
2020-05-20,Grant,Oregon,1
2020-05-21,Grant,Oregon,1
2020-05-22,Grant,Oregon,1
2020-05-23,Grant,Oregon,1
2020-05-24,Grant,Oregon,1
2020-05-25,Grant,Oregon,1
2020-05-26,Grant,Oregon,1
2020-05-27,Grant,Oregon,1
2020-05-28,Grant,Oregon,1
2020-05-29,Grant,Oregon,1
2020-05-30,Grant,Oregon,1
2020-05-31,Grant,Oregon,1
2020-06-01,Grant,Oregon,1
2020-06-02,Grant,Oregon,1
2020-06-03,Grant,Oregon,1
2020-06-04,Grant,Oregon,1
2020-06-05,Grant,Oregon,1
2020-06-06,Grant,Oregon,1
2020-06-07,Grant,Oregon,1
2020-06-08,Grant,Oregon,1
2020-06-09,Grant,Oregon,1
2020-06-10,Grant,Oregon,1
2020-06-11,Grant,Oregon,1
2020-06-12,Grant,Oregon,1
2020-06-13,Grant,Oregon,1
2020-06-14,Grant,Oregon,1
2020-06-15,Grant,Oregon,1
2020-06-16,Grant,Oregon,1
2020-06-17,Grant,Oregon,1
2020-06-18,Grant,Oregon,1
2020-06-19,Grant,Oregon,1
2020-06-20,Grant,Oregon,1
2020-06-21,Grant,Oregon,1
2020-06-22,Grant,Oregon,1
2020-06-23,Grant,Oregon,1
2020-06-24,Grant,Oregon,1
2020-06-25,Grant,Oregon,1
2020-06-26,Grant,Oregon,1
2020-06-27,Grant,Oregon,1
2020-06-28,Grant,Oregon,1
2020-06-29,Grant,Oregon,1
2020-06-30,Grant,Oregon,1
2020-07-01,Grant,Oregon,1
2020-07-02,Grant,Oregon,1
2020-07-03,Grant,Oregon,1
2020-07-04,Grant,Oregon,1
2020-07-05,Grant,Oregon,1
2020-07-06,Grant,Oregon,1
2020-07-07,Grant,Oregon,1
2020-07-08,Grant,Oregon,1
2020-07-09,Grant,Oregon,1
2020-07-10,Grant,Oregon,1
2020-07-11,Grant,Oregon,1
2020-07-12,Grant,Oregon,1
2020-07-13,Grant,Oregon,1
2020-07-14,Grant,Oregon,1
2020-07-15,Grant,Oregon,1
2020-07-16,Grant,Oregon,1
2020-07-17,Grant,Oregon,1
2020-07-18,Grant,Oregon,1
2020-07-19,Grant,Oregon,1
2020-07-20,Grant,Oregon,1
2020-07-21,Grant,Oregon,1
2020-07-22,Grant,Oregon,2
2020-07-23,Grant,Oregon,2
2020-07-24,Grant,Oregon,2
2020-07-25,Grant,Oregon,2
2020-07-26,Grant,Oregon,2
2020-07-27,Grant,Oregon,2
2020-07-28,Grant,Oregon,2
2020-07-29,Grant,Oregon,2
2020-07-30,Grant,Oregon,2
2020-07-31,Grant,Oregon,2
2020-08-01,Grant,Oregon,2
2020-08-02,Grant,Oregon,2
2020-08-03,Grant,Oregon,2
2020-08-04,Grant,Oregon,2
2020-08-05,Grant,Oregon,2
2020-08-06,Grant,Oregon,3
2020-08-07,Grant,Oregon,4
2020-08-08,Grant,Oregon,4
