date,county,state,cases
2020-03-23,Hood River,Oregon,1
2020-03-24,Hood River,Oregon,1
2020-03-25,Hood River,Oregon,1
2020-03-26,Hood River,Oregon,1
2020-03-27,Hood River,Oregon,1
2020-03-28,Hood River,Oregon,1
2020-03-29,Hood River,Oregon,2
2020-03-30,Hood River,Oregon,2
2020-03-31,Hood River,Oregon,3
2020-04-01,Hood River,Oregon,3
2020-04-02,Hood River,Oregon,3
2020-04-03,Hood River,Oregon,3
2020-04-04,Hood River,Oregon,3
2020-04-05,Hood River,Oregon,2
2020-04-06,Hood River,Oregon,2
2020-04-07,Hood River,Oregon,2
2020-04-08,Hood River,Oregon,3
2020-04-09,Hood River,Oregon,3
2020-04-10,Hood River,Oregon,4
2020-04-11,Hood River,Oregon,4
2020-04-12,Hood River,Oregon,4
2020-04-13,Hood River,Oregon,4
2020-04-14,Hood River,Oregon,4
2020-04-15,Hood River,Oregon,4
2020-04-16,Hood River,Oregon,4
2020-04-17,Hood River,Oregon,4
2020-04-18,Hood River,Oregon,4
2020-04-19,Hood River,Oregon,4
2020-04-20,Hood River,Oregon,4
2020-04-21,Hood River,Oregon,4
2020-04-22,Hood River,Oregon,4
2020-04-23,Hood River,Oregon,5
2020-04-24,Hood River,Oregon,5
2020-04-25,Hood River,Oregon,5
2020-04-26,Hood River,Oregon,5
2020-04-27,Hood River,Oregon,5
2020-04-28,Hood River,Oregon,5
2020-04-29,Hood River,Oregon,6
2020-04-30,Hood River,Oregon,6
2020-05-01,Hood River,Oregon,6
2020-05-02,Hood River,Oregon,7
2020-05-03,Hood River,Oregon,9
2020-05-04,Hood River,Oregon,10
2020-05-05,Hood River,Oregon,11
2020-05-06,Hood River,Oregon,11
2020-05-07,Hood River,Oregon,11
2020-05-08,Hood River,Oregon,11
2020-05-09,Hood River,Oregon,12
2020-05-10,Hood River,Oregon,13
2020-05-11,Hood River,Oregon,13
2020-05-12,Hood River,Oregon,13
2020-05-13,Hood River,Oregon,14
2020-05-14,Hood River,Oregon,14
2020-05-15,Hood River,Oregon,14
2020-05-16,Hood River,Oregon,14
2020-05-17,Hood River,Oregon,14
2020-05-18,Hood River,Oregon,14
2020-05-19,Hood River,Oregon,14
2020-05-20,Hood River,Oregon,14
2020-05-21,Hood River,Oregon,12
2020-05-22,Hood River,Oregon,12
2020-05-23,Hood River,Oregon,12
2020-05-24,Hood River,Oregon,12
2020-05-25,Hood River,Oregon,12
2020-05-26,Hood River,Oregon,12
2020-05-27,Hood River,Oregon,13
2020-05-28,Hood River,Oregon,13
2020-05-29,Hood River,Oregon,14
2020-05-30,Hood River,Oregon,16
2020-05-31,Hood River,Oregon,18
2020-06-01,Hood River,Oregon,18
2020-06-02,Hood River,Oregon,22
2020-06-03,Hood River,Oregon,28
2020-06-04,Hood River,Oregon,28
2020-06-05,Hood River,Oregon,37
2020-06-06,Hood River,Oregon,44
2020-06-07,Hood River,Oregon,56
2020-06-08,Hood River,Oregon,59
2020-06-09,Hood River,Oregon,65
2020-06-10,Hood River,Oregon,67
2020-06-11,Hood River,Oregon,68
2020-06-12,Hood River,Oregon,71
2020-06-13,Hood River,Oregon,81
2020-06-14,Hood River,Oregon,81
2020-06-15,Hood River,Oregon,82
2020-06-16,Hood River,Oregon,83
2020-06-17,Hood River,Oregon,82
2020-06-18,Hood River,Oregon,85
2020-06-19,Hood River,Oregon,87
2020-06-20,Hood River,Oregon,87
2020-06-21,Hood River,Oregon,87
2020-06-22,Hood River,Oregon,88
2020-06-23,Hood River,Oregon,89
2020-06-24,Hood River,Oregon,88
2020-06-25,Hood River,Oregon,88
2020-06-26,Hood River,Oregon,88
2020-06-27,Hood River,Oregon,88
2020-06-28,Hood River,Oregon,88
2020-06-29,Hood River,Oregon,88
2020-06-30,Hood River,Oregon,88
2020-07-01,Hood River,Oregon,88
2020-07-02,Hood River,Oregon,88
2020-07-03,Hood River,Oregon,88
2020-07-04,Hood River,Oregon,88
2020-07-05,Hood River,Oregon,93
2020-07-06,Hood River,Oregon,94
2020-07-07,Hood River,Oregon,97
2020-07-08,Hood River,Oregon,98
2020-07-09,Hood River,Oregon,99
2020-07-10,Hood River,Oregon,103
2020-07-11,Hood River,Oregon,104
2020-07-12,Hood River,Oregon,105
2020-07-13,Hood River,Oregon,106
2020-07-14,Hood River,Oregon,109
2020-07-15,Hood River,Oregon,109
2020-07-16,Hood River,Oregon,114
2020-07-17,Hood River,Oregon,116
2020-07-18,Hood River,Oregon,124
2020-07-19,Hood River,Oregon,130
2020-07-20,Hood River,Oregon,132
2020-07-21,Hood River,Oregon,135
2020-07-22,Hood River,Oregon,139
2020-07-23,Hood River,Oregon,140
2020-07-24,Hood River,Oregon,144
2020-07-25,Hood River,Oregon,149
2020-07-26,Hood River,Oregon,150
2020-07-27,Hood River,Oregon,151
2020-07-28,Hood River,Oregon,151
2020-07-29,Hood River,Oregon,157
2020-07-30,Hood River,Oregon,162
2020-07-31,Hood River,Oregon,165
2020-08-01,Hood River,Oregon,165
2020-08-02,Hood River,Oregon,169
2020-08-03,Hood River,Oregon,169
2020-08-04,Hood River,Oregon,174
2020-08-05,Hood River,Oregon,178
2020-08-06,Hood River,Oregon,178
2020-08-07,Hood River,Oregon,181
2020-08-08,Hood River,Oregon,184
2020-08-09,Hood River,Oregon,191
2020-08-10,Hood River,Oregon,193
2020-08-11,Hood River,Oregon,201
2020-08-12,Hood River,Oregon,205
2020-08-13,Hood River,Oregon,207
2020-08-14,Hood River,Oregon,215
2020-08-15,Hood River,Oregon,216
2020-08-16,Hood River,Oregon,218
2020-08-17,Hood River,Oregon,218
2020-08-18,Hood River,Oregon,220
2020-08-19,Hood River,Oregon,221
2020-08-20,Hood River,Oregon,221
2020-08-21,Hood River,Oregon,223
2020-08-22,Hood River,Oregon,225
2020-08-23,Hood River,Oregon,225
2020-08-24,Hood River,Oregon,225
2020-08-25,Hood River,Oregon,225
2020-08-26,Hood River,Oregon,222
2020-08-27,Hood River,Oregon,223
2020-08-28,Hood River,Oregon,223
2020-08-29,Hood River,Oregon,224
2020-08-30,Hood River,Oregon,233
2020-08-31,Hood River,Oregon,234
2020-09-01,Hood River,Oregon,236
2020-09-02,Hood River,Oregon,236
2020-09-03,Hood River,Oregon,236
2020-09-04,Hood River,Oregon,238
2020-09-05,Hood River,Oregon,238
2020-09-06,Hood River,Oregon,238
2020-09-07,Hood River,Oregon,238
2020-09-08,Hood River,Oregon,238
2020-09-09,Hood River,Oregon,238
2020-09-10,Hood River,Oregon,238
2020-09-11,Hood River,Oregon,238
2020-09-12,Hood River,Oregon,238
2020-09-13,Hood River,Oregon,238
2020-09-14,Hood River,Oregon,238
2020-09-15,Hood River,Oregon,238
2020-09-16,Hood River,Oregon,239
2020-09-17,Hood River,Oregon,240
2020-09-18,Hood River,Oregon,241
2020-09-19,Hood River,Oregon,241
2020-09-20,Hood River,Oregon,245
2020-09-21,Hood River,Oregon,245
2020-09-22,Hood River,Oregon,246
2020-09-23,Hood River,Oregon,248
2020-09-24,Hood River,Oregon,249
2020-09-25,Hood River,Oregon,248
2020-09-26,Hood River,Oregon,251
2020-09-27,Hood River,Oregon,251
2020-09-28,Hood River,Oregon,252
2020-09-29,Hood River,Oregon,252
2020-09-30,Hood River,Oregon,252
2020-10-01,Hood River,Oregon,252
2020-10-02,Hood River,Oregon,253
2020-10-03,Hood River,Oregon,254
2020-10-04,Hood River,Oregon,254
2020-10-05,Hood River,Oregon,254
2020-10-06,Hood River,Oregon,255
2020-10-07,Hood River,Oregon,255
2020-10-08,Hood River,Oregon,258
2020-10-09,Hood River,Oregon,265
2020-10-10,Hood River,Oregon,267
2020-10-11,Hood River,Oregon,267
2020-10-12,Hood River,Oregon,268
2020-10-13,Hood River,Oregon,268
2020-10-14,Hood River,Oregon,268
2020-10-15,Hood River,Oregon,268
2020-10-16,Hood River,Oregon,268
2020-10-17,Hood River,Oregon,268
2020-10-18,Hood River,Oregon,268
2020-10-19,Hood River,Oregon,268
2020-10-20,Hood River,Oregon,269
2020-10-21,Hood River,Oregon,272
2020-10-22,Hood River,Oregon,273
2020-10-23,Hood River,Oregon,277
2020-10-24,Hood River,Oregon,277
2020-10-25,Hood River,Oregon,277
2020-10-26,Hood River,Oregon,277
2020-10-27,Hood River,Oregon,277
2020-10-28,Hood River,Oregon,279
2020-10-29,Hood River,Oregon,284
2020-10-30,Hood River,Oregon,286
2020-10-31,Hood River,Oregon,288
2020-11-01,Hood River,Oregon,290
