date,county,state,cases
2020-04-14,Jefferson,Oregon,1
2020-04-15,Jefferson,Oregon,1
2020-04-16,Jefferson,Oregon,1
2020-04-17,Jefferson,Oregon,1
2020-04-18,Jefferson,Oregon,1
2020-04-19,Jefferson,Oregon,1
2020-04-20,Jefferson,Oregon,1
2020-04-21,Jefferson,Oregon,1
2020-04-22,Jefferson,Oregon,2
2020-04-23,Jefferson,Oregon,2
2020-04-24,Jefferson,Oregon,2
2020-04-25,Jefferson,Oregon,5
2020-04-26,Jefferson,Oregon,6
2020-04-27,Jefferson,Oregon,6
2020-04-28,Jefferson,Oregon,6
2020-04-29,Jefferson,Oregon,10
2020-04-30,Jefferson,Oregon,10
2020-05-01,Jefferson,Oregon,10
2020-05-02,Jefferson,Oregon,13
2020-05-03,Jefferson,Oregon,13
2020-05-04,Jefferson,Oregon,14
2020-05-05,Jefferson,Oregon,14
2020-05-06,Jefferson,Oregon,18
2020-05-07,Jefferson,Oregon,22
2020-05-08,Jefferson,Oregon,22
2020-05-09,Jefferson,Oregon,24
2020-05-10,Jefferson,Oregon,24
2020-05-11,Jefferson,Oregon,24
2020-05-12,Jefferson,Oregon,24
2020-05-13,Jefferson,Oregon,24
2020-05-14,Jefferson,Oregon,24
2020-05-15,Jefferson,Oregon,24
2020-05-16,Jefferson,Oregon,24
2020-05-17,Jefferson,Oregon,24
2020-05-18,Jefferson,Oregon,24
2020-05-19,Jefferson,Oregon,24
2020-05-20,Jefferson,Oregon,24
2020-05-21,Jefferson,Oregon,25
2020-05-22,Jefferson,Oregon,25
2020-05-23,Jefferson,Oregon,25
2020-05-24,Jefferson,Oregon,25
2020-05-25,Jefferson,Oregon,24
2020-05-26,Jefferson,Oregon,24
2020-05-27,Jefferson,Oregon,24
2020-05-28,Jefferson,Oregon,25
2020-05-29,Jefferson,Oregon,28
2020-05-30,Jefferson,Oregon,30
2020-05-31,Jefferson,Oregon,33
2020-06-01,Jefferson,Oregon,44
2020-06-02,Jefferson,Oregon,44
2020-06-03,Jefferson,Oregon,45
2020-06-04,Jefferson,Oregon,46
2020-06-05,Jefferson,Oregon,55
2020-06-06,Jefferson,Oregon,57
2020-06-07,Jefferson,Oregon,57
2020-06-08,Jefferson,Oregon,58
2020-06-09,Jefferson,Oregon,58
2020-06-10,Jefferson,Oregon,64
2020-06-11,Jefferson,Oregon,67
2020-06-12,Jefferson,Oregon,65
2020-06-13,Jefferson,Oregon,67
2020-06-14,Jefferson,Oregon,67
2020-06-15,Jefferson,Oregon,68
2020-06-16,Jefferson,Oregon,69
2020-06-17,Jefferson,Oregon,69
2020-06-18,Jefferson,Oregon,73
2020-06-19,Jefferson,Oregon,77
2020-06-20,Jefferson,Oregon,77
2020-06-21,Jefferson,Oregon,78
2020-06-22,Jefferson,Oregon,79
2020-06-23,Jefferson,Oregon,81
2020-06-24,Jefferson,Oregon,84
2020-06-25,Jefferson,Oregon,85
2020-06-26,Jefferson,Oregon,91
2020-06-27,Jefferson,Oregon,94
2020-06-28,Jefferson,Oregon,97
2020-06-29,Jefferson,Oregon,100
2020-06-30,Jefferson,Oregon,112
2020-07-01,Jefferson,Oregon,118
2020-07-02,Jefferson,Oregon,126
2020-07-03,Jefferson,Oregon,131
2020-07-04,Jefferson,Oregon,132
2020-07-05,Jefferson,Oregon,133
2020-07-06,Jefferson,Oregon,134
2020-07-07,Jefferson,Oregon,136
2020-07-08,Jefferson,Oregon,137
2020-07-09,Jefferson,Oregon,145
2020-07-10,Jefferson,Oregon,160
2020-07-11,Jefferson,Oregon,163
2020-07-12,Jefferson,Oregon,168
2020-07-13,Jefferson,Oregon,168
2020-07-14,Jefferson,Oregon,169
2020-07-15,Jefferson,Oregon,171
2020-07-16,Jefferson,Oregon,177
