date,county,state,cases
2020-03-21,Josephine,Oregon,1
2020-03-22,Josephine,Oregon,1
2020-03-23,Josephine,Oregon,1
2020-03-24,Josephine,Oregon,1
2020-03-25,Josephine,Oregon,2
2020-03-26,Josephine,Oregon,4
2020-03-27,Josephine,Oregon,4
2020-03-28,Josephine,Oregon,5
2020-03-29,Josephine,Oregon,6
2020-03-30,Josephine,Oregon,10
2020-03-31,Josephine,Oregon,10
2020-04-01,Josephine,Oregon,10
2020-04-02,Josephine,Oregon,12
2020-04-03,Josephine,Oregon,12
2020-04-04,Josephine,Oregon,13
2020-04-05,Josephine,Oregon,13
2020-04-06,Josephine,Oregon,16
2020-04-07,Josephine,Oregon,16
2020-04-08,Josephine,Oregon,16
2020-04-09,Josephine,Oregon,16
2020-04-10,Josephine,Oregon,17
2020-04-11,Josephine,Oregon,17
2020-04-12,Josephine,Oregon,18
2020-04-13,Josephine,Oregon,19
2020-04-14,Josephine,Oregon,19
2020-04-15,Josephine,Oregon,19
2020-04-16,Josephine,Oregon,19
2020-04-17,Josephine,Oregon,19
2020-04-18,Josephine,Oregon,19
2020-04-19,Josephine,Oregon,19
2020-04-20,Josephine,Oregon,19
2020-04-21,Josephine,Oregon,19
2020-04-22,Josephine,Oregon,19
2020-04-23,Josephine,Oregon,19
2020-04-24,Josephine,Oregon,19
2020-04-25,Josephine,Oregon,19
2020-04-26,Josephine,Oregon,20
2020-04-27,Josephine,Oregon,20
2020-04-28,Josephine,Oregon,20
2020-04-29,Josephine,Oregon,20
2020-04-30,Josephine,Oregon,20
2020-05-01,Josephine,Oregon,21
2020-05-02,Josephine,Oregon,21
2020-05-03,Josephine,Oregon,22
2020-05-04,Josephine,Oregon,22
2020-05-05,Josephine,Oregon,24
2020-05-06,Josephine,Oregon,24
2020-05-07,Josephine,Oregon,24
2020-05-08,Josephine,Oregon,24
2020-05-09,Josephine,Oregon,24
2020-05-10,Josephine,Oregon,24
2020-05-11,Josephine,Oregon,24
2020-05-12,Josephine,Oregon,25
2020-05-13,Josephine,Oregon,25
2020-05-14,Josephine,Oregon,25
2020-05-15,Josephine,Oregon,25
2020-05-16,Josephine,Oregon,25
2020-05-17,Josephine,Oregon,25
2020-05-18,Josephine,Oregon,25
2020-05-19,Josephine,Oregon,25
2020-05-20,Josephine,Oregon,27
2020-05-21,Josephine,Oregon,25
2020-05-22,Josephine,Oregon,25
2020-05-23,Josephine,Oregon,25
2020-05-24,Josephine,Oregon,25
2020-05-25,Josephine,Oregon,26
2020-05-26,Josephine,Oregon,25
2020-05-27,Josephine,Oregon,25
2020-05-28,Josephine,Oregon,25
2020-05-29,Josephine,Oregon,23
2020-05-30,Josephine,Oregon,23
2020-05-31,Josephine,Oregon,23
2020-06-01,Josephine,Oregon,24
2020-06-02,Josephine,Oregon,24
2020-06-03,Josephine,Oregon,23
2020-06-04,Josephine,Oregon,23
2020-06-05,Josephine,Oregon,23
2020-06-06,Josephine,Oregon,23
2020-06-07,Josephine,Oregon,23
2020-06-08,Josephine,Oregon,23
2020-06-09,Josephine,Oregon,23
2020-06-10,Josephine,Oregon,23
2020-06-11,Josephine,Oregon,23
2020-06-12,Josephine,Oregon,23
2020-06-13,Josephine,Oregon,23
2020-06-14,Josephine,Oregon,23
2020-06-15,Josephine,Oregon,23
2020-06-16,Josephine,Oregon,24
2020-06-17,Josephine,Oregon,26
2020-06-18,Josephine,Oregon,26
2020-06-19,Josephine,Oregon,26
2020-06-20,Josephine,Oregon,26
2020-06-21,Josephine,Oregon,26
