date,county,state,cases
2020-03-07,Klamath,Oregon,1
2020-03-08,Klamath,Oregon,1
2020-03-09,Klamath,Oregon,1
2020-03-10,Klamath,Oregon,1
2020-03-11,Klamath,Oregon,1
2020-03-12,Klamath,Oregon,1
2020-03-13,Klamath,Oregon,1
2020-03-14,Klamath,Oregon,1
2020-03-15,Klamath,Oregon,1
2020-03-16,Klamath,Oregon,1
2020-03-17,Klamath,Oregon,1
2020-03-18,Klamath,Oregon,1
2020-03-19,Klamath,Oregon,1
2020-03-20,Klamath,Oregon,1
2020-03-21,Klamath,Oregon,1
2020-03-22,Klamath,Oregon,1
2020-03-23,Klamath,Oregon,1
2020-03-24,Klamath,Oregon,1
2020-03-25,Klamath,Oregon,1
2020-03-26,Klamath,Oregon,1
2020-03-27,Klamath,Oregon,2
2020-03-28,Klamath,Oregon,2
2020-03-29,Klamath,Oregon,4
2020-03-30,Klamath,Oregon,4
2020-03-31,Klamath,Oregon,5
2020-04-01,Klamath,Oregon,5
2020-04-02,Klamath,Oregon,8
2020-04-03,Klamath,Oregon,13
2020-04-04,Klamath,Oregon,14
2020-04-05,Klamath,Oregon,15
2020-04-06,Klamath,Oregon,18
2020-04-07,Klamath,Oregon,19
2020-04-08,Klamath,Oregon,19
2020-04-09,Klamath,Oregon,20
2020-04-10,Klamath,Oregon,24
2020-04-11,Klamath,Oregon,25
2020-04-12,Klamath,Oregon,25
2020-04-13,Klamath,Oregon,25
2020-04-14,Klamath,Oregon,26
2020-04-15,Klamath,Oregon,26
2020-04-16,Klamath,Oregon,29
2020-04-17,Klamath,Oregon,29
2020-04-18,Klamath,Oregon,31
2020-04-19,Klamath,Oregon,30
2020-04-20,Klamath,Oregon,31
2020-04-21,Klamath,Oregon,33
2020-04-22,Klamath,Oregon,33
2020-04-23,Klamath,Oregon,36
2020-04-24,Klamath,Oregon,36
2020-04-25,Klamath,Oregon,36
2020-04-26,Klamath,Oregon,36
2020-04-27,Klamath,Oregon,36
2020-04-28,Klamath,Oregon,37
2020-04-29,Klamath,Oregon,37
2020-04-30,Klamath,Oregon,38
2020-05-01,Klamath,Oregon,39
2020-05-02,Klamath,Oregon,39
2020-05-03,Klamath,Oregon,39
2020-05-04,Klamath,Oregon,39
2020-05-05,Klamath,Oregon,39
2020-05-06,Klamath,Oregon,39
2020-05-07,Klamath,Oregon,39
2020-05-08,Klamath,Oregon,39
2020-05-09,Klamath,Oregon,39
2020-05-10,Klamath,Oregon,39
2020-05-11,Klamath,Oregon,40
2020-05-12,Klamath,Oregon,41
2020-05-13,Klamath,Oregon,41
2020-05-14,Klamath,Oregon,41
2020-05-15,Klamath,Oregon,41
2020-05-16,Klamath,Oregon,41
2020-05-17,Klamath,Oregon,41
2020-05-18,Klamath,Oregon,41
2020-05-19,Klamath,Oregon,41
2020-05-20,Klamath,Oregon,41
2020-05-21,Klamath,Oregon,41
2020-05-22,Klamath,Oregon,41
2020-05-23,Klamath,Oregon,41
2020-05-24,Klamath,Oregon,41
2020-05-25,Klamath,Oregon,41
2020-05-26,Klamath,Oregon,41
2020-05-27,Klamath,Oregon,41
2020-05-28,Klamath,Oregon,41
2020-05-29,Klamath,Oregon,42
2020-05-30,Klamath,Oregon,44
2020-05-31,Klamath,Oregon,44
2020-06-01,Klamath,Oregon,44
2020-06-02,Klamath,Oregon,44
2020-06-03,Klamath,Oregon,44
2020-06-04,Klamath,Oregon,44
2020-06-05,Klamath,Oregon,45
2020-06-06,Klamath,Oregon,45
2020-06-07,Klamath,Oregon,45
2020-06-08,Klamath,Oregon,46
2020-06-09,Klamath,Oregon,46
2020-06-10,Klamath,Oregon,46
2020-06-11,Klamath,Oregon,46
2020-06-12,Klamath,Oregon,48
2020-06-13,Klamath,Oregon,48
2020-06-14,Klamath,Oregon,51
2020-06-15,Klamath,Oregon,53
2020-06-16,Klamath,Oregon,61
2020-06-17,Klamath,Oregon,64
2020-06-18,Klamath,Oregon,68
2020-06-19,Klamath,Oregon,80
2020-06-20,Klamath,Oregon,80
2020-06-21,Klamath,Oregon,88
2020-06-22,Klamath,Oregon,88
2020-06-23,Klamath,Oregon,95
2020-06-24,Klamath,Oregon,98
2020-06-25,Klamath,Oregon,111
2020-06-26,Klamath,Oregon,111
2020-06-27,Klamath,Oregon,111
2020-06-28,Klamath,Oregon,111
2020-06-29,Klamath,Oregon,116
2020-06-30,Klamath,Oregon,119
2020-07-01,Klamath,Oregon,123
2020-07-02,Klamath,Oregon,123
2020-07-03,Klamath,Oregon,125
2020-07-04,Klamath,Oregon,130
2020-07-05,Klamath,Oregon,130
2020-07-06,Klamath,Oregon,130
2020-07-07,Klamath,Oregon,131
2020-07-08,Klamath,Oregon,131
2020-07-09,Klamath,Oregon,131
2020-07-10,Klamath,Oregon,131
2020-07-11,Klamath,Oregon,135
2020-07-12,Klamath,Oregon,137
2020-07-13,Klamath,Oregon,138
2020-07-14,Klamath,Oregon,140
2020-07-15,Klamath,Oregon,141
2020-07-16,Klamath,Oregon,144
2020-07-17,Klamath,Oregon,146
2020-07-18,Klamath,Oregon,150
2020-07-19,Klamath,Oregon,150
2020-07-20,Klamath,Oregon,155
2020-07-21,Klamath,Oregon,156
2020-07-22,Klamath,Oregon,162
2020-07-23,Klamath,Oregon,175
2020-07-24,Klamath,Oregon,177
2020-07-25,Klamath,Oregon,180
2020-07-26,Klamath,Oregon,181
2020-07-27,Klamath,Oregon,180
2020-07-28,Klamath,Oregon,182
2020-07-29,Klamath,Oregon,184
2020-07-30,Klamath,Oregon,185
2020-07-31,Klamath,Oregon,194
2020-08-01,Klamath,Oregon,194
2020-08-02,Klamath,Oregon,194
2020-08-03,Klamath,Oregon,196
2020-08-04,Klamath,Oregon,198
2020-08-05,Klamath,Oregon,200
2020-08-06,Klamath,Oregon,200
2020-08-07,Klamath,Oregon,201
2020-08-08,Klamath,Oregon,201
2020-08-09,Klamath,Oregon,201
2020-08-10,Klamath,Oregon,201
2020-08-11,Klamath,Oregon,204
2020-08-12,Klamath,Oregon,204
2020-08-13,Klamath,Oregon,206
2020-08-14,Klamath,Oregon,206
2020-08-15,Klamath,Oregon,208
2020-08-16,Klamath,Oregon,210
2020-08-17,Klamath,Oregon,210
2020-08-18,Klamath,Oregon,216
2020-08-19,Klamath,Oregon,217
2020-08-20,Klamath,Oregon,219
2020-08-21,Klamath,Oregon,221
2020-08-22,Klamath,Oregon,221
2020-08-23,Klamath,Oregon,223
2020-08-24,Klamath,Oregon,225
2020-08-25,Klamath,Oregon,225
2020-08-26,Klamath,Oregon,225
2020-08-27,Klamath,Oregon,230
2020-08-28,Klamath,Oregon,234
2020-08-29,Klamath,Oregon,235
2020-08-30,Klamath,Oregon,235
2020-08-31,Klamath,Oregon,235
2020-09-01,Klamath,Oregon,235
2020-09-02,Klamath,Oregon,235
2020-09-03,Klamath,Oregon,235
2020-09-04,Klamath,Oregon,235
2020-09-05,Klamath,Oregon,236
2020-09-06,Klamath,Oregon,236
2020-09-07,Klamath,Oregon,236
2020-09-08,Klamath,Oregon,236
2020-09-09,Klamath,Oregon,237
2020-09-10,Klamath,Oregon,239
2020-09-11,Klamath,Oregon,240
2020-09-12,Klamath,Oregon,242
2020-09-13,Klamath,Oregon,242
2020-09-14,Klamath,Oregon,243
2020-09-15,Klamath,Oregon,246
2020-09-16,Klamath,Oregon,260
2020-09-17,Klamath,Oregon,267
2020-09-18,Klamath,Oregon,269
2020-09-19,Klamath,Oregon,272
2020-09-20,Klamath,Oregon,273
2020-09-21,Klamath,Oregon,275
2020-09-22,Klamath,Oregon,277
2020-09-23,Klamath,Oregon,277
2020-09-24,Klamath,Oregon,279
2020-09-25,Klamath,Oregon,280
2020-09-26,Klamath,Oregon,280
2020-09-27,Klamath,Oregon,280
2020-09-28,Klamath,Oregon,280
2020-09-29,Klamath,Oregon,290
2020-09-30,Klamath,Oregon,290
2020-10-01,Klamath,Oregon,291
2020-10-02,Klamath,Oregon,295
2020-10-03,Klamath,Oregon,300
2020-10-04,Klamath,Oregon,302
2020-10-05,Klamath,Oregon,305
2020-10-06,Klamath,Oregon,306
2020-10-07,Klamath,Oregon,308
2020-10-08,Klamath,Oregon,365
2020-10-09,Klamath,Oregon,369
2020-10-10,Klamath,Oregon,380
2020-10-11,Klamath,Oregon,385
2020-10-12,Klamath,Oregon,385
2020-10-13,Klamath,Oregon,390
2020-10-14,Klamath,Oregon,392
2020-10-15,Klamath,Oregon,392
2020-10-16,Klamath,Oregon,394
2020-10-17,Klamath,Oregon,395
2020-10-18,Klamath,Oregon,397
2020-10-19,Klamath,Oregon,397
2020-10-20,Klamath,Oregon,401
2020-10-21,Klamath,Oregon,401
2020-10-22,Klamath,Oregon,404
2020-10-23,Klamath,Oregon,405
2020-10-24,Klamath,Oregon,408
2020-10-25,Klamath,Oregon,410
2020-10-26,Klamath,Oregon,411
2020-10-27,Klamath,Oregon,417
2020-10-28,Klamath,Oregon,421
2020-10-29,Klamath,Oregon,422
2020-10-30,Klamath,Oregon,431
2020-10-31,Klamath,Oregon,433
2020-11-01,Klamath,Oregon,437
2020-11-02,Klamath,Oregon,437
2020-11-03,Klamath,Oregon,444
2020-11-04,Klamath,Oregon,447
2020-11-05,Klamath,Oregon,448
2020-11-06,Klamath,Oregon,453
2020-11-07,Klamath,Oregon,465
2020-11-08,Klamath,Oregon,471
2020-11-09,Klamath,Oregon,480
2020-11-10,Klamath,Oregon,487
2020-11-11,Klamath,Oregon,489
2020-11-12,Klamath,Oregon,498
2020-11-13,Klamath,Oregon,503
2020-11-14,Klamath,Oregon,523
2020-11-15,Klamath,Oregon,525
2020-11-16,Klamath,Oregon,528
2020-11-17,Klamath,Oregon,553
2020-11-18,Klamath,Oregon,553
2020-11-19,Klamath,Oregon,573
2020-11-20,Klamath,Oregon,612
2020-11-21,Klamath,Oregon,632
2020-11-22,Klamath,Oregon,685
2020-11-23,Klamath,Oregon,685
2020-11-24,Klamath,Oregon,701
2020-11-25,Klamath,Oregon,745
2020-11-26,Klamath,Oregon,760
2020-11-27,Klamath,Oregon,760
2020-11-28,Klamath,Oregon,844
2020-11-29,Klamath,Oregon,872
2020-11-30,Klamath,Oregon,873
2020-12-01,Klamath,Oregon,910
2020-12-02,Klamath,Oregon,926
2020-12-03,Klamath,Oregon,947
2020-12-04,Klamath,Oregon,1043
2020-12-05,Klamath,Oregon,1127
2020-12-06,Klamath,Oregon,1160
2020-12-07,Klamath,Oregon,1160
2020-12-08,Klamath,Oregon,1199
2020-12-09,Klamath,Oregon,1235
2020-12-10,Klamath,Oregon,1273
2020-12-11,Klamath,Oregon,1313
2020-12-12,Klamath,Oregon,1360
2020-12-13,Klamath,Oregon,1388
2020-12-14,Klamath,Oregon,1415
2020-12-15,Klamath,Oregon,1436
2020-12-16,Klamath,Oregon,1457
2020-12-17,Klamath,Oregon,1476
2020-12-18,Klamath,Oregon,1539
2020-12-19,Klamath,Oregon,1591
2020-12-20,Klamath,Oregon,1641
2020-12-21,Klamath,Oregon,1641
2020-12-22,Klamath,Oregon,1664
2020-12-23,Klamath,Oregon,1696
2020-12-24,Klamath,Oregon,1743
2020-12-25,Klamath,Oregon,1743
2020-12-26,Klamath,Oregon,1743
2020-12-27,Klamath,Oregon,1832
2020-12-28,Klamath,Oregon,1832
2020-12-29,Klamath,Oregon,1844
2020-12-30,Klamath,Oregon,1874
