date,county,state,cases
2020-03-27,Morrow,Oregon,1
2020-03-28,Morrow,Oregon,1
2020-03-29,Morrow,Oregon,1
2020-03-30,Morrow,Oregon,1
2020-03-31,Morrow,Oregon,1
2020-04-01,Morrow,Oregon,1
2020-04-02,Morrow,Oregon,1
2020-04-03,Morrow,Oregon,2
2020-04-04,Morrow,Oregon,2
2020-04-05,Morrow,Oregon,2
2020-04-06,Morrow,Oregon,2
2020-04-07,Morrow,Oregon,2
2020-04-08,Morrow,Oregon,3
2020-04-09,Morrow,Oregon,5
2020-04-10,Morrow,Oregon,5
2020-04-11,Morrow,Oregon,5
2020-04-12,Morrow,Oregon,5
2020-04-13,Morrow,Oregon,5
2020-04-14,Morrow,Oregon,5
2020-04-15,Morrow,Oregon,5
2020-04-16,Morrow,Oregon,5
2020-04-17,Morrow,Oregon,5
2020-04-18,Morrow,Oregon,5
2020-04-19,Morrow,Oregon,5
2020-04-20,Morrow,Oregon,5
2020-04-21,Morrow,Oregon,5
2020-04-22,Morrow,Oregon,5
2020-04-23,Morrow,Oregon,5
2020-04-24,Morrow,Oregon,5
2020-04-25,Morrow,Oregon,5
2020-04-26,Morrow,Oregon,5
2020-04-27,Morrow,Oregon,5
2020-04-28,Morrow,Oregon,6
2020-04-29,Morrow,Oregon,6
2020-04-30,Morrow,Oregon,6
2020-05-01,Morrow,Oregon,8
2020-05-02,Morrow,Oregon,9
2020-05-03,Morrow,Oregon,9
2020-05-04,Morrow,Oregon,9
2020-05-05,Morrow,Oregon,10
2020-05-06,Morrow,Oregon,10
2020-05-07,Morrow,Oregon,11
2020-05-08,Morrow,Oregon,12
2020-05-09,Morrow,Oregon,12
2020-05-10,Morrow,Oregon,12
2020-05-11,Morrow,Oregon,12
2020-05-12,Morrow,Oregon,12
2020-05-13,Morrow,Oregon,12
2020-05-14,Morrow,Oregon,12
2020-05-15,Morrow,Oregon,12
2020-05-16,Morrow,Oregon,12
2020-05-17,Morrow,Oregon,12
2020-05-18,Morrow,Oregon,12
2020-05-19,Morrow,Oregon,12
2020-05-20,Morrow,Oregon,12
2020-05-21,Morrow,Oregon,12
2020-05-22,Morrow,Oregon,12
2020-05-23,Morrow,Oregon,12
2020-05-24,Morrow,Oregon,12
2020-05-25,Morrow,Oregon,12
2020-05-26,Morrow,Oregon,12
2020-05-27,Morrow,Oregon,12
2020-05-28,Morrow,Oregon,12
2020-05-29,Morrow,Oregon,12
2020-05-30,Morrow,Oregon,11
2020-05-31,Morrow,Oregon,11
2020-06-01,Morrow,Oregon,12
2020-06-02,Morrow,Oregon,12
2020-06-03,Morrow,Oregon,12
2020-06-04,Morrow,Oregon,12
2020-06-05,Morrow,Oregon,12
2020-06-06,Morrow,Oregon,13
2020-06-07,Morrow,Oregon,13
2020-06-08,Morrow,Oregon,13
2020-06-09,Morrow,Oregon,13
2020-06-10,Morrow,Oregon,13
2020-06-11,Morrow,Oregon,13
2020-06-12,Morrow,Oregon,13
2020-06-13,Morrow,Oregon,14
2020-06-14,Morrow,Oregon,15
2020-06-15,Morrow,Oregon,15
2020-06-16,Morrow,Oregon,17
2020-06-17,Morrow,Oregon,18
2020-06-18,Morrow,Oregon,22
2020-06-19,Morrow,Oregon,27
2020-06-20,Morrow,Oregon,27
2020-06-21,Morrow,Oregon,31
2020-06-22,Morrow,Oregon,32
2020-06-23,Morrow,Oregon,35
2020-06-24,Morrow,Oregon,35
2020-06-25,Morrow,Oregon,36
2020-06-26,Morrow,Oregon,48
2020-06-27,Morrow,Oregon,53
2020-06-28,Morrow,Oregon,61
2020-06-29,Morrow,Oregon,61
2020-06-30,Morrow,Oregon,61
2020-07-01,Morrow,Oregon,64
2020-07-02,Morrow,Oregon,72
2020-07-03,Morrow,Oregon,82
2020-07-04,Morrow,Oregon,93
2020-07-05,Morrow,Oregon,102
2020-07-06,Morrow,Oregon,107
2020-07-07,Morrow,Oregon,109
2020-07-08,Morrow,Oregon,119
2020-07-09,Morrow,Oregon,132
2020-07-10,Morrow,Oregon,131
2020-07-11,Morrow,Oregon,138
2020-07-12,Morrow,Oregon,145
2020-07-13,Morrow,Oregon,154
2020-07-14,Morrow,Oregon,161
2020-07-15,Morrow,Oregon,165
2020-07-16,Morrow,Oregon,173
2020-07-17,Morrow,Oregon,176
2020-07-18,Morrow,Oregon,186
2020-07-19,Morrow,Oregon,194
2020-07-20,Morrow,Oregon,195
2020-07-21,Morrow,Oregon,205
2020-07-22,Morrow,Oregon,208
2020-07-23,Morrow,Oregon,212
2020-07-24,Morrow,Oregon,222
2020-07-25,Morrow,Oregon,232
2020-07-26,Morrow,Oregon,245
2020-07-27,Morrow,Oregon,250
2020-07-28,Morrow,Oregon,256
2020-07-29,Morrow,Oregon,260
2020-07-30,Morrow,Oregon,271
2020-07-31,Morrow,Oregon,289
2020-08-01,Morrow,Oregon,296
2020-08-02,Morrow,Oregon,304
2020-08-03,Morrow,Oregon,305
2020-08-04,Morrow,Oregon,316
2020-08-05,Morrow,Oregon,327
2020-08-06,Morrow,Oregon,329
2020-08-07,Morrow,Oregon,349
2020-08-08,Morrow,Oregon,354
2020-08-09,Morrow,Oregon,357
2020-08-10,Morrow,Oregon,372
2020-08-11,Morrow,Oregon,377
2020-08-12,Morrow,Oregon,378
2020-08-13,Morrow,Oregon,384
2020-08-14,Morrow,Oregon,393
2020-08-15,Morrow,Oregon,400
2020-08-16,Morrow,Oregon,407
2020-08-17,Morrow,Oregon,407
2020-08-18,Morrow,Oregon,410
2020-08-19,Morrow,Oregon,410
2020-08-20,Morrow,Oregon,415
2020-08-21,Morrow,Oregon,418
2020-08-22,Morrow,Oregon,419
2020-08-23,Morrow,Oregon,421
2020-08-24,Morrow,Oregon,424
2020-08-25,Morrow,Oregon,430
2020-08-26,Morrow,Oregon,425
2020-08-27,Morrow,Oregon,420
2020-08-28,Morrow,Oregon,429
2020-08-29,Morrow,Oregon,431
2020-08-30,Morrow,Oregon,437
2020-08-31,Morrow,Oregon,437
2020-09-01,Morrow,Oregon,439
2020-09-02,Morrow,Oregon,440
2020-09-03,Morrow,Oregon,447
2020-09-04,Morrow,Oregon,453
2020-09-05,Morrow,Oregon,454
2020-09-06,Morrow,Oregon,455
2020-09-07,Morrow,Oregon,455
2020-09-08,Morrow,Oregon,459
2020-09-09,Morrow,Oregon,461
2020-09-10,Morrow,Oregon,463
2020-09-11,Morrow,Oregon,465
2020-09-12,Morrow,Oregon,470
2020-09-13,Morrow,Oregon,471
2020-09-14,Morrow,Oregon,473
2020-09-15,Morrow,Oregon,476
2020-09-16,Morrow,Oregon,476
2020-09-17,Morrow,Oregon,477
2020-09-18,Morrow,Oregon,484
2020-09-19,Morrow,Oregon,485
2020-09-20,Morrow,Oregon,488
2020-09-21,Morrow,Oregon,490
2020-09-22,Morrow,Oregon,490
2020-09-23,Morrow,Oregon,490
2020-09-24,Morrow,Oregon,494
2020-09-25,Morrow,Oregon,498
2020-09-26,Morrow,Oregon,498
2020-09-27,Morrow,Oregon,499
2020-09-28,Morrow,Oregon,505
2020-09-29,Morrow,Oregon,509
2020-09-30,Morrow,Oregon,513
2020-10-01,Morrow,Oregon,515
2020-10-02,Morrow,Oregon,516
2020-10-03,Morrow,Oregon,519
2020-10-04,Morrow,Oregon,521
2020-10-05,Morrow,Oregon,522
2020-10-06,Morrow,Oregon,523
2020-10-07,Morrow,Oregon,524
2020-10-08,Morrow,Oregon,529
2020-10-09,Morrow,Oregon,530
2020-10-10,Morrow,Oregon,532
2020-10-11,Morrow,Oregon,532
2020-10-12,Morrow,Oregon,532
2020-10-13,Morrow,Oregon,532
2020-10-14,Morrow,Oregon,532
2020-10-15,Morrow,Oregon,533
2020-10-16,Morrow,Oregon,538
2020-10-17,Morrow,Oregon,539
