date,county,state,cases
2020-03-11,Umatilla,Oregon,1
2020-03-12,Umatilla,Oregon,2
2020-03-13,Umatilla,Oregon,2
2020-03-14,Umatilla,Oregon,2
2020-03-15,Umatilla,Oregon,2
2020-03-16,Umatilla,Oregon,2
2020-03-17,Umatilla,Oregon,2
2020-03-18,Umatilla,Oregon,2
2020-03-19,Umatilla,Oregon,2
2020-03-20,Umatilla,Oregon,2
2020-03-21,Umatilla,Oregon,2
2020-03-22,Umatilla,Oregon,2
2020-03-23,Umatilla,Oregon,2
2020-03-24,Umatilla,Oregon,2
2020-03-25,Umatilla,Oregon,2
2020-03-26,Umatilla,Oregon,2
2020-03-27,Umatilla,Oregon,3
2020-03-28,Umatilla,Oregon,4
2020-03-29,Umatilla,Oregon,4
2020-03-30,Umatilla,Oregon,4
2020-03-31,Umatilla,Oregon,5
2020-04-01,Umatilla,Oregon,5
2020-04-02,Umatilla,Oregon,5
2020-04-03,Umatilla,Oregon,5
2020-04-04,Umatilla,Oregon,5
2020-04-05,Umatilla,Oregon,7
2020-04-06,Umatilla,Oregon,8
2020-04-07,Umatilla,Oregon,8
2020-04-08,Umatilla,Oregon,8
2020-04-09,Umatilla,Oregon,11
2020-04-10,Umatilla,Oregon,11
2020-04-11,Umatilla,Oregon,14
2020-04-12,Umatilla,Oregon,16
2020-04-13,Umatilla,Oregon,16
2020-04-14,Umatilla,Oregon,16
2020-04-15,Umatilla,Oregon,17
2020-04-16,Umatilla,Oregon,22
2020-04-17,Umatilla,Oregon,23
2020-04-18,Umatilla,Oregon,25
2020-04-19,Umatilla,Oregon,26
2020-04-20,Umatilla,Oregon,27
2020-04-21,Umatilla,Oregon,29
2020-04-22,Umatilla,Oregon,29
2020-04-23,Umatilla,Oregon,30
2020-04-24,Umatilla,Oregon,32
2020-04-25,Umatilla,Oregon,35
2020-04-26,Umatilla,Oregon,36
2020-04-27,Umatilla,Oregon,36
2020-04-28,Umatilla,Oregon,37
2020-04-29,Umatilla,Oregon,45
2020-04-30,Umatilla,Oregon,50
2020-05-01,Umatilla,Oregon,57
2020-05-02,Umatilla,Oregon,61
2020-05-03,Umatilla,Oregon,64
2020-05-04,Umatilla,Oregon,70
2020-05-05,Umatilla,Oregon,73
2020-05-06,Umatilla,Oregon,77
2020-05-07,Umatilla,Oregon,77
2020-05-08,Umatilla,Oregon,80
2020-05-09,Umatilla,Oregon,84
2020-05-10,Umatilla,Oregon,85
2020-05-11,Umatilla,Oregon,85
2020-05-12,Umatilla,Oregon,85
2020-05-13,Umatilla,Oregon,86
2020-05-14,Umatilla,Oregon,88
2020-05-15,Umatilla,Oregon,91
2020-05-16,Umatilla,Oregon,93
2020-05-17,Umatilla,Oregon,93
2020-05-18,Umatilla,Oregon,98
2020-05-19,Umatilla,Oregon,101
2020-05-20,Umatilla,Oregon,105
2020-05-21,Umatilla,Oregon,107
2020-05-22,Umatilla,Oregon,108
2020-05-23,Umatilla,Oregon,110
2020-05-24,Umatilla,Oregon,111
2020-05-25,Umatilla,Oregon,112
2020-05-26,Umatilla,Oregon,113
2020-05-27,Umatilla,Oregon,115
2020-05-28,Umatilla,Oregon,115
2020-05-29,Umatilla,Oregon,116
2020-05-30,Umatilla,Oregon,116
2020-05-31,Umatilla,Oregon,116
2020-06-01,Umatilla,Oregon,121
2020-06-02,Umatilla,Oregon,124
2020-06-03,Umatilla,Oregon,123
2020-06-04,Umatilla,Oregon,125
2020-06-05,Umatilla,Oregon,130
2020-06-06,Umatilla,Oregon,131
2020-06-07,Umatilla,Oregon,136
2020-06-08,Umatilla,Oregon,146
2020-06-09,Umatilla,Oregon,149
2020-06-10,Umatilla,Oregon,150
2020-06-11,Umatilla,Oregon,156
2020-06-12,Umatilla,Oregon,158
2020-06-13,Umatilla,Oregon,170
2020-06-14,Umatilla,Oregon,171
2020-06-15,Umatilla,Oregon,183
2020-06-16,Umatilla,Oregon,187
2020-06-17,Umatilla,Oregon,203
2020-06-18,Umatilla,Oregon,223
2020-06-19,Umatilla,Oregon,243
2020-06-20,Umatilla,Oregon,243
2020-06-21,Umatilla,Oregon,268
2020-06-22,Umatilla,Oregon,304
2020-06-23,Umatilla,Oregon,334
2020-06-24,Umatilla,Oregon,344
2020-06-25,Umatilla,Oregon,371
2020-06-26,Umatilla,Oregon,428
2020-06-27,Umatilla,Oregon,428
2020-06-28,Umatilla,Oregon,467
2020-06-29,Umatilla,Oregon,497
2020-06-30,Umatilla,Oregon,524
2020-07-01,Umatilla,Oregon,615
2020-07-02,Umatilla,Oregon,664
2020-07-03,Umatilla,Oregon,667
2020-07-04,Umatilla,Oregon,716
2020-07-05,Umatilla,Oregon,757
2020-07-06,Umatilla,Oregon,783
2020-07-07,Umatilla,Oregon,834
2020-07-08,Umatilla,Oregon,882
2020-07-09,Umatilla,Oregon,938
2020-07-10,Umatilla,Oregon,984
2020-07-11,Umatilla,Oregon,987
2020-07-12,Umatilla,Oregon,1013
2020-07-13,Umatilla,Oregon,1114
2020-07-14,Umatilla,Oregon,1139
2020-07-15,Umatilla,Oregon,1183
2020-07-16,Umatilla,Oregon,1214
2020-07-17,Umatilla,Oregon,1261
2020-07-18,Umatilla,Oregon,1338
2020-07-19,Umatilla,Oregon,1340
2020-07-20,Umatilla,Oregon,1434
2020-07-21,Umatilla,Oregon,1551
2020-07-22,Umatilla,Oregon,1500
2020-07-23,Umatilla,Oregon,1548
2020-07-24,Umatilla,Oregon,1624
2020-07-25,Umatilla,Oregon,1638
2020-07-26,Umatilla,Oregon,1678
2020-07-27,Umatilla,Oregon,1757
2020-07-28,Umatilla,Oregon,1807
2020-07-29,Umatilla,Oregon,1886
2020-07-30,Umatilla,Oregon,1929
2020-07-31,Umatilla,Oregon,1961
2020-08-01,Umatilla,Oregon,1977
2020-08-02,Umatilla,Oregon,1996
2020-08-03,Umatilla,Oregon,2089
2020-08-04,Umatilla,Oregon,2122
2020-08-05,Umatilla,Oregon,2141
2020-08-06,Umatilla,Oregon,2192
2020-08-07,Umatilla,Oregon,2243
2020-08-08,Umatilla,Oregon,2251
2020-08-09,Umatilla,Oregon,2290
2020-08-10,Umatilla,Oregon,2302
2020-08-11,Umatilla,Oregon,2319
2020-08-12,Umatilla,Oregon,2349
2020-08-13,Umatilla,Oregon,2377
2020-08-14,Umatilla,Oregon,2398
2020-08-15,Umatilla,Oregon,2435
2020-08-16,Umatilla,Oregon,2450
2020-08-17,Umatilla,Oregon,2465
2020-08-18,Umatilla,Oregon,2477
2020-08-19,Umatilla,Oregon,2495
2020-08-20,Umatilla,Oregon,2508
2020-08-21,Umatilla,Oregon,2528
2020-08-22,Umatilla,Oregon,2530
2020-08-23,Umatilla,Oregon,2537
2020-08-24,Umatilla,Oregon,2566
2020-08-25,Umatilla,Oregon,2587
2020-08-26,Umatilla,Oregon,2598
2020-08-27,Umatilla,Oregon,2613
