date,county,state,cases
2020-03-20,Union,Oregon,1
2020-03-21,Union,Oregon,1
2020-03-22,Union,Oregon,1
2020-03-23,Union,Oregon,1
2020-03-24,Union,Oregon,1
2020-03-25,Union,Oregon,1
2020-03-26,Union,Oregon,1
2020-03-27,Union,Oregon,1
2020-03-28,Union,Oregon,1
2020-03-29,Union,Oregon,1
2020-03-30,Union,Oregon,1
2020-03-31,Union,Oregon,1
2020-04-01,Union,Oregon,1
2020-04-02,Union,Oregon,3
2020-04-03,Union,Oregon,3
2020-04-04,Union,Oregon,3
2020-04-05,Union,Oregon,3
2020-04-06,Union,Oregon,3
2020-04-07,Union,Oregon,3
2020-04-08,Union,Oregon,3
2020-04-09,Union,Oregon,3
2020-04-10,Union,Oregon,3
2020-04-11,Union,Oregon,4
2020-04-12,Union,Oregon,4
2020-04-13,Union,Oregon,4
2020-04-14,Union,Oregon,4
2020-04-15,Union,Oregon,4
2020-04-16,Union,Oregon,4
2020-04-17,Union,Oregon,4
2020-04-18,Union,Oregon,4
2020-04-19,Union,Oregon,4
2020-04-20,Union,Oregon,4
2020-04-21,Union,Oregon,4
2020-04-22,Union,Oregon,4
2020-04-23,Union,Oregon,4
2020-04-24,Union,Oregon,4
2020-04-25,Union,Oregon,4
2020-04-26,Union,Oregon,4
2020-04-27,Union,Oregon,4
2020-04-28,Union,Oregon,4
2020-04-29,Union,Oregon,4
2020-04-30,Union,Oregon,4
2020-05-01,Union,Oregon,4
2020-05-02,Union,Oregon,4
2020-05-03,Union,Oregon,4
2020-05-04,Union,Oregon,4
2020-05-05,Union,Oregon,4
2020-05-06,Union,Oregon,4
2020-05-07,Union,Oregon,4
2020-05-08,Union,Oregon,4
2020-05-09,Union,Oregon,4
2020-05-10,Union,Oregon,4
2020-05-11,Union,Oregon,4
2020-05-12,Union,Oregon,4
2020-05-13,Union,Oregon,4
2020-05-14,Union,Oregon,4
2020-05-15,Union,Oregon,5
2020-05-16,Union,Oregon,5
2020-05-17,Union,Oregon,5
2020-05-18,Union,Oregon,6
2020-05-19,Union,Oregon,6
2020-05-20,Union,Oregon,6
2020-05-21,Union,Oregon,6
2020-05-22,Union,Oregon,6
2020-05-23,Union,Oregon,6
2020-05-24,Union,Oregon,6
2020-05-25,Union,Oregon,6
2020-05-26,Union,Oregon,6
2020-05-27,Union,Oregon,6
2020-05-28,Union,Oregon,6
2020-05-29,Union,Oregon,6
2020-05-30,Union,Oregon,6
2020-05-31,Union,Oregon,6
2020-06-01,Union,Oregon,6
2020-06-02,Union,Oregon,6
2020-06-03,Union,Oregon,6
2020-06-04,Union,Oregon,6
2020-06-05,Union,Oregon,6
2020-06-06,Union,Oregon,6
2020-06-07,Union,Oregon,6
2020-06-08,Union,Oregon,6
2020-06-09,Union,Oregon,7
2020-06-10,Union,Oregon,7
2020-06-11,Union,Oregon,8
2020-06-12,Union,Oregon,12
2020-06-13,Union,Oregon,14
2020-06-14,Union,Oregon,22
2020-06-15,Union,Oregon,121
2020-06-16,Union,Oregon,240
2020-06-17,Union,Oregon,242
