date,county,state,cases
2020-03-27,Columbia,Oregon,1
2020-03-28,Columbia,Oregon,1
2020-03-29,Columbia,Oregon,1
2020-03-30,Columbia,Oregon,1
2020-03-31,Columbia,Oregon,1
2020-04-01,Columbia,Oregon,1
2020-04-02,Columbia,Oregon,1
2020-04-03,Columbia,Oregon,1
2020-04-04,Columbia,Oregon,3
2020-04-05,Columbia,Oregon,6
2020-04-06,Columbia,Oregon,8
2020-04-07,Columbia,Oregon,8
2020-04-08,Columbia,Oregon,9
2020-04-09,Columbia,Oregon,10
2020-04-10,Columbia,Oregon,10
2020-04-11,Columbia,Oregon,10
2020-04-12,Columbia,Oregon,10
2020-04-13,Columbia,Oregon,12
2020-04-14,Columbia,Oregon,11
2020-04-15,Columbia,Oregon,14
2020-04-16,Columbia,Oregon,14
2020-04-17,Columbia,Oregon,14
2020-04-18,Columbia,Oregon,14
2020-04-19,Columbia,Oregon,14
2020-04-20,Columbia,Oregon,14
2020-04-21,Columbia,Oregon,14
2020-04-22,Columbia,Oregon,14
2020-04-23,Columbia,Oregon,14
2020-04-24,Columbia,Oregon,14
2020-04-25,Columbia,Oregon,14
2020-04-26,Columbia,Oregon,14
2020-04-27,Columbia,Oregon,14
2020-04-28,Columbia,Oregon,14
2020-04-29,Columbia,Oregon,14
2020-04-30,Columbia,Oregon,14
2020-05-01,Columbia,Oregon,14
2020-05-02,Columbia,Oregon,14
2020-05-03,Columbia,Oregon,14
2020-05-04,Columbia,Oregon,14
2020-05-05,Columbia,Oregon,14
2020-05-06,Columbia,Oregon,15
2020-05-07,Columbia,Oregon,15
2020-05-08,Columbia,Oregon,15
2020-05-09,Columbia,Oregon,15
2020-05-10,Columbia,Oregon,15
2020-05-11,Columbia,Oregon,15
2020-05-12,Columbia,Oregon,15
2020-05-13,Columbia,Oregon,16
2020-05-14,Columbia,Oregon,16
2020-05-15,Columbia,Oregon,16
2020-05-16,Columbia,Oregon,16
2020-05-17,Columbia,Oregon,16
2020-05-18,Columbia,Oregon,16
2020-05-19,Columbia,Oregon,16
2020-05-20,Columbia,Oregon,16
2020-05-21,Columbia,Oregon,16
2020-05-22,Columbia,Oregon,16
2020-05-23,Columbia,Oregon,16
2020-05-24,Columbia,Oregon,16
2020-05-25,Columbia,Oregon,16
2020-05-26,Columbia,Oregon,16
2020-05-27,Columbia,Oregon,16
2020-05-28,Columbia,Oregon,16
2020-05-29,Columbia,Oregon,16
2020-05-30,Columbia,Oregon,16
2020-05-31,Columbia,Oregon,16
2020-06-01,Columbia,Oregon,16
2020-06-02,Columbia,Oregon,16
2020-06-03,Columbia,Oregon,16
2020-06-04,Columbia,Oregon,16
2020-06-05,Columbia,Oregon,16
2020-06-06,Columbia,Oregon,16
2020-06-07,Columbia,Oregon,16
2020-06-08,Columbia,Oregon,16
2020-06-09,Columbia,Oregon,17
2020-06-10,Columbia,Oregon,17
2020-06-11,Columbia,Oregon,17
2020-06-12,Columbia,Oregon,20
2020-06-13,Columbia,Oregon,21
2020-06-14,Columbia,Oregon,22
2020-06-15,Columbia,Oregon,22
2020-06-16,Columbia,Oregon,22
2020-06-17,Columbia,Oregon,22
2020-06-18,Columbia,Oregon,26
2020-06-19,Columbia,Oregon,26
2020-06-20,Columbia,Oregon,26
2020-06-21,Columbia,Oregon,26
2020-06-22,Columbia,Oregon,26
2020-06-23,Columbia,Oregon,26
2020-06-24,Columbia,Oregon,26
2020-06-25,Columbia,Oregon,26
2020-06-26,Columbia,Oregon,27
2020-06-27,Columbia,Oregon,28
2020-06-28,Columbia,Oregon,29
2020-06-29,Columbia,Oregon,29
2020-06-30,Columbia,Oregon,29
2020-07-01,Columbia,Oregon,30
2020-07-02,Columbia,Oregon,31
2020-07-03,Columbia,Oregon,35
2020-07-04,Columbia,Oregon,36
2020-07-05,Columbia,Oregon,39
2020-07-06,Columbia,Oregon,42
2020-07-07,Columbia,Oregon,44
2020-07-08,Columbia,Oregon,45
2020-07-09,Columbia,Oregon,47
2020-07-10,Columbia,Oregon,47
2020-07-11,Columbia,Oregon,48
2020-07-12,Columbia,Oregon,48
2020-07-13,Columbia,Oregon,54
2020-07-14,Columbia,Oregon,57
2020-07-15,Columbia,Oregon,59
2020-07-16,Columbia,Oregon,59
2020-07-17,Columbia,Oregon,61
2020-07-18,Columbia,Oregon,61
2020-07-19,Columbia,Oregon,61
2020-07-20,Columbia,Oregon,62
2020-07-21,Columbia,Oregon,63
2020-07-22,Columbia,Oregon,63
2020-07-23,Columbia,Oregon,66
2020-07-24,Columbia,Oregon,67
2020-07-25,Columbia,Oregon,67
2020-07-26,Columbia,Oregon,69
2020-07-27,Columbia,Oregon,70
2020-07-28,Columbia,Oregon,70
2020-07-29,Columbia,Oregon,70
2020-07-30,Columbia,Oregon,73
2020-07-31,Columbia,Oregon,73
2020-08-01,Columbia,Oregon,78
2020-08-02,Columbia,Oregon,78
2020-08-03,Columbia,Oregon,79
2020-08-04,Columbia,Oregon,84
2020-08-05,Columbia,Oregon,86
2020-08-06,Columbia,Oregon,90
2020-08-07,Columbia,Oregon,91
2020-08-08,Columbia,Oregon,94
2020-08-09,Columbia,Oregon,96
2020-08-10,Columbia,Oregon,97
2020-08-11,Columbia,Oregon,101
2020-08-12,Columbia,Oregon,102
2020-08-13,Columbia,Oregon,103
2020-08-14,Columbia,Oregon,103
2020-08-15,Columbia,Oregon,106
