date,county,state,cases
2020-03-08,Douglas,Oregon,1
2020-03-09,Douglas,Oregon,1
2020-03-10,Douglas,Oregon,1
2020-03-11,Douglas,Oregon,1
2020-03-12,Douglas,Oregon,1
2020-03-13,Douglas,Oregon,1
2020-03-14,Douglas,Oregon,1
2020-03-15,Douglas,Oregon,1
2020-03-16,Douglas,Oregon,1
2020-03-17,Douglas,Oregon,1
2020-03-18,Douglas,Oregon,1
2020-03-19,Douglas,Oregon,1
2020-03-20,Douglas,Oregon,1
2020-03-21,Douglas,Oregon,1
2020-03-22,Douglas,Oregon,1
2020-03-23,Douglas,Oregon,1
2020-03-24,Douglas,Oregon,1
2020-03-25,Douglas,Oregon,3
2020-03-26,Douglas,Oregon,3
2020-03-27,Douglas,Oregon,4
2020-03-28,Douglas,Oregon,4
2020-03-29,Douglas,Oregon,4
2020-03-30,Douglas,Oregon,8
2020-03-31,Douglas,Oregon,9
2020-04-01,Douglas,Oregon,10
2020-04-02,Douglas,Oregon,10
2020-04-03,Douglas,Oregon,9
2020-04-04,Douglas,Oregon,11
2020-04-05,Douglas,Oregon,11
2020-04-06,Douglas,Oregon,12
2020-04-07,Douglas,Oregon,12
2020-04-08,Douglas,Oregon,12
2020-04-09,Douglas,Oregon,12
2020-04-10,Douglas,Oregon,12
2020-04-11,Douglas,Oregon,12
2020-04-12,Douglas,Oregon,14
2020-04-13,Douglas,Oregon,16
2020-04-14,Douglas,Oregon,19
2020-04-15,Douglas,Oregon,20
2020-04-16,Douglas,Oregon,22
2020-04-17,Douglas,Oregon,22
2020-04-18,Douglas,Oregon,22
2020-04-19,Douglas,Oregon,22
2020-04-20,Douglas,Oregon,23
2020-04-21,Douglas,Oregon,23
2020-04-22,Douglas,Oregon,23
2020-04-23,Douglas,Oregon,24
2020-04-24,Douglas,Oregon,23
2020-04-25,Douglas,Oregon,23
2020-04-26,Douglas,Oregon,23
2020-04-27,Douglas,Oregon,23
2020-04-28,Douglas,Oregon,23
2020-04-29,Douglas,Oregon,23
2020-04-30,Douglas,Oregon,23
2020-05-01,Douglas,Oregon,24
2020-05-02,Douglas,Oregon,24
2020-05-03,Douglas,Oregon,24
2020-05-04,Douglas,Oregon,24
2020-05-05,Douglas,Oregon,24
2020-05-06,Douglas,Oregon,24
2020-05-07,Douglas,Oregon,24
2020-05-08,Douglas,Oregon,24
2020-05-09,Douglas,Oregon,24
2020-05-10,Douglas,Oregon,24
2020-05-11,Douglas,Oregon,24
2020-05-12,Douglas,Oregon,24
2020-05-13,Douglas,Oregon,24
2020-05-14,Douglas,Oregon,24
2020-05-15,Douglas,Oregon,25
2020-05-16,Douglas,Oregon,24
2020-05-17,Douglas,Oregon,25
2020-05-18,Douglas,Oregon,25
2020-05-19,Douglas,Oregon,25
2020-05-20,Douglas,Oregon,25
2020-05-21,Douglas,Oregon,25
2020-05-22,Douglas,Oregon,25
2020-05-23,Douglas,Oregon,25
2020-05-24,Douglas,Oregon,25
2020-05-25,Douglas,Oregon,25
2020-05-26,Douglas,Oregon,25
2020-05-27,Douglas,Oregon,25
2020-05-28,Douglas,Oregon,25
2020-05-29,Douglas,Oregon,26
2020-05-30,Douglas,Oregon,27
2020-05-31,Douglas,Oregon,27
2020-06-01,Douglas,Oregon,27
2020-06-02,Douglas,Oregon,27
2020-06-03,Douglas,Oregon,28
2020-06-04,Douglas,Oregon,28
2020-06-05,Douglas,Oregon,29
2020-06-06,Douglas,Oregon,29
2020-06-07,Douglas,Oregon,29
2020-06-08,Douglas,Oregon,29
2020-06-09,Douglas,Oregon,29
2020-06-10,Douglas,Oregon,29
2020-06-11,Douglas,Oregon,29
2020-06-12,Douglas,Oregon,29
2020-06-13,Douglas,Oregon,29
2020-06-14,Douglas,Oregon,29
2020-06-15,Douglas,Oregon,29
2020-06-16,Douglas,Oregon,29
2020-06-17,Douglas,Oregon,29
2020-06-18,Douglas,Oregon,29
2020-06-19,Douglas,Oregon,32
2020-06-20,Douglas,Oregon,32
2020-06-21,Douglas,Oregon,33
2020-06-22,Douglas,Oregon,34
2020-06-23,Douglas,Oregon,34
2020-06-24,Douglas,Oregon,34
2020-06-25,Douglas,Oregon,34
2020-06-26,Douglas,Oregon,38
2020-06-27,Douglas,Oregon,38
2020-06-28,Douglas,Oregon,38
2020-06-29,Douglas,Oregon,40
2020-06-30,Douglas,Oregon,40
2020-07-01,Douglas,Oregon,42
2020-07-02,Douglas,Oregon,44
2020-07-03,Douglas,Oregon,45
2020-07-04,Douglas,Oregon,46
2020-07-05,Douglas,Oregon,50
2020-07-06,Douglas,Oregon,51
2020-07-07,Douglas,Oregon,54
2020-07-08,Douglas,Oregon,56
2020-07-09,Douglas,Oregon,56
2020-07-10,Douglas,Oregon,58
2020-07-11,Douglas,Oregon,60
2020-07-12,Douglas,Oregon,64
2020-07-13,Douglas,Oregon,64
2020-07-14,Douglas,Oregon,66
2020-07-15,Douglas,Oregon,70
2020-07-16,Douglas,Oregon,74
2020-07-17,Douglas,Oregon,78
2020-07-18,Douglas,Oregon,82
2020-07-19,Douglas,Oregon,85
2020-07-20,Douglas,Oregon,87
2020-07-21,Douglas,Oregon,90
2020-07-22,Douglas,Oregon,92
2020-07-23,Douglas,Oregon,105
2020-07-24,Douglas,Oregon,111
2020-07-25,Douglas,Oregon,116
2020-07-26,Douglas,Oregon,116
2020-07-27,Douglas,Oregon,117
2020-07-28,Douglas,Oregon,119
2020-07-29,Douglas,Oregon,121
2020-07-30,Douglas,Oregon,123
2020-07-31,Douglas,Oregon,125
2020-08-01,Douglas,Oregon,128
2020-08-02,Douglas,Oregon,132
2020-08-03,Douglas,Oregon,134
2020-08-04,Douglas,Oregon,139
2020-08-05,Douglas,Oregon,140
2020-08-06,Douglas,Oregon,145
2020-08-07,Douglas,Oregon,148
2020-08-08,Douglas,Oregon,150
2020-08-09,Douglas,Oregon,151
2020-08-10,Douglas,Oregon,151
2020-08-11,Douglas,Oregon,156
2020-08-12,Douglas,Oregon,159
2020-08-13,Douglas,Oregon,159
2020-08-14,Douglas,Oregon,159
2020-08-15,Douglas,Oregon,160
2020-08-16,Douglas,Oregon,160
2020-08-17,Douglas,Oregon,162
2020-08-18,Douglas,Oregon,165
2020-08-19,Douglas,Oregon,166
2020-08-20,Douglas,Oregon,168
2020-08-21,Douglas,Oregon,169
2020-08-22,Douglas,Oregon,169
2020-08-23,Douglas,Oregon,169
2020-08-24,Douglas,Oregon,169
2020-08-25,Douglas,Oregon,169
2020-08-26,Douglas,Oregon,173
2020-08-27,Douglas,Oregon,174
2020-08-28,Douglas,Oregon,177
2020-08-29,Douglas,Oregon,177
2020-08-30,Douglas,Oregon,177
2020-08-31,Douglas,Oregon,177
2020-09-01,Douglas,Oregon,178
2020-09-02,Douglas,Oregon,179
2020-09-03,Douglas,Oregon,180
2020-09-04,Douglas,Oregon,180
2020-09-05,Douglas,Oregon,180
2020-09-06,Douglas,Oregon,180
2020-09-07,Douglas,Oregon,182
2020-09-08,Douglas,Oregon,182
2020-09-09,Douglas,Oregon,182
2020-09-10,Douglas,Oregon,182
2020-09-11,Douglas,Oregon,183
2020-09-12,Douglas,Oregon,187
2020-09-13,Douglas,Oregon,188
2020-09-14,Douglas,Oregon,191
2020-09-15,Douglas,Oregon,192
2020-09-16,Douglas,Oregon,194
2020-09-17,Douglas,Oregon,195
2020-09-18,Douglas,Oregon,200
2020-09-19,Douglas,Oregon,206
2020-09-20,Douglas,Oregon,209
2020-09-21,Douglas,Oregon,211
2020-09-22,Douglas,Oregon,221
2020-09-23,Douglas,Oregon,221
2020-09-24,Douglas,Oregon,224
2020-09-25,Douglas,Oregon,223
2020-09-26,Douglas,Oregon,227
2020-09-27,Douglas,Oregon,232
2020-09-28,Douglas,Oregon,233
2020-09-29,Douglas,Oregon,239
2020-09-30,Douglas,Oregon,243
2020-10-01,Douglas,Oregon,248
2020-10-02,Douglas,Oregon,251
2020-10-03,Douglas,Oregon,253
2020-10-04,Douglas,Oregon,257
2020-10-05,Douglas,Oregon,259
2020-10-06,Douglas,Oregon,262
2020-10-07,Douglas,Oregon,265
2020-10-08,Douglas,Oregon,275
2020-10-09,Douglas,Oregon,281
2020-10-10,Douglas,Oregon,283
2020-10-11,Douglas,Oregon,287
2020-10-12,Douglas,Oregon,287
2020-10-13,Douglas,Oregon,288
2020-10-14,Douglas,Oregon,296
2020-10-15,Douglas,Oregon,301
2020-10-16,Douglas,Oregon,306
2020-10-17,Douglas,Oregon,313
2020-10-18,Douglas,Oregon,314
2020-10-19,Douglas,Oregon,316
2020-10-20,Douglas,Oregon,324
2020-10-21,Douglas,Oregon,331
2020-10-22,Douglas,Oregon,339
2020-10-23,Douglas,Oregon,342
2020-10-24,Douglas,Oregon,345
2020-10-25,Douglas,Oregon,349
2020-10-26,Douglas,Oregon,350
2020-10-27,Douglas,Oregon,359
2020-10-28,Douglas,Oregon,363
2020-10-29,Douglas,Oregon,368
2020-10-30,Douglas,Oregon,373
2020-10-31,Douglas,Oregon,376
2020-11-01,Douglas,Oregon,373
2020-11-02,Douglas,Oregon,390
2020-11-03,Douglas,Oregon,400
2020-11-04,Douglas,Oregon,411
2020-11-05,Douglas,Oregon,421
2020-11-06,Douglas,Oregon,434
2020-11-07,Douglas,Oregon,457
2020-11-08,Douglas,Oregon,472
2020-11-09,Douglas,Oregon,492
2020-11-10,Douglas,Oregon,510
2020-11-11,Douglas,Oregon,542
2020-11-12,Douglas,Oregon,556
2020-11-13,Douglas,Oregon,581
2020-11-14,Douglas,Oregon,603
2020-11-15,Douglas,Oregon,619
2020-11-16,Douglas,Oregon,628
2020-11-17,Douglas,Oregon,665
2020-11-18,Douglas,Oregon,697
2020-11-19,Douglas,Oregon,718
2020-11-20,Douglas,Oregon,756
2020-11-21,Douglas,Oregon,793
2020-11-22,Douglas,Oregon,804
2020-11-23,Douglas,Oregon,822
2020-11-24,Douglas,Oregon,840
2020-11-25,Douglas,Oregon,882
2020-11-26,Douglas,Oregon,900
2020-11-27,Douglas,Oregon,912
2020-11-28,Douglas,Oregon,921
2020-11-29,Douglas,Oregon,930
2020-11-30,Douglas,Oregon,961
2020-12-01,Douglas,Oregon,967
2020-12-02,Douglas,Oregon,981
2020-12-03,Douglas,Oregon,998
2020-12-04,Douglas,Oregon,1026
2020-12-05,Douglas,Oregon,1050
2020-12-06,Douglas,Oregon,1069
2020-12-07,Douglas,Oregon,1080
2020-12-08,Douglas,Oregon,1105
2020-12-09,Douglas,Oregon,1132
2020-12-10,Douglas,Oregon,1152
2020-12-11,Douglas,Oregon,1168
2020-12-12,Douglas,Oregon,1179
2020-12-13,Douglas,Oregon,1199
