date,county,state,cases
2020-07-04,Gilliam,Oregon,1
2020-07-05,Gilliam,Oregon,1
2020-07-06,Gilliam,Oregon,1
2020-07-07,Gilliam,Oregon,1
2020-07-08,Gilliam,Oregon,1
2020-07-09,Gilliam,Oregon,1
2020-07-10,Gilliam,Oregon,1
2020-07-11,Gilliam,Oregon,1
2020-07-12,Gilliam,Oregon,1
2020-07-13,Gilliam,Oregon,2
2020-07-14,Gilliam,Oregon,2
2020-07-15,Gilliam,Oregon,2
2020-07-16,Gilliam,Oregon,2
2020-07-17,Gilliam,Oregon,2
2020-07-18,Gilliam,Oregon,2
2020-07-19,Gilliam,Oregon,2
2020-07-20,Gilliam,Oregon,2
2020-07-21,Gilliam,Oregon,2
2020-07-22,Gilliam,Oregon,2
2020-07-23,Gilliam,Oregon,2
2020-07-24,Gilliam,Oregon,3
2020-07-25,Gilliam,Oregon,3
2020-07-26,Gilliam,Oregon,3
2020-07-27,Gilliam,Oregon,3
2020-07-28,Gilliam,Oregon,3
2020-07-29,Gilliam,Oregon,3
2020-07-30,Gilliam,Oregon,3
2020-07-31,Gilliam,Oregon,4
2020-08-01,Gilliam,Oregon,4
2020-08-02,Gilliam,Oregon,4
2020-08-03,Gilliam,Oregon,4
2020-08-04,Gilliam,Oregon,4
2020-08-05,Gilliam,Oregon,4
2020-08-06,Gilliam,Oregon,4
2020-08-07,Gilliam,Oregon,4
2020-08-08,Gilliam,Oregon,4
2020-08-09,Gilliam,Oregon,4
2020-08-10,Gilliam,Oregon,4
2020-08-11,Gilliam,Oregon,4
2020-08-12,Gilliam,Oregon,4
2020-08-13,Gilliam,Oregon,4
2020-08-14,Gilliam,Oregon,4
2020-08-15,Gilliam,Oregon,4
2020-08-16,Gilliam,Oregon,4
2020-08-17,Gilliam,Oregon,4
2020-08-18,Gilliam,Oregon,4
2020-08-19,Gilliam,Oregon,4
2020-08-20,Gilliam,Oregon,4
2020-08-21,Gilliam,Oregon,4
2020-08-22,Gilliam,Oregon,4
2020-08-23,Gilliam,Oregon,4
2020-08-24,Gilliam,Oregon,4
2020-08-25,Gilliam,Oregon,4
2020-08-26,Gilliam,Oregon,4
2020-08-27,Gilliam,Oregon,4
2020-08-28,Gilliam,Oregon,4
2020-08-29,Gilliam,Oregon,4
2020-08-30,Gilliam,Oregon,4
2020-08-31,Gilliam,Oregon,4
2020-09-01,Gilliam,Oregon,4
2020-09-02,Gilliam,Oregon,4
2020-09-03,Gilliam,Oregon,4
2020-09-04,Gilliam,Oregon,4
2020-09-05,Gilliam,Oregon,4
2020-09-06,Gilliam,Oregon,4
2020-09-07,Gilliam,Oregon,4
2020-09-08,Gilliam,Oregon,4
2020-09-09,Gilliam,Oregon,4
2020-09-10,Gilliam,Oregon,4
2020-09-11,Gilliam,Oregon,4
2020-09-12,Gilliam,Oregon,4
2020-09-13,Gilliam,Oregon,5
2020-09-14,Gilliam,Oregon,5
2020-09-15,Gilliam,Oregon,7
2020-09-16,Gilliam,Oregon,7
2020-09-17,Gilliam,Oregon,7
2020-09-18,Gilliam,Oregon,7
2020-09-19,Gilliam,Oregon,7
2020-09-20,Gilliam,Oregon,8
2020-09-21,Gilliam,Oregon,8
2020-09-22,Gilliam,Oregon,8
2020-09-23,Gilliam,Oregon,8
2020-09-24,Gilliam,Oregon,8
2020-09-25,Gilliam,Oregon,8
2020-09-26,Gilliam,Oregon,8
2020-09-27,Gilliam,Oregon,8
2020-09-28,Gilliam,Oregon,8
2020-09-29,Gilliam,Oregon,8
2020-09-30,Gilliam,Oregon,8
2020-10-01,Gilliam,Oregon,8
2020-10-02,Gilliam,Oregon,8
2020-10-03,Gilliam,Oregon,8
2020-10-04,Gilliam,Oregon,8
2020-10-05,Gilliam,Oregon,8
2020-10-06,Gilliam,Oregon,8
2020-10-07,Gilliam,Oregon,8
2020-10-08,Gilliam,Oregon,9
2020-10-09,Gilliam,Oregon,9
2020-10-10,Gilliam,Oregon,10
2020-10-11,Gilliam,Oregon,10
2020-10-12,Gilliam,Oregon,10
2020-10-13,Gilliam,Oregon,11
2020-10-14,Gilliam,Oregon,11
2020-10-15,Gilliam,Oregon,11
2020-10-16,Gilliam,Oregon,11
2020-10-17,Gilliam,Oregon,11
2020-10-18,Gilliam,Oregon,11
2020-10-19,Gilliam,Oregon,11
2020-10-20,Gilliam,Oregon,11
2020-10-21,Gilliam,Oregon,11
2020-10-22,Gilliam,Oregon,11
2020-10-23,Gilliam,Oregon,11
2020-10-24,Gilliam,Oregon,11
2020-10-25,Gilliam,Oregon,11
2020-10-26,Gilliam,Oregon,11
2020-10-27,Gilliam,Oregon,11
2020-10-28,Gilliam,Oregon,11
2020-10-29,Gilliam,Oregon,11
2020-10-30,Gilliam,Oregon,12
2020-10-31,Gilliam,Oregon,17
2020-11-01,Gilliam,Oregon,17
2020-11-02,Gilliam,Oregon,17
2020-11-03,Gilliam,Oregon,17
2020-11-04,Gilliam,Oregon,17
2020-11-05,Gilliam,Oregon,17
2020-11-06,Gilliam,Oregon,17
2020-11-07,Gilliam,Oregon,17
2020-11-08,Gilliam,Oregon,17
2020-11-09,Gilliam,Oregon,17
2020-11-10,Gilliam,Oregon,17
2020-11-11,Gilliam,Oregon,17
2020-11-12,Gilliam,Oregon,17
2020-11-13,Gilliam,Oregon,18
2020-11-14,Gilliam,Oregon,18
2020-11-15,Gilliam,Oregon,19
2020-11-16,Gilliam,Oregon,19
2020-11-17,Gilliam,Oregon,19
2020-11-18,Gilliam,Oregon,21
2020-11-19,Gilliam,Oregon,21
2020-11-20,Gilliam,Oregon,21
2020-11-21,Gilliam,Oregon,21
2020-11-22,Gilliam,Oregon,21
2020-11-23,Gilliam,Oregon,21
2020-11-24,Gilliam,Oregon,21
2020-11-25,Gilliam,Oregon,21
2020-11-26,Gilliam,Oregon,21
2020-11-27,Gilliam,Oregon,22
2020-11-28,Gilliam,Oregon,23
2020-11-29,Gilliam,Oregon,23
2020-11-30,Gilliam,Oregon,23
2020-12-01,Gilliam,Oregon,23
2020-12-02,Gilliam,Oregon,23
2020-12-03,Gilliam,Oregon,23
2020-12-04,Gilliam,Oregon,24
2020-12-05,Gilliam,Oregon,24
2020-12-06,Gilliam,Oregon,24
2020-12-07,Gilliam,Oregon,24
2020-12-08,Gilliam,Oregon,25
2020-12-09,Gilliam,Oregon,25
