date,county,state,cases
2020-03-07,Jackson,Oregon,2
2020-03-08,Jackson,Oregon,2
2020-03-09,Jackson,Oregon,2
2020-03-10,Jackson,Oregon,2
2020-03-11,Jackson,Oregon,2
2020-03-12,Jackson,Oregon,2
2020-03-13,Jackson,Oregon,2
2020-03-14,Jackson,Oregon,2
2020-03-15,Jackson,Oregon,2
2020-03-16,Jackson,Oregon,2
2020-03-17,Jackson,Oregon,2
2020-03-18,Jackson,Oregon,2
2020-03-19,Jackson,Oregon,2
2020-03-20,Jackson,Oregon,2
2020-03-21,Jackson,Oregon,2
2020-03-22,Jackson,Oregon,2
2020-03-23,Jackson,Oregon,2
2020-03-24,Jackson,Oregon,3
2020-03-25,Jackson,Oregon,4
2020-03-26,Jackson,Oregon,4
2020-03-27,Jackson,Oregon,6
2020-03-28,Jackson,Oregon,8
2020-03-29,Jackson,Oregon,19
2020-03-30,Jackson,Oregon,20
2020-03-31,Jackson,Oregon,21
2020-04-01,Jackson,Oregon,22
2020-04-02,Jackson,Oregon,27
2020-04-03,Jackson,Oregon,27
2020-04-04,Jackson,Oregon,33
2020-04-05,Jackson,Oregon,33
2020-04-06,Jackson,Oregon,39
2020-04-07,Jackson,Oregon,39
2020-04-08,Jackson,Oregon,40
2020-04-09,Jackson,Oregon,44
2020-04-10,Jackson,Oregon,44
2020-04-11,Jackson,Oregon,44
2020-04-12,Jackson,Oregon,46
2020-04-13,Jackson,Oregon,47
2020-04-14,Jackson,Oregon,47
2020-04-15,Jackson,Oregon,47
2020-04-16,Jackson,Oregon,47
2020-04-17,Jackson,Oregon,48
2020-04-18,Jackson,Oregon,49
2020-04-19,Jackson,Oregon,49
2020-04-20,Jackson,Oregon,48
2020-04-21,Jackson,Oregon,48
2020-04-22,Jackson,Oregon,48
2020-04-23,Jackson,Oregon,48
2020-04-24,Jackson,Oregon,48
2020-04-25,Jackson,Oregon,49
2020-04-26,Jackson,Oregon,49
2020-04-27,Jackson,Oregon,49
2020-04-28,Jackson,Oregon,49
2020-04-29,Jackson,Oregon,49
2020-04-30,Jackson,Oregon,49
2020-05-01,Jackson,Oregon,49
2020-05-02,Jackson,Oregon,49
2020-05-03,Jackson,Oregon,49
2020-05-04,Jackson,Oregon,49
2020-05-05,Jackson,Oregon,49
2020-05-06,Jackson,Oregon,49
2020-05-07,Jackson,Oregon,49
2020-05-08,Jackson,Oregon,49
2020-05-09,Jackson,Oregon,49
2020-05-10,Jackson,Oregon,49
2020-05-11,Jackson,Oregon,49
2020-05-12,Jackson,Oregon,50
2020-05-13,Jackson,Oregon,50
2020-05-14,Jackson,Oregon,50
2020-05-15,Jackson,Oregon,50
2020-05-16,Jackson,Oregon,50
2020-05-17,Jackson,Oregon,50
2020-05-18,Jackson,Oregon,51
2020-05-19,Jackson,Oregon,52
2020-05-20,Jackson,Oregon,52
2020-05-21,Jackson,Oregon,52
2020-05-22,Jackson,Oregon,55
2020-05-23,Jackson,Oregon,56
2020-05-24,Jackson,Oregon,57
2020-05-25,Jackson,Oregon,60
2020-05-26,Jackson,Oregon,60
2020-05-27,Jackson,Oregon,65
2020-05-28,Jackson,Oregon,65
2020-05-29,Jackson,Oregon,65
2020-05-30,Jackson,Oregon,65
2020-05-31,Jackson,Oregon,66
2020-06-01,Jackson,Oregon,67
2020-06-02,Jackson,Oregon,67
2020-06-03,Jackson,Oregon,68
2020-06-04,Jackson,Oregon,69
2020-06-05,Jackson,Oregon,69
2020-06-06,Jackson,Oregon,71
2020-06-07,Jackson,Oregon,71
2020-06-08,Jackson,Oregon,71
2020-06-09,Jackson,Oregon,71
2020-06-10,Jackson,Oregon,77
2020-06-11,Jackson,Oregon,76
2020-06-12,Jackson,Oregon,78
2020-06-13,Jackson,Oregon,81
2020-06-14,Jackson,Oregon,81
2020-06-15,Jackson,Oregon,82
2020-06-16,Jackson,Oregon,83
2020-06-17,Jackson,Oregon,85
2020-06-18,Jackson,Oregon,85
2020-06-19,Jackson,Oregon,85
2020-06-20,Jackson,Oregon,85
2020-06-21,Jackson,Oregon,90
2020-06-22,Jackson,Oregon,91
2020-06-23,Jackson,Oregon,92
2020-06-24,Jackson,Oregon,94
2020-06-25,Jackson,Oregon,93
2020-06-26,Jackson,Oregon,98
2020-06-27,Jackson,Oregon,97
2020-06-28,Jackson,Oregon,106
2020-06-29,Jackson,Oregon,109
2020-06-30,Jackson,Oregon,114
2020-07-01,Jackson,Oregon,117
2020-07-02,Jackson,Oregon,131
2020-07-03,Jackson,Oregon,140
2020-07-04,Jackson,Oregon,147
2020-07-05,Jackson,Oregon,149
2020-07-06,Jackson,Oregon,152
2020-07-07,Jackson,Oregon,152
2020-07-08,Jackson,Oregon,157
2020-07-09,Jackson,Oregon,164
2020-07-10,Jackson,Oregon,173
2020-07-11,Jackson,Oregon,178
2020-07-12,Jackson,Oregon,179
2020-07-13,Jackson,Oregon,181
2020-07-14,Jackson,Oregon,187
2020-07-15,Jackson,Oregon,196
2020-07-16,Jackson,Oregon,203
2020-07-17,Jackson,Oregon,215
2020-07-18,Jackson,Oregon,222
2020-07-19,Jackson,Oregon,238
2020-07-20,Jackson,Oregon,242
2020-07-21,Jackson,Oregon,247
2020-07-22,Jackson,Oregon,257
2020-07-23,Jackson,Oregon,265
2020-07-24,Jackson,Oregon,269
2020-07-25,Jackson,Oregon,276
2020-07-26,Jackson,Oregon,291
2020-07-27,Jackson,Oregon,302
2020-07-28,Jackson,Oregon,312
2020-07-29,Jackson,Oregon,325
2020-07-30,Jackson,Oregon,335
2020-07-31,Jackson,Oregon,352
2020-08-01,Jackson,Oregon,370
2020-08-02,Jackson,Oregon,385
2020-08-03,Jackson,Oregon,394
2020-08-04,Jackson,Oregon,411
2020-08-05,Jackson,Oregon,421
2020-08-06,Jackson,Oregon,437
2020-08-07,Jackson,Oregon,447
2020-08-08,Jackson,Oregon,461
2020-08-09,Jackson,Oregon,465
2020-08-10,Jackson,Oregon,473
2020-08-11,Jackson,Oregon,486
2020-08-12,Jackson,Oregon,499
2020-08-13,Jackson,Oregon,515
2020-08-14,Jackson,Oregon,536
2020-08-15,Jackson,Oregon,542
2020-08-16,Jackson,Oregon,559
2020-08-17,Jackson,Oregon,576
2020-08-18,Jackson,Oregon,594
2020-08-19,Jackson,Oregon,618
2020-08-20,Jackson,Oregon,636
2020-08-21,Jackson,Oregon,654
2020-08-22,Jackson,Oregon,674
2020-08-23,Jackson,Oregon,687
2020-08-24,Jackson,Oregon,713
2020-08-25,Jackson,Oregon,728
2020-08-26,Jackson,Oregon,747
2020-08-27,Jackson,Oregon,762
2020-08-28,Jackson,Oregon,776
2020-08-29,Jackson,Oregon,793
2020-08-30,Jackson,Oregon,805
2020-08-31,Jackson,Oregon,811
2020-09-01,Jackson,Oregon,821
2020-09-02,Jackson,Oregon,835
2020-09-03,Jackson,Oregon,853
2020-09-04,Jackson,Oregon,864
2020-09-05,Jackson,Oregon,882
2020-09-06,Jackson,Oregon,895
2020-09-07,Jackson,Oregon,904
2020-09-08,Jackson,Oregon,921
2020-09-09,Jackson,Oregon,928
2020-09-10,Jackson,Oregon,936
2020-09-11,Jackson,Oregon,943
2020-09-12,Jackson,Oregon,954
2020-09-13,Jackson,Oregon,967
2020-09-14,Jackson,Oregon,971
2020-09-15,Jackson,Oregon,981
2020-09-16,Jackson,Oregon,994
2020-09-17,Jackson,Oregon,1007
2020-09-18,Jackson,Oregon,1021
2020-09-19,Jackson,Oregon,1034
2020-09-20,Jackson,Oregon,1039
2020-09-21,Jackson,Oregon,1057
2020-09-22,Jackson,Oregon,1069
2020-09-23,Jackson,Oregon,1091
2020-09-24,Jackson,Oregon,1109
2020-09-25,Jackson,Oregon,1123
2020-09-26,Jackson,Oregon,1139
2020-09-27,Jackson,Oregon,1148
2020-09-28,Jackson,Oregon,1161
2020-09-29,Jackson,Oregon,1171
2020-09-30,Jackson,Oregon,1190
2020-10-01,Jackson,Oregon,1217
2020-10-02,Jackson,Oregon,1229
2020-10-03,Jackson,Oregon,1245
2020-10-04,Jackson,Oregon,1254
2020-10-05,Jackson,Oregon,1267
2020-10-06,Jackson,Oregon,1275
2020-10-07,Jackson,Oregon,1295
2020-10-08,Jackson,Oregon,1311
2020-10-09,Jackson,Oregon,1335
2020-10-10,Jackson,Oregon,1357
2020-10-11,Jackson,Oregon,1364
2020-10-12,Jackson,Oregon,1372
2020-10-13,Jackson,Oregon,1385
2020-10-14,Jackson,Oregon,1413
2020-10-15,Jackson,Oregon,1430
2020-10-16,Jackson,Oregon,1448
2020-10-17,Jackson,Oregon,1471
2020-10-18,Jackson,Oregon,1492
2020-10-19,Jackson,Oregon,1510
2020-10-20,Jackson,Oregon,1519
2020-10-21,Jackson,Oregon,1555
2020-10-22,Jackson,Oregon,1584
2020-10-23,Jackson,Oregon,1617
2020-10-24,Jackson,Oregon,1650
2020-10-25,Jackson,Oregon,1669
2020-10-26,Jackson,Oregon,1684
2020-10-27,Jackson,Oregon,1707
2020-10-28,Jackson,Oregon,1742
2020-10-29,Jackson,Oregon,1796
2020-10-30,Jackson,Oregon,1865
2020-10-31,Jackson,Oregon,1876
2020-11-01,Jackson,Oregon,1911
2020-11-02,Jackson,Oregon,1928
2020-11-03,Jackson,Oregon,1998
2020-11-04,Jackson,Oregon,2049
2020-11-05,Jackson,Oregon,2114
2020-11-06,Jackson,Oregon,2197
2020-11-07,Jackson,Oregon,2274
2020-11-08,Jackson,Oregon,2339
2020-11-09,Jackson,Oregon,2380
2020-11-10,Jackson,Oregon,2435
2020-11-11,Jackson,Oregon,2484
2020-11-12,Jackson,Oregon,2605
2020-11-13,Jackson,Oregon,2694
2020-11-14,Jackson,Oregon,2805
2020-11-15,Jackson,Oregon,2842
2020-11-16,Jackson,Oregon,2900
2020-11-17,Jackson,Oregon,2959
2020-11-18,Jackson,Oregon,3067
2020-11-19,Jackson,Oregon,3156
2020-11-20,Jackson,Oregon,3240
2020-11-21,Jackson,Oregon,3302
2020-11-22,Jackson,Oregon,3356
2020-11-23,Jackson,Oregon,3436
2020-11-24,Jackson,Oregon,3490
2020-11-25,Jackson,Oregon,3579
2020-11-26,Jackson,Oregon,3643
2020-11-27,Jackson,Oregon,3644
2020-11-28,Jackson,Oregon,3768
2020-11-29,Jackson,Oregon,3825
2020-11-30,Jackson,Oregon,3879
2020-12-01,Jackson,Oregon,3951
2020-12-02,Jackson,Oregon,4017
2020-12-03,Jackson,Oregon,4028
2020-12-04,Jackson,Oregon,4201
2020-12-05,Jackson,Oregon,4287
2020-12-06,Jackson,Oregon,4388
2020-12-07,Jackson,Oregon,4408
2020-12-08,Jackson,Oregon,4514
2020-12-09,Jackson,Oregon,4566
2020-12-10,Jackson,Oregon,4624
2020-12-11,Jackson,Oregon,4704
2020-12-12,Jackson,Oregon,4769
2020-12-13,Jackson,Oregon,4857
2020-12-14,Jackson,Oregon,4897
2020-12-15,Jackson,Oregon,4978
2020-12-16,Jackson,Oregon,5039
2020-12-17,Jackson,Oregon,5117
2020-12-18,Jackson,Oregon,5191
2020-12-19,Jackson,Oregon,5264
2020-12-20,Jackson,Oregon,5309
2020-12-21,Jackson,Oregon,5350
2020-12-22,Jackson,Oregon,5411
2020-12-23,Jackson,Oregon,5459
2020-12-24,Jackson,Oregon,5487
2020-12-25,Jackson,Oregon,5551
2020-12-26,Jackson,Oregon,5551
2020-12-27,Jackson,Oregon,5616
2020-12-28,Jackson,Oregon,5616
2020-12-29,Jackson,Oregon,5721
2020-12-30,Jackson,Oregon,5780
2020-12-31,Jackson,Oregon,5884
2021-01-01,Jackson,Oregon,5933
2021-01-02,Jackson,Oregon,5955
2021-01-03,Jackson,Oregon,6069
2021-01-04,Jackson,Oregon,6108
2021-01-05,Jackson,Oregon,6173
2021-01-06,Jackson,Oregon,6210
2021-01-07,Jackson,Oregon,6281
2021-01-08,Jackson,Oregon,6364
2021-01-09,Jackson,Oregon,6486
2021-01-10,Jackson,Oregon,6524
2021-01-11,Jackson,Oregon,6563
2021-01-12,Jackson,Oregon,6627
2021-01-13,Jackson,Oregon,6682
2021-01-14,Jackson,Oregon,6757
2021-01-15,Jackson,Oregon,6806
2021-01-16,Jackson,Oregon,6862
2021-01-17,Jackson,Oregon,6892
2021-01-18,Jackson,Oregon,6930
2021-01-19,Jackson,Oregon,6970
2021-01-20,Jackson,Oregon,7004
2021-01-21,Jackson,Oregon,7043
2021-01-22,Jackson,Oregon,7073
2021-01-23,Jackson,Oregon,7122
2021-01-24,Jackson,Oregon,7169
2021-01-25,Jackson,Oregon,7189
2021-01-26,Jackson,Oregon,7234
2021-01-27,Jackson,Oregon,7267
2021-01-28,Jackson,Oregon,7291
2021-01-29,Jackson,Oregon,7416
2021-01-30,Jackson,Oregon,7456
2021-01-31,Jackson,Oregon,7456
2021-02-01,Jackson,Oregon,7501
2021-02-02,Jackson,Oregon,7553
2021-02-03,Jackson,Oregon,7594
2021-02-04,Jackson,Oregon,7641
2021-02-05,Jackson,Oregon,7673
2021-02-06,Jackson,Oregon,7712
2021-02-07,Jackson,Oregon,7734
2021-02-08,Jackson,Oregon,7742
2021-02-09,Jackson,Oregon,7764
2021-02-10,Jackson,Oregon,7788
2021-02-11,Jackson,Oregon,7832
2021-02-12,Jackson,Oregon,7861
2021-02-13,Jackson,Oregon,7893
2021-02-14,Jackson,Oregon,7904
2021-02-15,Jackson,Oregon,7911
2021-02-16,Jackson,Oregon,7953
2021-02-17,Jackson,Oregon,8004
2021-02-18,Jackson,Oregon,8027
2021-02-19,Jackson,Oregon,8078
2021-02-20,Jackson,Oregon,8115
2021-02-21,Jackson,Oregon,8117
2021-02-22,Jackson,Oregon,8160
2021-02-23,Jackson,Oregon,8198
2021-02-24,Jackson,Oregon,8224
2021-02-25,Jackson,Oregon,8299
2021-02-26,Jackson,Oregon,8315
2021-02-27,Jackson,Oregon,8377
2021-02-28,Jackson,Oregon,8395
2021-03-01,Jackson,Oregon,8407
2021-03-02,Jackson,Oregon,8448
2021-03-03,Jackson,Oregon,8489
2021-03-04,Jackson,Oregon,8525
2021-03-05,Jackson,Oregon,8543
2021-03-06,Jackson,Oregon,8569
2021-03-07,Jackson,Oregon,8582
2021-03-08,Jackson,Oregon,8604
2021-03-09,Jackson,Oregon,8654
2021-03-10,Jackson,Oregon,8672
2021-03-11,Jackson,Oregon,8709
2021-03-12,Jackson,Oregon,8734
2021-03-13,Jackson,Oregon,8764
2021-03-14,Jackson,Oregon,8785
2021-03-15,Jackson,Oregon,8807
2021-03-16,Jackson,Oregon,8820
2021-03-17,Jackson,Oregon,8841
2021-03-18,Jackson,Oregon,8882
2021-03-19,Jackson,Oregon,8913
2021-03-20,Jackson,Oregon,8944
2021-03-21,Jackson,Oregon,8955
2021-03-22,Jackson,Oregon,8960
2021-03-23,Jackson,Oregon,8987
2021-03-24,Jackson,Oregon,9033
2021-03-25,Jackson,Oregon,9056
2021-03-26,Jackson,Oregon,9084
2021-03-27,Jackson,Oregon,9131
2021-03-28,Jackson,Oregon,9149
2021-03-29,Jackson,Oregon,9159
2021-03-30,Jackson,Oregon,9191
2021-03-31,Jackson,Oregon,9224
2021-04-01,Jackson,Oregon,9297
2021-04-02,Jackson,Oregon,9321
2021-04-03,Jackson,Oregon,9357
2021-04-04,Jackson,Oregon,9381
2021-04-05,Jackson,Oregon,9400
2021-04-06,Jackson,Oregon,9433
2021-04-07,Jackson,Oregon,9458
2021-04-08,Jackson,Oregon,9546
2021-04-09,Jackson,Oregon,9570
