date,county,state,cases
2020-03-25,Lincoln,Oregon,1
2020-03-26,Lincoln,Oregon,1
2020-03-27,Lincoln,Oregon,1
2020-03-28,Lincoln,Oregon,1
2020-03-29,Lincoln,Oregon,1
2020-03-30,Lincoln,Oregon,1
2020-03-31,Lincoln,Oregon,2
2020-04-01,Lincoln,Oregon,3
2020-04-02,Lincoln,Oregon,4
2020-04-03,Lincoln,Oregon,4
2020-04-04,Lincoln,Oregon,4
2020-04-05,Lincoln,Oregon,4
2020-04-06,Lincoln,Oregon,4
2020-04-07,Lincoln,Oregon,4
2020-04-08,Lincoln,Oregon,4
2020-04-09,Lincoln,Oregon,4
2020-04-10,Lincoln,Oregon,4
2020-04-11,Lincoln,Oregon,4
2020-04-12,Lincoln,Oregon,4
2020-04-13,Lincoln,Oregon,4
2020-04-14,Lincoln,Oregon,4
2020-04-15,Lincoln,Oregon,4
2020-04-16,Lincoln,Oregon,4
2020-04-17,Lincoln,Oregon,4
2020-04-18,Lincoln,Oregon,4
2020-04-19,Lincoln,Oregon,4
2020-04-20,Lincoln,Oregon,5
2020-04-21,Lincoln,Oregon,5
2020-04-22,Lincoln,Oregon,5
2020-04-23,Lincoln,Oregon,5
2020-04-24,Lincoln,Oregon,5
2020-04-25,Lincoln,Oregon,5
2020-04-26,Lincoln,Oregon,5
2020-04-27,Lincoln,Oregon,5
2020-04-28,Lincoln,Oregon,5
2020-04-29,Lincoln,Oregon,5
2020-04-30,Lincoln,Oregon,5
2020-05-01,Lincoln,Oregon,5
2020-05-02,Lincoln,Oregon,5
2020-05-03,Lincoln,Oregon,5
2020-05-04,Lincoln,Oregon,5
2020-05-05,Lincoln,Oregon,5
2020-05-06,Lincoln,Oregon,6
2020-05-07,Lincoln,Oregon,6
2020-05-08,Lincoln,Oregon,6
2020-05-09,Lincoln,Oregon,6
2020-05-10,Lincoln,Oregon,6
2020-05-11,Lincoln,Oregon,6
2020-05-12,Lincoln,Oregon,6
2020-05-13,Lincoln,Oregon,6
2020-05-14,Lincoln,Oregon,6
2020-05-15,Lincoln,Oregon,7
2020-05-16,Lincoln,Oregon,7
2020-05-17,Lincoln,Oregon,8
2020-05-18,Lincoln,Oregon,8
2020-05-19,Lincoln,Oregon,8
2020-05-20,Lincoln,Oregon,8
2020-05-21,Lincoln,Oregon,8
2020-05-22,Lincoln,Oregon,8
2020-05-23,Lincoln,Oregon,8
2020-05-24,Lincoln,Oregon,9
2020-05-25,Lincoln,Oregon,9
2020-05-26,Lincoln,Oregon,9
2020-05-27,Lincoln,Oregon,11
2020-05-28,Lincoln,Oregon,10
2020-05-29,Lincoln,Oregon,12
2020-05-30,Lincoln,Oregon,12
2020-05-31,Lincoln,Oregon,12
2020-06-01,Lincoln,Oregon,15
2020-06-02,Lincoln,Oregon,17
2020-06-03,Lincoln,Oregon,18
2020-06-04,Lincoln,Oregon,23
2020-06-05,Lincoln,Oregon,27
2020-06-06,Lincoln,Oregon,33
2020-06-07,Lincoln,Oregon,94
2020-06-08,Lincoln,Oregon,155
2020-06-09,Lincoln,Oregon,157
2020-06-10,Lincoln,Oregon,161
2020-06-11,Lincoln,Oregon,170
2020-06-12,Lincoln,Oregon,184
2020-06-13,Lincoln,Oregon,198
2020-06-14,Lincoln,Oregon,206
2020-06-15,Lincoln,Oregon,206
2020-06-16,Lincoln,Oregon,223
2020-06-17,Lincoln,Oregon,226
2020-06-18,Lincoln,Oregon,230
2020-06-19,Lincoln,Oregon,261
2020-06-20,Lincoln,Oregon,261
2020-06-21,Lincoln,Oregon,286
2020-06-22,Lincoln,Oregon,292
2020-06-23,Lincoln,Oregon,292
2020-06-24,Lincoln,Oregon,301
2020-06-25,Lincoln,Oregon,301
2020-06-26,Lincoln,Oregon,301
2020-06-27,Lincoln,Oregon,307
2020-06-28,Lincoln,Oregon,310
2020-06-29,Lincoln,Oregon,310
2020-06-30,Lincoln,Oregon,312
2020-07-01,Lincoln,Oregon,324
2020-07-02,Lincoln,Oregon,327
2020-07-03,Lincoln,Oregon,345
2020-07-04,Lincoln,Oregon,346
2020-07-05,Lincoln,Oregon,346
2020-07-06,Lincoln,Oregon,346
2020-07-07,Lincoln,Oregon,346
2020-07-08,Lincoln,Oregon,349
2020-07-09,Lincoln,Oregon,363
2020-07-10,Lincoln,Oregon,362
2020-07-11,Lincoln,Oregon,361
2020-07-12,Lincoln,Oregon,361
2020-07-13,Lincoln,Oregon,361
2020-07-14,Lincoln,Oregon,360
2020-07-15,Lincoln,Oregon,362
2020-07-16,Lincoln,Oregon,364
2020-07-17,Lincoln,Oregon,365
2020-07-18,Lincoln,Oregon,368
2020-07-19,Lincoln,Oregon,369
2020-07-20,Lincoln,Oregon,371
2020-07-21,Lincoln,Oregon,371
2020-07-22,Lincoln,Oregon,373
2020-07-23,Lincoln,Oregon,378
2020-07-24,Lincoln,Oregon,377
2020-07-25,Lincoln,Oregon,379
2020-07-26,Lincoln,Oregon,380
2020-07-27,Lincoln,Oregon,381
2020-07-28,Lincoln,Oregon,381
2020-07-29,Lincoln,Oregon,383
2020-07-30,Lincoln,Oregon,385
2020-07-31,Lincoln,Oregon,391
2020-08-01,Lincoln,Oregon,391
2020-08-02,Lincoln,Oregon,391
2020-08-03,Lincoln,Oregon,395
2020-08-04,Lincoln,Oregon,395
2020-08-05,Lincoln,Oregon,414
2020-08-06,Lincoln,Oregon,411
2020-08-07,Lincoln,Oregon,412
2020-08-08,Lincoln,Oregon,414
2020-08-09,Lincoln,Oregon,416
2020-08-10,Lincoln,Oregon,418
2020-08-11,Lincoln,Oregon,419
2020-08-12,Lincoln,Oregon,421
2020-08-13,Lincoln,Oregon,428
2020-08-14,Lincoln,Oregon,431
2020-08-15,Lincoln,Oregon,437
2020-08-16,Lincoln,Oregon,438
2020-08-17,Lincoln,Oregon,440
2020-08-18,Lincoln,Oregon,440
2020-08-19,Lincoln,Oregon,440
2020-08-20,Lincoln,Oregon,444
2020-08-21,Lincoln,Oregon,450
2020-08-22,Lincoln,Oregon,453
2020-08-23,Lincoln,Oregon,453
2020-08-24,Lincoln,Oregon,453
2020-08-25,Lincoln,Oregon,456
2020-08-26,Lincoln,Oregon,458
2020-08-27,Lincoln,Oregon,459
2020-08-28,Lincoln,Oregon,463
2020-08-29,Lincoln,Oregon,464
2020-08-30,Lincoln,Oregon,465
2020-08-31,Lincoln,Oregon,466
2020-09-01,Lincoln,Oregon,466
2020-09-02,Lincoln,Oregon,466
2020-09-03,Lincoln,Oregon,467
2020-09-04,Lincoln,Oregon,467
2020-09-05,Lincoln,Oregon,469
2020-09-06,Lincoln,Oregon,469
2020-09-07,Lincoln,Oregon,470
2020-09-08,Lincoln,Oregon,470
2020-09-09,Lincoln,Oregon,470
2020-09-10,Lincoln,Oregon,471
2020-09-11,Lincoln,Oregon,471
2020-09-12,Lincoln,Oregon,472
2020-09-13,Lincoln,Oregon,473
2020-09-14,Lincoln,Oregon,472
2020-09-15,Lincoln,Oregon,472
2020-09-16,Lincoln,Oregon,470
2020-09-17,Lincoln,Oregon,470
2020-09-18,Lincoln,Oregon,470
2020-09-19,Lincoln,Oregon,472
2020-09-20,Lincoln,Oregon,472
2020-09-21,Lincoln,Oregon,473
2020-09-22,Lincoln,Oregon,474
2020-09-23,Lincoln,Oregon,475
2020-09-24,Lincoln,Oregon,476
2020-09-25,Lincoln,Oregon,478
2020-09-26,Lincoln,Oregon,481
2020-09-27,Lincoln,Oregon,482
2020-09-28,Lincoln,Oregon,482
2020-09-29,Lincoln,Oregon,481
2020-09-30,Lincoln,Oregon,481
2020-10-01,Lincoln,Oregon,481
2020-10-02,Lincoln,Oregon,482
2020-10-03,Lincoln,Oregon,484
2020-10-04,Lincoln,Oregon,485
2020-10-05,Lincoln,Oregon,485
2020-10-06,Lincoln,Oregon,488
2020-10-07,Lincoln,Oregon,489
2020-10-08,Lincoln,Oregon,492
2020-10-09,Lincoln,Oregon,493
2020-10-10,Lincoln,Oregon,495
2020-10-11,Lincoln,Oregon,496
2020-10-12,Lincoln,Oregon,496
2020-10-13,Lincoln,Oregon,501
2020-10-14,Lincoln,Oregon,503
2020-10-15,Lincoln,Oregon,507
2020-10-16,Lincoln,Oregon,507
2020-10-17,Lincoln,Oregon,507
