date,county,state,cases
2020-03-31,Malheur,Oregon,1
2020-04-01,Malheur,Oregon,1
2020-04-02,Malheur,Oregon,1
2020-04-03,Malheur,Oregon,2
2020-04-04,Malheur,Oregon,2
2020-04-05,Malheur,Oregon,2
2020-04-06,Malheur,Oregon,2
2020-04-07,Malheur,Oregon,2
2020-04-08,Malheur,Oregon,2
2020-04-09,Malheur,Oregon,2
2020-04-10,Malheur,Oregon,2
2020-04-11,Malheur,Oregon,3
2020-04-12,Malheur,Oregon,4
2020-04-13,Malheur,Oregon,4
2020-04-14,Malheur,Oregon,4
2020-04-15,Malheur,Oregon,4
2020-04-16,Malheur,Oregon,5
2020-04-17,Malheur,Oregon,5
2020-04-18,Malheur,Oregon,5
2020-04-19,Malheur,Oregon,5
2020-04-20,Malheur,Oregon,5
2020-04-21,Malheur,Oregon,5
2020-04-22,Malheur,Oregon,5
2020-04-23,Malheur,Oregon,6
2020-04-24,Malheur,Oregon,6
2020-04-25,Malheur,Oregon,6
2020-04-26,Malheur,Oregon,6
2020-04-27,Malheur,Oregon,7
2020-04-28,Malheur,Oregon,7
2020-04-29,Malheur,Oregon,7
2020-04-30,Malheur,Oregon,8
2020-05-01,Malheur,Oregon,10
2020-05-02,Malheur,Oregon,12
2020-05-03,Malheur,Oregon,13
2020-05-04,Malheur,Oregon,13
2020-05-05,Malheur,Oregon,13
2020-05-06,Malheur,Oregon,13
2020-05-07,Malheur,Oregon,13
2020-05-08,Malheur,Oregon,13
2020-05-09,Malheur,Oregon,14
2020-05-10,Malheur,Oregon,14
2020-05-11,Malheur,Oregon,14
2020-05-12,Malheur,Oregon,14
2020-05-13,Malheur,Oregon,15
2020-05-14,Malheur,Oregon,16
2020-05-15,Malheur,Oregon,17
2020-05-16,Malheur,Oregon,19
2020-05-17,Malheur,Oregon,19
2020-05-18,Malheur,Oregon,21
2020-05-19,Malheur,Oregon,21
2020-05-20,Malheur,Oregon,21
2020-05-21,Malheur,Oregon,24
2020-05-22,Malheur,Oregon,28
2020-05-23,Malheur,Oregon,28
2020-05-24,Malheur,Oregon,28
2020-05-25,Malheur,Oregon,28
2020-05-26,Malheur,Oregon,28
2020-05-27,Malheur,Oregon,28
