date,county,state,cases
2020-03-08,Marion,Oregon,1
2020-03-09,Marion,Oregon,1
2020-03-10,Marion,Oregon,1
2020-03-11,Marion,Oregon,2
2020-03-12,Marion,Oregon,2
2020-03-13,Marion,Oregon,2
2020-03-14,Marion,Oregon,2
2020-03-15,Marion,Oregon,2
2020-03-16,Marion,Oregon,3
2020-03-17,Marion,Oregon,4
2020-03-18,Marion,Oregon,8
2020-03-19,Marion,Oregon,13
2020-03-20,Marion,Oregon,17
2020-03-21,Marion,Oregon,19
2020-03-22,Marion,Oregon,22
2020-03-23,Marion,Oregon,30
2020-03-24,Marion,Oregon,32
2020-03-25,Marion,Oregon,43
2020-03-26,Marion,Oregon,57
2020-03-27,Marion,Oregon,83
2020-03-28,Marion,Oregon,94
2020-03-29,Marion,Oregon,109
2020-03-30,Marion,Oregon,123
2020-03-31,Marion,Oregon,141
2020-04-01,Marion,Oregon,151
2020-04-02,Marion,Oregon,164
2020-04-03,Marion,Oregon,178
2020-04-04,Marion,Oregon,188
2020-04-05,Marion,Oregon,198
2020-04-06,Marion,Oregon,209
2020-04-07,Marion,Oregon,215
2020-04-08,Marion,Oregon,218
2020-04-09,Marion,Oregon,235
2020-04-10,Marion,Oregon,246
2020-04-11,Marion,Oregon,263
2020-04-12,Marion,Oregon,276
2020-04-13,Marion,Oregon,280
2020-04-14,Marion,Oregon,289
2020-04-15,Marion,Oregon,294
2020-04-16,Marion,Oregon,309
2020-04-17,Marion,Oregon,317
2020-04-18,Marion,Oregon,335
2020-04-19,Marion,Oregon,358
2020-04-20,Marion,Oregon,371
2020-04-21,Marion,Oregon,381
2020-04-22,Marion,Oregon,388
2020-04-23,Marion,Oregon,397
2020-04-24,Marion,Oregon,417
2020-04-25,Marion,Oregon,432
2020-04-26,Marion,Oregon,436
2020-04-27,Marion,Oregon,447
2020-04-28,Marion,Oregon,456
2020-04-29,Marion,Oregon,474
2020-04-30,Marion,Oregon,491
2020-05-01,Marion,Oregon,508
2020-05-02,Marion,Oregon,523
2020-05-03,Marion,Oregon,544
2020-05-04,Marion,Oregon,561
2020-05-05,Marion,Oregon,574
2020-05-06,Marion,Oregon,592
2020-05-07,Marion,Oregon,613
2020-05-08,Marion,Oregon,626
2020-05-09,Marion,Oregon,663
2020-05-10,Marion,Oregon,677
2020-05-11,Marion,Oregon,694
2020-05-12,Marion,Oregon,723
2020-05-13,Marion,Oregon,746
2020-05-14,Marion,Oregon,779
2020-05-15,Marion,Oregon,797
2020-05-16,Marion,Oregon,824
2020-05-17,Marion,Oregon,827
2020-05-18,Marion,Oregon,843
2020-05-19,Marion,Oregon,855
2020-05-20,Marion,Oregon,879
2020-05-21,Marion,Oregon,882
2020-05-22,Marion,Oregon,890
2020-05-23,Marion,Oregon,898
2020-05-24,Marion,Oregon,905
2020-05-25,Marion,Oregon,909
2020-05-26,Marion,Oregon,914
2020-05-27,Marion,Oregon,920
2020-05-28,Marion,Oregon,931
2020-05-29,Marion,Oregon,942
2020-05-30,Marion,Oregon,949
2020-05-31,Marion,Oregon,960
2020-06-01,Marion,Oregon,973
2020-06-02,Marion,Oregon,981
2020-06-03,Marion,Oregon,999
2020-06-04,Marion,Oregon,1011
2020-06-05,Marion,Oregon,1028
2020-06-06,Marion,Oregon,1039
2020-06-07,Marion,Oregon,1050
2020-06-08,Marion,Oregon,1058
2020-06-09,Marion,Oregon,1066
2020-06-10,Marion,Oregon,1071
2020-06-11,Marion,Oregon,1105
2020-06-12,Marion,Oregon,1134
2020-06-13,Marion,Oregon,1155
2020-06-14,Marion,Oregon,1175
2020-06-15,Marion,Oregon,1179
2020-06-16,Marion,Oregon,1201
2020-06-17,Marion,Oregon,1218
2020-06-18,Marion,Oregon,1244
2020-06-19,Marion,Oregon,1264
2020-06-20,Marion,Oregon,1264
2020-06-21,Marion,Oregon,1301
2020-06-22,Marion,Oregon,1348
2020-06-23,Marion,Oregon,1365
2020-06-24,Marion,Oregon,1378
2020-06-25,Marion,Oregon,1382
2020-06-26,Marion,Oregon,1400
2020-06-27,Marion,Oregon,1432
2020-06-28,Marion,Oregon,1475
2020-06-29,Marion,Oregon,1489
2020-06-30,Marion,Oregon,1514
2020-07-01,Marion,Oregon,1539
2020-07-02,Marion,Oregon,1564
2020-07-03,Marion,Oregon,1595
2020-07-04,Marion,Oregon,1610
2020-07-05,Marion,Oregon,1648
2020-07-06,Marion,Oregon,1661
2020-07-07,Marion,Oregon,1683
2020-07-08,Marion,Oregon,1697
2020-07-09,Marion,Oregon,1743
2020-07-10,Marion,Oregon,1770
2020-07-11,Marion,Oregon,1831
2020-07-12,Marion,Oregon,1859
2020-07-13,Marion,Oregon,1893
2020-07-14,Marion,Oregon,1939
2020-07-15,Marion,Oregon,1975
2020-07-16,Marion,Oregon,2028
2020-07-17,Marion,Oregon,2063
2020-07-18,Marion,Oregon,2093
2020-07-19,Marion,Oregon,2140
2020-07-20,Marion,Oregon,2170
2020-07-21,Marion,Oregon,2210
2020-07-22,Marion,Oregon,2238
2020-07-23,Marion,Oregon,2277
2020-07-24,Marion,Oregon,2333
2020-07-25,Marion,Oregon,2385
2020-07-26,Marion,Oregon,2413
2020-07-27,Marion,Oregon,2437
2020-07-28,Marion,Oregon,2474
2020-07-29,Marion,Oregon,2495
2020-07-30,Marion,Oregon,2541
2020-07-31,Marion,Oregon,2575
2020-08-01,Marion,Oregon,2614
2020-08-02,Marion,Oregon,2667
2020-08-03,Marion,Oregon,2692
2020-08-04,Marion,Oregon,2713
2020-08-05,Marion,Oregon,2755
2020-08-06,Marion,Oregon,2789
