date,county,state,cases
2020-03-10,Multnomah,Oregon,1
2020-03-11,Multnomah,Oregon,1
2020-03-12,Multnomah,Oregon,1
2020-03-13,Multnomah,Oregon,1
2020-03-14,Multnomah,Oregon,1
2020-03-15,Multnomah,Oregon,1
2020-03-16,Multnomah,Oregon,2
2020-03-17,Multnomah,Oregon,3
2020-03-18,Multnomah,Oregon,3
2020-03-19,Multnomah,Oregon,7
2020-03-20,Multnomah,Oregon,12
2020-03-21,Multnomah,Oregon,18
2020-03-22,Multnomah,Oregon,19
2020-03-23,Multnomah,Oregon,21
2020-03-24,Multnomah,Oregon,25
2020-03-25,Multnomah,Oregon,33
2020-03-26,Multnomah,Oregon,45
2020-03-27,Multnomah,Oregon,67
2020-03-28,Multnomah,Oregon,81
2020-03-29,Multnomah,Oregon,91
2020-03-30,Multnomah,Oregon,100
2020-03-31,Multnomah,Oregon,116
2020-04-01,Multnomah,Oregon,134
2020-04-02,Multnomah,Oregon,160
2020-04-03,Multnomah,Oregon,175
2020-04-04,Multnomah,Oregon,209
2020-04-05,Multnomah,Oregon,233
2020-04-06,Multnomah,Oregon,243
2020-04-07,Multnomah,Oregon,258
2020-04-08,Multnomah,Oregon,286
2020-04-09,Multnomah,Oregon,302
2020-04-10,Multnomah,Oregon,317
2020-04-11,Multnomah,Oregon,343
2020-04-12,Multnomah,Oregon,374
2020-04-13,Multnomah,Oregon,398
2020-04-14,Multnomah,Oregon,420
2020-04-15,Multnomah,Oregon,430
2020-04-16,Multnomah,Oregon,448
2020-04-17,Multnomah,Oregon,467
2020-04-18,Multnomah,Oregon,493
2020-04-19,Multnomah,Oregon,514
2020-04-20,Multnomah,Oregon,520
2020-04-21,Multnomah,Oregon,542
2020-04-22,Multnomah,Oregon,566
2020-04-23,Multnomah,Oregon,582
2020-04-24,Multnomah,Oregon,596
2020-04-25,Multnomah,Oregon,623
2020-04-26,Multnomah,Oregon,652
2020-04-27,Multnomah,Oregon,664
2020-04-28,Multnomah,Oregon,677
2020-04-29,Multnomah,Oregon,696
2020-04-30,Multnomah,Oregon,707
