date,county,state,cases
2020-03-11,Polk,Oregon,1
2020-03-12,Polk,Oregon,1
2020-03-13,Polk,Oregon,1
2020-03-14,Polk,Oregon,1
2020-03-15,Polk,Oregon,1
2020-03-16,Polk,Oregon,1
2020-03-17,Polk,Oregon,1
2020-03-18,Polk,Oregon,1
2020-03-19,Polk,Oregon,1
2020-03-20,Polk,Oregon,1
2020-03-21,Polk,Oregon,1
2020-03-22,Polk,Oregon,1
2020-03-23,Polk,Oregon,3
2020-03-24,Polk,Oregon,3
2020-03-25,Polk,Oregon,3
2020-03-26,Polk,Oregon,6
2020-03-27,Polk,Oregon,10
2020-03-28,Polk,Oregon,11
2020-03-29,Polk,Oregon,13
2020-03-30,Polk,Oregon,15
2020-03-31,Polk,Oregon,18
2020-04-01,Polk,Oregon,18
2020-04-02,Polk,Oregon,18
2020-04-03,Polk,Oregon,20
2020-04-04,Polk,Oregon,22
2020-04-05,Polk,Oregon,24
2020-04-06,Polk,Oregon,26
2020-04-07,Polk,Oregon,28
2020-04-08,Polk,Oregon,28
2020-04-09,Polk,Oregon,29
2020-04-10,Polk,Oregon,29
2020-04-11,Polk,Oregon,30
2020-04-12,Polk,Oregon,30
2020-04-13,Polk,Oregon,30
2020-04-14,Polk,Oregon,30
2020-04-15,Polk,Oregon,30
2020-04-16,Polk,Oregon,30
2020-04-17,Polk,Oregon,31
2020-04-18,Polk,Oregon,32
2020-04-19,Polk,Oregon,32
2020-04-20,Polk,Oregon,33
2020-04-21,Polk,Oregon,33
2020-04-22,Polk,Oregon,33
2020-04-23,Polk,Oregon,33
2020-04-24,Polk,Oregon,33
2020-04-25,Polk,Oregon,37
2020-04-26,Polk,Oregon,38
2020-04-27,Polk,Oregon,38
2020-04-28,Polk,Oregon,38
2020-04-29,Polk,Oregon,39
2020-04-30,Polk,Oregon,39
2020-05-01,Polk,Oregon,42
2020-05-02,Polk,Oregon,41
2020-05-03,Polk,Oregon,41
2020-05-04,Polk,Oregon,49
2020-05-05,Polk,Oregon,68
2020-05-06,Polk,Oregon,75
2020-05-07,Polk,Oregon,78
2020-05-08,Polk,Oregon,80
2020-05-09,Polk,Oregon,82
2020-05-10,Polk,Oregon,84
2020-05-11,Polk,Oregon,87
2020-05-12,Polk,Oregon,89
2020-05-13,Polk,Oregon,90
2020-05-14,Polk,Oregon,91
2020-05-15,Polk,Oregon,92
2020-05-16,Polk,Oregon,92
2020-05-17,Polk,Oregon,93
2020-05-18,Polk,Oregon,93
2020-05-19,Polk,Oregon,93
2020-05-20,Polk,Oregon,94
2020-05-21,Polk,Oregon,94
2020-05-22,Polk,Oregon,95
2020-05-23,Polk,Oregon,95
2020-05-24,Polk,Oregon,96
2020-05-25,Polk,Oregon,96
2020-05-26,Polk,Oregon,96
2020-05-27,Polk,Oregon,98
2020-05-28,Polk,Oregon,98
2020-05-29,Polk,Oregon,98
2020-05-30,Polk,Oregon,98
2020-05-31,Polk,Oregon,98
2020-06-01,Polk,Oregon,100
2020-06-02,Polk,Oregon,100
2020-06-03,Polk,Oregon,101
2020-06-04,Polk,Oregon,100
2020-06-05,Polk,Oregon,100
2020-06-06,Polk,Oregon,103
2020-06-07,Polk,Oregon,103
2020-06-08,Polk,Oregon,103
2020-06-09,Polk,Oregon,104
2020-06-10,Polk,Oregon,104
2020-06-11,Polk,Oregon,108
2020-06-12,Polk,Oregon,117
2020-06-13,Polk,Oregon,124
2020-06-14,Polk,Oregon,124
2020-06-15,Polk,Oregon,127
2020-06-16,Polk,Oregon,127
2020-06-17,Polk,Oregon,128
2020-06-18,Polk,Oregon,131
2020-06-19,Polk,Oregon,131
2020-06-20,Polk,Oregon,131
2020-06-21,Polk,Oregon,131
2020-06-22,Polk,Oregon,130
2020-06-23,Polk,Oregon,131
2020-06-24,Polk,Oregon,132
2020-06-25,Polk,Oregon,134
2020-06-26,Polk,Oregon,134
2020-06-27,Polk,Oregon,136
2020-06-28,Polk,Oregon,139
2020-06-29,Polk,Oregon,139
2020-06-30,Polk,Oregon,141
2020-07-01,Polk,Oregon,149
2020-07-02,Polk,Oregon,149
2020-07-03,Polk,Oregon,154
2020-07-04,Polk,Oregon,159
2020-07-05,Polk,Oregon,159
2020-07-06,Polk,Oregon,160
2020-07-07,Polk,Oregon,166
2020-07-08,Polk,Oregon,166
2020-07-09,Polk,Oregon,168
2020-07-10,Polk,Oregon,171
2020-07-11,Polk,Oregon,173
2020-07-12,Polk,Oregon,177
2020-07-13,Polk,Oregon,179
2020-07-14,Polk,Oregon,180
2020-07-15,Polk,Oregon,184
2020-07-16,Polk,Oregon,191
2020-07-17,Polk,Oregon,193
2020-07-18,Polk,Oregon,200
2020-07-19,Polk,Oregon,205
2020-07-20,Polk,Oregon,204
2020-07-21,Polk,Oregon,207
2020-07-22,Polk,Oregon,212
2020-07-23,Polk,Oregon,225
2020-07-24,Polk,Oregon,231
2020-07-25,Polk,Oregon,243
2020-07-26,Polk,Oregon,245
2020-07-27,Polk,Oregon,254
2020-07-28,Polk,Oregon,265
2020-07-29,Polk,Oregon,269
2020-07-30,Polk,Oregon,276
2020-07-31,Polk,Oregon,282
2020-08-01,Polk,Oregon,286
2020-08-02,Polk,Oregon,288
