date,county,state,cases
2020-04-05,Sherman,Oregon,1
2020-04-06,Sherman,Oregon,1
2020-04-07,Sherman,Oregon,1
2020-04-08,Sherman,Oregon,1
2020-04-09,Sherman,Oregon,1
2020-04-10,Sherman,Oregon,1
2020-04-11,Sherman,Oregon,1
2020-04-12,Sherman,Oregon,1
2020-04-13,Sherman,Oregon,1
2020-04-14,Sherman,Oregon,1
2020-04-15,Sherman,Oregon,1
2020-04-16,Sherman,Oregon,1
2020-04-17,Sherman,Oregon,1
2020-04-18,Sherman,Oregon,1
2020-04-19,Sherman,Oregon,1
2020-04-20,Sherman,Oregon,1
2020-04-21,Sherman,Oregon,1
2020-04-22,Sherman,Oregon,1
2020-04-23,Sherman,Oregon,1
2020-04-24,Sherman,Oregon,1
2020-04-25,Sherman,Oregon,1
2020-04-26,Sherman,Oregon,1
2020-04-27,Sherman,Oregon,1
2020-04-28,Sherman,Oregon,1
2020-04-29,Sherman,Oregon,1
2020-04-30,Sherman,Oregon,1
2020-05-01,Sherman,Oregon,1
2020-05-02,Sherman,Oregon,1
2020-05-03,Sherman,Oregon,1
2020-05-04,Sherman,Oregon,1
2020-05-05,Sherman,Oregon,1
2020-05-06,Sherman,Oregon,1
2020-05-07,Sherman,Oregon,1
2020-05-08,Sherman,Oregon,1
2020-05-09,Sherman,Oregon,1
2020-05-10,Sherman,Oregon,1
2020-05-11,Sherman,Oregon,1
2020-05-12,Sherman,Oregon,1
2020-05-13,Sherman,Oregon,1
2020-05-14,Sherman,Oregon,1
2020-05-15,Sherman,Oregon,1
2020-05-16,Sherman,Oregon,1
2020-05-17,Sherman,Oregon,1
2020-05-18,Sherman,Oregon,1
2020-05-19,Sherman,Oregon,1
2020-05-20,Sherman,Oregon,1
2020-05-21,Sherman,Oregon,1
2020-05-22,Sherman,Oregon,1
2020-05-23,Sherman,Oregon,1
2020-05-24,Sherman,Oregon,1
2020-05-25,Sherman,Oregon,1
2020-05-26,Sherman,Oregon,1
2020-05-27,Sherman,Oregon,1
2020-05-28,Sherman,Oregon,1
2020-05-29,Sherman,Oregon,1
2020-05-30,Sherman,Oregon,1
2020-05-31,Sherman,Oregon,1
2020-06-01,Sherman,Oregon,1
2020-06-02,Sherman,Oregon,1
2020-06-03,Sherman,Oregon,1
2020-06-04,Sherman,Oregon,1
2020-06-05,Sherman,Oregon,1
2020-06-06,Sherman,Oregon,1
2020-06-07,Sherman,Oregon,1
2020-06-08,Sherman,Oregon,1
2020-06-09,Sherman,Oregon,1
2020-06-10,Sherman,Oregon,1
2020-06-11,Sherman,Oregon,1
2020-06-12,Sherman,Oregon,1
2020-06-13,Sherman,Oregon,1
2020-06-14,Sherman,Oregon,1
2020-06-15,Sherman,Oregon,1
2020-06-16,Sherman,Oregon,1
2020-06-17,Sherman,Oregon,1
2020-06-18,Sherman,Oregon,1
2020-06-19,Sherman,Oregon,1
2020-06-20,Sherman,Oregon,1
2020-06-21,Sherman,Oregon,1
2020-06-22,Sherman,Oregon,1
2020-06-23,Sherman,Oregon,1
2020-06-24,Sherman,Oregon,1
2020-06-25,Sherman,Oregon,1
2020-06-26,Sherman,Oregon,1
2020-06-27,Sherman,Oregon,1
2020-06-28,Sherman,Oregon,1
2020-06-29,Sherman,Oregon,1
2020-06-30,Sherman,Oregon,1
2020-07-01,Sherman,Oregon,1
2020-07-02,Sherman,Oregon,1
2020-07-03,Sherman,Oregon,2
2020-07-04,Sherman,Oregon,2
2020-07-05,Sherman,Oregon,3
2020-07-06,Sherman,Oregon,3
2020-07-07,Sherman,Oregon,3
2020-07-08,Sherman,Oregon,3
2020-07-09,Sherman,Oregon,3
2020-07-10,Sherman,Oregon,3
2020-07-11,Sherman,Oregon,4
2020-07-12,Sherman,Oregon,5
2020-07-13,Sherman,Oregon,5
2020-07-14,Sherman,Oregon,5
2020-07-15,Sherman,Oregon,5
2020-07-16,Sherman,Oregon,5
