date,county,state,cases
2020-03-26,Tillamook,Oregon,1
2020-03-27,Tillamook,Oregon,1
2020-03-28,Tillamook,Oregon,1
2020-03-29,Tillamook,Oregon,2
2020-03-30,Tillamook,Oregon,3
2020-03-31,Tillamook,Oregon,3
2020-04-01,Tillamook,Oregon,3
2020-04-02,Tillamook,Oregon,3
2020-04-03,Tillamook,Oregon,3
2020-04-04,Tillamook,Oregon,3
2020-04-05,Tillamook,Oregon,3
2020-04-06,Tillamook,Oregon,3
2020-04-07,Tillamook,Oregon,3
2020-04-08,Tillamook,Oregon,3
2020-04-09,Tillamook,Oregon,4
2020-04-10,Tillamook,Oregon,4
2020-04-11,Tillamook,Oregon,4
2020-04-12,Tillamook,Oregon,4
2020-04-13,Tillamook,Oregon,4
2020-04-14,Tillamook,Oregon,5
2020-04-15,Tillamook,Oregon,5
2020-04-16,Tillamook,Oregon,5
2020-04-17,Tillamook,Oregon,6
2020-04-18,Tillamook,Oregon,6
2020-04-19,Tillamook,Oregon,6
2020-04-20,Tillamook,Oregon,6
2020-04-21,Tillamook,Oregon,6
2020-04-22,Tillamook,Oregon,6
2020-04-23,Tillamook,Oregon,6
2020-04-24,Tillamook,Oregon,6
2020-04-25,Tillamook,Oregon,6
2020-04-26,Tillamook,Oregon,6
2020-04-27,Tillamook,Oregon,6
2020-04-28,Tillamook,Oregon,6
2020-04-29,Tillamook,Oregon,6
2020-04-30,Tillamook,Oregon,6
2020-05-01,Tillamook,Oregon,6
2020-05-02,Tillamook,Oregon,6
2020-05-03,Tillamook,Oregon,6
2020-05-04,Tillamook,Oregon,6
2020-05-05,Tillamook,Oregon,6
2020-05-06,Tillamook,Oregon,6
2020-05-07,Tillamook,Oregon,6
2020-05-08,Tillamook,Oregon,6
2020-05-09,Tillamook,Oregon,6
2020-05-10,Tillamook,Oregon,6
2020-05-11,Tillamook,Oregon,6
2020-05-12,Tillamook,Oregon,6
2020-05-13,Tillamook,Oregon,6
2020-05-14,Tillamook,Oregon,6
2020-05-15,Tillamook,Oregon,6
2020-05-16,Tillamook,Oregon,6
2020-05-17,Tillamook,Oregon,6
2020-05-18,Tillamook,Oregon,6
2020-05-19,Tillamook,Oregon,6
2020-05-20,Tillamook,Oregon,6
2020-05-21,Tillamook,Oregon,6
2020-05-22,Tillamook,Oregon,6
2020-05-23,Tillamook,Oregon,6
2020-05-24,Tillamook,Oregon,6
2020-05-25,Tillamook,Oregon,6
2020-05-26,Tillamook,Oregon,6
2020-05-27,Tillamook,Oregon,6
2020-05-28,Tillamook,Oregon,6
2020-05-29,Tillamook,Oregon,6
2020-05-30,Tillamook,Oregon,6
2020-05-31,Tillamook,Oregon,6
2020-06-01,Tillamook,Oregon,6
2020-06-02,Tillamook,Oregon,6
2020-06-03,Tillamook,Oregon,6
2020-06-04,Tillamook,Oregon,6
2020-06-05,Tillamook,Oregon,6
2020-06-06,Tillamook,Oregon,6
2020-06-07,Tillamook,Oregon,6
2020-06-08,Tillamook,Oregon,6
2020-06-09,Tillamook,Oregon,6
2020-06-10,Tillamook,Oregon,6
2020-06-11,Tillamook,Oregon,6
2020-06-12,Tillamook,Oregon,6
2020-06-13,Tillamook,Oregon,6
2020-06-14,Tillamook,Oregon,6
2020-06-15,Tillamook,Oregon,6
2020-06-16,Tillamook,Oregon,6
2020-06-17,Tillamook,Oregon,6
2020-06-18,Tillamook,Oregon,6
2020-06-19,Tillamook,Oregon,6
2020-06-20,Tillamook,Oregon,6
2020-06-21,Tillamook,Oregon,6
2020-06-22,Tillamook,Oregon,6
2020-06-23,Tillamook,Oregon,7
2020-06-24,Tillamook,Oregon,7
2020-06-25,Tillamook,Oregon,7
2020-06-26,Tillamook,Oregon,7
2020-06-27,Tillamook,Oregon,7
2020-06-28,Tillamook,Oregon,7
2020-06-29,Tillamook,Oregon,9
2020-06-30,Tillamook,Oregon,9
2020-07-01,Tillamook,Oregon,11
2020-07-02,Tillamook,Oregon,12
2020-07-03,Tillamook,Oregon,13
2020-07-04,Tillamook,Oregon,14
2020-07-05,Tillamook,Oregon,14
2020-07-06,Tillamook,Oregon,15
2020-07-07,Tillamook,Oregon,15
2020-07-08,Tillamook,Oregon,15
2020-07-09,Tillamook,Oregon,15
2020-07-10,Tillamook,Oregon,16
2020-07-11,Tillamook,Oregon,16
2020-07-12,Tillamook,Oregon,16
2020-07-13,Tillamook,Oregon,16
2020-07-14,Tillamook,Oregon,19
2020-07-15,Tillamook,Oregon,20
2020-07-16,Tillamook,Oregon,22
2020-07-17,Tillamook,Oregon,22
2020-07-18,Tillamook,Oregon,23
2020-07-19,Tillamook,Oregon,23
2020-07-20,Tillamook,Oregon,23
2020-07-21,Tillamook,Oregon,23
2020-07-22,Tillamook,Oregon,23
2020-07-23,Tillamook,Oregon,24
2020-07-24,Tillamook,Oregon,24
2020-07-25,Tillamook,Oregon,24
2020-07-26,Tillamook,Oregon,24
2020-07-27,Tillamook,Oregon,24
2020-07-28,Tillamook,Oregon,24
2020-07-29,Tillamook,Oregon,24
2020-07-30,Tillamook,Oregon,24
2020-07-31,Tillamook,Oregon,24
2020-08-01,Tillamook,Oregon,24
2020-08-02,Tillamook,Oregon,28
2020-08-03,Tillamook,Oregon,30
2020-08-04,Tillamook,Oregon,32
2020-08-05,Tillamook,Oregon,34
2020-08-06,Tillamook,Oregon,34
2020-08-07,Tillamook,Oregon,34
2020-08-08,Tillamook,Oregon,34
2020-08-09,Tillamook,Oregon,34
2020-08-10,Tillamook,Oregon,34
2020-08-11,Tillamook,Oregon,34
2020-08-12,Tillamook,Oregon,34
2020-08-13,Tillamook,Oregon,35
2020-08-14,Tillamook,Oregon,35
2020-08-15,Tillamook,Oregon,35
2020-08-16,Tillamook,Oregon,35
2020-08-17,Tillamook,Oregon,35
2020-08-18,Tillamook,Oregon,35
2020-08-19,Tillamook,Oregon,36
2020-08-20,Tillamook,Oregon,37
2020-08-21,Tillamook,Oregon,36
2020-08-22,Tillamook,Oregon,37
2020-08-23,Tillamook,Oregon,37
2020-08-24,Tillamook,Oregon,37
2020-08-25,Tillamook,Oregon,37
2020-08-26,Tillamook,Oregon,38
2020-08-27,Tillamook,Oregon,38
2020-08-28,Tillamook,Oregon,38
2020-08-29,Tillamook,Oregon,38
2020-08-30,Tillamook,Oregon,38
2020-08-31,Tillamook,Oregon,38
2020-09-01,Tillamook,Oregon,38
2020-09-02,Tillamook,Oregon,38
2020-09-03,Tillamook,Oregon,38
2020-09-04,Tillamook,Oregon,40
2020-09-05,Tillamook,Oregon,41
2020-09-06,Tillamook,Oregon,42
2020-09-07,Tillamook,Oregon,43
2020-09-08,Tillamook,Oregon,43
2020-09-09,Tillamook,Oregon,45
2020-09-10,Tillamook,Oregon,45
2020-09-11,Tillamook,Oregon,44
2020-09-12,Tillamook,Oregon,45
2020-09-13,Tillamook,Oregon,45
2020-09-14,Tillamook,Oregon,45
2020-09-15,Tillamook,Oregon,46
2020-09-16,Tillamook,Oregon,46
2020-09-17,Tillamook,Oregon,47
2020-09-18,Tillamook,Oregon,48
2020-09-19,Tillamook,Oregon,48
2020-09-20,Tillamook,Oregon,48
2020-09-21,Tillamook,Oregon,49
2020-09-22,Tillamook,Oregon,49
2020-09-23,Tillamook,Oregon,51
2020-09-24,Tillamook,Oregon,51
2020-09-25,Tillamook,Oregon,52
2020-09-26,Tillamook,Oregon,52
2020-09-27,Tillamook,Oregon,53
2020-09-28,Tillamook,Oregon,53
2020-09-29,Tillamook,Oregon,53
2020-09-30,Tillamook,Oregon,53
2020-10-01,Tillamook,Oregon,53
2020-10-02,Tillamook,Oregon,53
2020-10-03,Tillamook,Oregon,54
2020-10-04,Tillamook,Oregon,54
2020-10-05,Tillamook,Oregon,54
2020-10-06,Tillamook,Oregon,54
2020-10-07,Tillamook,Oregon,59
2020-10-08,Tillamook,Oregon,59
2020-10-09,Tillamook,Oregon,61
2020-10-10,Tillamook,Oregon,63
2020-10-11,Tillamook,Oregon,65
2020-10-12,Tillamook,Oregon,64
2020-10-13,Tillamook,Oregon,65
2020-10-14,Tillamook,Oregon,65
2020-10-15,Tillamook,Oregon,66
2020-10-16,Tillamook,Oregon,69
2020-10-17,Tillamook,Oregon,69
2020-10-18,Tillamook,Oregon,69
2020-10-19,Tillamook,Oregon,70
2020-10-20,Tillamook,Oregon,70
2020-10-21,Tillamook,Oregon,70
2020-10-22,Tillamook,Oregon,70
2020-10-23,Tillamook,Oregon,70
2020-10-24,Tillamook,Oregon,70
2020-10-25,Tillamook,Oregon,70
2020-10-26,Tillamook,Oregon,70
2020-10-27,Tillamook,Oregon,70
2020-10-28,Tillamook,Oregon,72
2020-10-29,Tillamook,Oregon,74
2020-10-30,Tillamook,Oregon,75
2020-10-31,Tillamook,Oregon,77
2020-11-01,Tillamook,Oregon,77
2020-11-02,Tillamook,Oregon,78
2020-11-03,Tillamook,Oregon,80
2020-11-04,Tillamook,Oregon,82
2020-11-05,Tillamook,Oregon,82
2020-11-06,Tillamook,Oregon,82
2020-11-07,Tillamook,Oregon,86
2020-11-08,Tillamook,Oregon,87
2020-11-09,Tillamook,Oregon,89
2020-11-10,Tillamook,Oregon,89
2020-11-11,Tillamook,Oregon,91
2020-11-12,Tillamook,Oregon,91
2020-11-13,Tillamook,Oregon,95
2020-11-14,Tillamook,Oregon,100
2020-11-15,Tillamook,Oregon,100
2020-11-16,Tillamook,Oregon,102
2020-11-17,Tillamook,Oregon,105
2020-11-18,Tillamook,Oregon,109
2020-11-19,Tillamook,Oregon,109
2020-11-20,Tillamook,Oregon,111
2020-11-21,Tillamook,Oregon,111
2020-11-22,Tillamook,Oregon,111
2020-11-23,Tillamook,Oregon,112
2020-11-24,Tillamook,Oregon,113
2020-11-25,Tillamook,Oregon,115
2020-11-26,Tillamook,Oregon,121
2020-11-27,Tillamook,Oregon,123
2020-11-28,Tillamook,Oregon,126
2020-11-29,Tillamook,Oregon,131
2020-11-30,Tillamook,Oregon,133
2020-12-01,Tillamook,Oregon,139
2020-12-02,Tillamook,Oregon,147
2020-12-03,Tillamook,Oregon,148
2020-12-04,Tillamook,Oregon,152
2020-12-05,Tillamook,Oregon,158
2020-12-06,Tillamook,Oregon,159
2020-12-07,Tillamook,Oregon,159
2020-12-08,Tillamook,Oregon,167
2020-12-09,Tillamook,Oregon,172
2020-12-10,Tillamook,Oregon,179
2020-12-11,Tillamook,Oregon,184
2020-12-12,Tillamook,Oregon,190
2020-12-13,Tillamook,Oregon,191
2020-12-14,Tillamook,Oregon,196
2020-12-15,Tillamook,Oregon,200
2020-12-16,Tillamook,Oregon,212
2020-12-17,Tillamook,Oregon,224
2020-12-18,Tillamook,Oregon,239
2020-12-19,Tillamook,Oregon,253
2020-12-20,Tillamook,Oregon,254
2020-12-21,Tillamook,Oregon,258
2020-12-22,Tillamook,Oregon,267
2020-12-23,Tillamook,Oregon,271
2020-12-24,Tillamook,Oregon,278
2020-12-25,Tillamook,Oregon,279
2020-12-26,Tillamook,Oregon,288
2020-12-27,Tillamook,Oregon,291
2020-12-28,Tillamook,Oregon,291
2020-12-29,Tillamook,Oregon,293
2020-12-30,Tillamook,Oregon,303
2020-12-31,Tillamook,Oregon,308
2021-01-01,Tillamook,Oregon,313
2021-01-02,Tillamook,Oregon,318
2021-01-03,Tillamook,Oregon,325
2021-01-04,Tillamook,Oregon,327
2021-01-05,Tillamook,Oregon,331
2021-01-06,Tillamook,Oregon,335
2021-01-07,Tillamook,Oregon,342
2021-01-08,Tillamook,Oregon,347
2021-01-09,Tillamook,Oregon,354
2021-01-10,Tillamook,Oregon,355
2021-01-11,Tillamook,Oregon,357
2021-01-12,Tillamook,Oregon,357
2021-01-13,Tillamook,Oregon,357
2021-01-14,Tillamook,Oregon,357
