date,county,state,cases
2020-02-28,Washington,Oregon,1
2020-02-29,Washington,Oregon,1
2020-03-01,Washington,Oregon,2
2020-03-02,Washington,Oregon,2
2020-03-03,Washington,Oregon,2
2020-03-04,Washington,Oregon,2
2020-03-05,Washington,Oregon,2
2020-03-06,Washington,Oregon,2
2020-03-07,Washington,Oregon,3
2020-03-08,Washington,Oregon,8
2020-03-09,Washington,Oregon,8
2020-03-10,Washington,Oregon,8
2020-03-11,Washington,Oregon,8
2020-03-12,Washington,Oregon,10
2020-03-13,Washington,Oregon,10
2020-03-14,Washington,Oregon,13
2020-03-15,Washington,Oregon,13
2020-03-16,Washington,Oregon,14
2020-03-17,Washington,Oregon,21
2020-03-18,Washington,Oregon,23
2020-03-19,Washington,Oregon,25
2020-03-20,Washington,Oregon,31
2020-03-21,Washington,Oregon,42
2020-03-22,Washington,Oregon,55
2020-03-23,Washington,Oregon,69
2020-03-24,Washington,Oregon,76
2020-03-25,Washington,Oregon,96
2020-03-26,Washington,Oregon,104
2020-03-27,Washington,Oregon,122
2020-03-28,Washington,Oregon,140
2020-03-29,Washington,Oregon,154
2020-03-30,Washington,Oregon,168
2020-03-31,Washington,Oregon,186
2020-04-01,Washington,Oregon,189
2020-04-02,Washington,Oregon,211
2020-04-03,Washington,Oregon,228
2020-04-04,Washington,Oregon,247
2020-04-05,Washington,Oregon,259
2020-04-06,Washington,Oregon,271
2020-04-07,Washington,Oregon,282
2020-04-08,Washington,Oregon,295
2020-04-09,Washington,Oregon,311
2020-04-10,Washington,Oregon,320
2020-04-11,Washington,Oregon,330
2020-04-12,Washington,Oregon,348
2020-04-13,Washington,Oregon,360
2020-04-14,Washington,Oregon,365
2020-04-15,Washington,Oregon,364
2020-04-16,Washington,Oregon,376
2020-04-17,Washington,Oregon,383
2020-04-18,Washington,Oregon,387
2020-04-19,Washington,Oregon,399
2020-04-20,Washington,Oregon,408
2020-04-21,Washington,Oregon,415
2020-04-22,Washington,Oregon,425
2020-04-23,Washington,Oregon,443
2020-04-24,Washington,Oregon,451
2020-04-25,Washington,Oregon,459
2020-04-26,Washington,Oregon,466
2020-04-27,Washington,Oregon,475
2020-04-28,Washington,Oregon,474
2020-04-29,Washington,Oregon,481
2020-04-30,Washington,Oregon,491
2020-05-01,Washington,Oregon,500
2020-05-02,Washington,Oregon,509
2020-05-03,Washington,Oregon,516
2020-05-04,Washington,Oregon,526
2020-05-05,Washington,Oregon,531
2020-05-06,Washington,Oregon,537
2020-05-07,Washington,Oregon,548
2020-05-08,Washington,Oregon,556
2020-05-09,Washington,Oregon,562
2020-05-10,Washington,Oregon,573
2020-05-11,Washington,Oregon,587
2020-05-12,Washington,Oregon,601
2020-05-13,Washington,Oregon,614
2020-05-14,Washington,Oregon,616
2020-05-15,Washington,Oregon,620
2020-05-16,Washington,Oregon,628
2020-05-17,Washington,Oregon,628
2020-05-18,Washington,Oregon,638
2020-05-19,Washington,Oregon,644
2020-05-20,Washington,Oregon,658
2020-05-21,Washington,Oregon,659
2020-05-22,Washington,Oregon,669
2020-05-23,Washington,Oregon,673
2020-05-24,Washington,Oregon,690
2020-05-25,Washington,Oregon,695
2020-05-26,Washington,Oregon,698
2020-05-27,Washington,Oregon,703
2020-05-28,Washington,Oregon,715
2020-05-29,Washington,Oregon,722
2020-05-30,Washington,Oregon,734
2020-05-31,Washington,Oregon,739
2020-06-01,Washington,Oregon,743
2020-06-02,Washington,Oregon,747
2020-06-03,Washington,Oregon,752
2020-06-04,Washington,Oregon,755
2020-06-05,Washington,Oregon,775
2020-06-06,Washington,Oregon,790
2020-06-07,Washington,Oregon,798
2020-06-08,Washington,Oregon,800
2020-06-09,Washington,Oregon,815
2020-06-10,Washington,Oregon,821
2020-06-11,Washington,Oregon,828
2020-06-12,Washington,Oregon,849
2020-06-13,Washington,Oregon,863
2020-06-14,Washington,Oregon,876
