date,county,state,cases
2020-03-15,Yamhill,Oregon,1
2020-03-16,Yamhill,Oregon,1
2020-03-17,Yamhill,Oregon,1
2020-03-18,Yamhill,Oregon,2
2020-03-19,Yamhill,Oregon,2
2020-03-20,Yamhill,Oregon,4
2020-03-21,Yamhill,Oregon,4
2020-03-22,Yamhill,Oregon,6
2020-03-23,Yamhill,Oregon,6
2020-03-24,Yamhill,Oregon,6
2020-03-25,Yamhill,Oregon,7
2020-03-26,Yamhill,Oregon,7
2020-03-27,Yamhill,Oregon,11
2020-03-28,Yamhill,Oregon,13
2020-03-29,Yamhill,Oregon,13
2020-03-30,Yamhill,Oregon,14
2020-03-31,Yamhill,Oregon,16
2020-04-01,Yamhill,Oregon,17
2020-04-02,Yamhill,Oregon,18
2020-04-03,Yamhill,Oregon,23
2020-04-04,Yamhill,Oregon,23
2020-04-05,Yamhill,Oregon,26
2020-04-06,Yamhill,Oregon,25
2020-04-07,Yamhill,Oregon,25
2020-04-08,Yamhill,Oregon,25
2020-04-09,Yamhill,Oregon,29
2020-04-10,Yamhill,Oregon,28
2020-04-11,Yamhill,Oregon,30
2020-04-12,Yamhill,Oregon,30
2020-04-13,Yamhill,Oregon,30
2020-04-14,Yamhill,Oregon,32
2020-04-15,Yamhill,Oregon,32
2020-04-16,Yamhill,Oregon,33
2020-04-17,Yamhill,Oregon,35
2020-04-18,Yamhill,Oregon,34
2020-04-19,Yamhill,Oregon,34
2020-04-20,Yamhill,Oregon,35
2020-04-21,Yamhill,Oregon,34
2020-04-22,Yamhill,Oregon,35
2020-04-23,Yamhill,Oregon,35
2020-04-24,Yamhill,Oregon,35
2020-04-25,Yamhill,Oregon,35
2020-04-26,Yamhill,Oregon,36
2020-04-27,Yamhill,Oregon,37
2020-04-28,Yamhill,Oregon,38
2020-04-29,Yamhill,Oregon,39
2020-04-30,Yamhill,Oregon,39
2020-05-01,Yamhill,Oregon,39
2020-05-02,Yamhill,Oregon,39
2020-05-03,Yamhill,Oregon,39
2020-05-04,Yamhill,Oregon,40
2020-05-05,Yamhill,Oregon,41
2020-05-06,Yamhill,Oregon,42
2020-05-07,Yamhill,Oregon,45
2020-05-08,Yamhill,Oregon,45
2020-05-09,Yamhill,Oregon,47
2020-05-10,Yamhill,Oregon,49
2020-05-11,Yamhill,Oregon,49
2020-05-12,Yamhill,Oregon,50
2020-05-13,Yamhill,Oregon,50
2020-05-14,Yamhill,Oregon,55
2020-05-15,Yamhill,Oregon,55
2020-05-16,Yamhill,Oregon,57
2020-05-17,Yamhill,Oregon,57
2020-05-18,Yamhill,Oregon,59
2020-05-19,Yamhill,Oregon,62
2020-05-20,Yamhill,Oregon,63
2020-05-21,Yamhill,Oregon,63
2020-05-22,Yamhill,Oregon,63
2020-05-23,Yamhill,Oregon,64
2020-05-24,Yamhill,Oregon,65
2020-05-25,Yamhill,Oregon,65
2020-05-26,Yamhill,Oregon,66
2020-05-27,Yamhill,Oregon,67
2020-05-28,Yamhill,Oregon,69
2020-05-29,Yamhill,Oregon,69
2020-05-30,Yamhill,Oregon,69
2020-05-31,Yamhill,Oregon,70
2020-06-01,Yamhill,Oregon,70
2020-06-02,Yamhill,Oregon,70
2020-06-03,Yamhill,Oregon,74
2020-06-04,Yamhill,Oregon,75
2020-06-05,Yamhill,Oregon,81
2020-06-06,Yamhill,Oregon,83
2020-06-07,Yamhill,Oregon,85
2020-06-08,Yamhill,Oregon,87
2020-06-09,Yamhill,Oregon,91
2020-06-10,Yamhill,Oregon,91
2020-06-11,Yamhill,Oregon,92
2020-06-12,Yamhill,Oregon,92
2020-06-13,Yamhill,Oregon,92
2020-06-14,Yamhill,Oregon,92
2020-06-15,Yamhill,Oregon,93
2020-06-16,Yamhill,Oregon,94
2020-06-17,Yamhill,Oregon,94
2020-06-18,Yamhill,Oregon,97
2020-06-19,Yamhill,Oregon,97
2020-06-20,Yamhill,Oregon,97
2020-06-21,Yamhill,Oregon,99
2020-06-22,Yamhill,Oregon,101
2020-06-23,Yamhill,Oregon,101
2020-06-24,Yamhill,Oregon,102
2020-06-25,Yamhill,Oregon,103
2020-06-26,Yamhill,Oregon,115
2020-06-27,Yamhill,Oregon,113
2020-06-28,Yamhill,Oregon,114
2020-06-29,Yamhill,Oregon,115
2020-06-30,Yamhill,Oregon,119
2020-07-01,Yamhill,Oregon,126
2020-07-02,Yamhill,Oregon,131
2020-07-03,Yamhill,Oregon,132
2020-07-04,Yamhill,Oregon,132
2020-07-05,Yamhill,Oregon,139
2020-07-06,Yamhill,Oregon,139
2020-07-07,Yamhill,Oregon,155
2020-07-08,Yamhill,Oregon,164
2020-07-09,Yamhill,Oregon,171
2020-07-10,Yamhill,Oregon,179
2020-07-11,Yamhill,Oregon,194
2020-07-12,Yamhill,Oregon,198
2020-07-13,Yamhill,Oregon,205
2020-07-14,Yamhill,Oregon,211
2020-07-15,Yamhill,Oregon,217
2020-07-16,Yamhill,Oregon,220
2020-07-17,Yamhill,Oregon,222
2020-07-18,Yamhill,Oregon,229
2020-07-19,Yamhill,Oregon,235
2020-07-20,Yamhill,Oregon,241
2020-07-21,Yamhill,Oregon,248
2020-07-22,Yamhill,Oregon,252
2020-07-23,Yamhill,Oregon,256
2020-07-24,Yamhill,Oregon,264
2020-07-25,Yamhill,Oregon,271
2020-07-26,Yamhill,Oregon,277
2020-07-27,Yamhill,Oregon,286
2020-07-28,Yamhill,Oregon,295
2020-07-29,Yamhill,Oregon,307
2020-07-30,Yamhill,Oregon,318
2020-07-31,Yamhill,Oregon,336
2020-08-01,Yamhill,Oregon,350
2020-08-02,Yamhill,Oregon,359
2020-08-03,Yamhill,Oregon,386
2020-08-04,Yamhill,Oregon,399
2020-08-05,Yamhill,Oregon,404
2020-08-06,Yamhill,Oregon,413
2020-08-07,Yamhill,Oregon,429
2020-08-08,Yamhill,Oregon,450
2020-08-09,Yamhill,Oregon,460
2020-08-10,Yamhill,Oregon,467
2020-08-11,Yamhill,Oregon,470
2020-08-12,Yamhill,Oregon,474
2020-08-13,Yamhill,Oregon,483
2020-08-14,Yamhill,Oregon,502
2020-08-15,Yamhill,Oregon,514
2020-08-16,Yamhill,Oregon,517
2020-08-17,Yamhill,Oregon,523
2020-08-18,Yamhill,Oregon,533
2020-08-19,Yamhill,Oregon,538
2020-08-20,Yamhill,Oregon,550
2020-08-21,Yamhill,Oregon,568
2020-08-22,Yamhill,Oregon,581
2020-08-23,Yamhill,Oregon,584
2020-08-24,Yamhill,Oregon,597
2020-08-25,Yamhill,Oregon,604
2020-08-26,Yamhill,Oregon,606
2020-08-27,Yamhill,Oregon,610
2020-08-28,Yamhill,Oregon,614
2020-08-29,Yamhill,Oregon,626
2020-08-30,Yamhill,Oregon,630
2020-08-31,Yamhill,Oregon,630
2020-09-01,Yamhill,Oregon,642
2020-09-02,Yamhill,Oregon,643
2020-09-03,Yamhill,Oregon,649
2020-09-04,Yamhill,Oregon,652
2020-09-05,Yamhill,Oregon,662
2020-09-06,Yamhill,Oregon,664
2020-09-07,Yamhill,Oregon,672
2020-09-08,Yamhill,Oregon,683
2020-09-09,Yamhill,Oregon,684
2020-09-10,Yamhill,Oregon,693
2020-09-11,Yamhill,Oregon,697
2020-09-12,Yamhill,Oregon,706
2020-09-13,Yamhill,Oregon,706
2020-09-14,Yamhill,Oregon,709
2020-09-15,Yamhill,Oregon,714
2020-09-16,Yamhill,Oregon,718
2020-09-17,Yamhill,Oregon,721
2020-09-18,Yamhill,Oregon,726
2020-09-19,Yamhill,Oregon,735
2020-09-20,Yamhill,Oregon,738
2020-09-21,Yamhill,Oregon,738
2020-09-22,Yamhill,Oregon,744
2020-09-23,Yamhill,Oregon,745
2020-09-24,Yamhill,Oregon,750
2020-09-25,Yamhill,Oregon,755
2020-09-26,Yamhill,Oregon,757
2020-09-27,Yamhill,Oregon,757
2020-09-28,Yamhill,Oregon,762
2020-09-29,Yamhill,Oregon,769
2020-09-30,Yamhill,Oregon,774
2020-10-01,Yamhill,Oregon,784
2020-10-02,Yamhill,Oregon,794
2020-10-03,Yamhill,Oregon,800
2020-10-04,Yamhill,Oregon,810
2020-10-05,Yamhill,Oregon,815
2020-10-06,Yamhill,Oregon,827
2020-10-07,Yamhill,Oregon,832
2020-10-08,Yamhill,Oregon,844
2020-10-09,Yamhill,Oregon,859
2020-10-10,Yamhill,Oregon,869
2020-10-11,Yamhill,Oregon,873
2020-10-12,Yamhill,Oregon,892
2020-10-13,Yamhill,Oregon,901
2020-10-14,Yamhill,Oregon,906
2020-10-15,Yamhill,Oregon,912
2020-10-16,Yamhill,Oregon,926
2020-10-17,Yamhill,Oregon,932
2020-10-18,Yamhill,Oregon,938
2020-10-19,Yamhill,Oregon,944
2020-10-20,Yamhill,Oregon,951
2020-10-21,Yamhill,Oregon,956
2020-10-22,Yamhill,Oregon,960
2020-10-23,Yamhill,Oregon,983
2020-10-24,Yamhill,Oregon,985
2020-10-25,Yamhill,Oregon,987
2020-10-26,Yamhill,Oregon,994
2020-10-27,Yamhill,Oregon,1001
